,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.0016064754696821031,0.00122933261291801,0.0011813039315383956,0.0014561815424568158,0.0017642116952933298,0.0015034774778058299,0.0012302807400388243,0.0011822530497150882,0.001456182012034117,0.0017642075036991178,0.0015034774778058299,0.0012302807400388243,0.0011822530497150882,0.001456182012034117,0.0017642075036991178
artificial.2,0.003061893961701479,0.0026944069592715796,0.0026653686162764977,0.0029533611333378094,0.0015558188074594,0.003135443271389981,0.0026695162839368617,0.0026675823943736582,0.0029527694586755533,0.0015558224935060697,0.003135443271389981,0.0026695162839368617,0.0026675823943736582,0.0029527694586755533,0.0015558224935060697
artificial.3,0.15324743752721448,0.1495853783264302,0.14638850747610294,0.14523761093816148,0.15135533365254808,0.15328221458115032,0.14953749227053664,0.14633006838914428,0.14520773757447916,0.15145679575950907,0.15328221458115032,0.14953749227053664,0.14633006838914428,0.14520773757447916,0.15145679575950907
artificial.4,0.008290042430975196,0.00812051547621694,0.008084471078550138,0.006774786313693722,0.0030029820098908663,0.0082525670454992,0.008202062269675174,0.00823432969388193,0.006748167587342932,0.0030029820098908663,0.0082525670454992,0.008202062269675174,0.00823432969388193,0.006748167587342932,0.0030029820098908663
artificial.5,0.0006664123738165261,0.00048641301927727156,0.0004563691496732576,0.0007436948750512882,0.0003012073546191792,0.0005442291116944129,0.00048726038230371537,0.0004563693913842944,0.0007436921001169664,0.0003012073546191792,0.0005442291116944129,0.00048726038230371537,0.0004563693913842944,0.0007436921001169664,0.0003012073546191792
artificial.6,0.0036023974994958304,0.003468892149371709,0.0036962189600035053,0.0034748205792587733,0.0008311952015586856,0.0035807606274128627,0.0034697434280826995,0.00368082970982937,0.0034742348722036397,0.0007979455072953269,0.0035807606274128627,0.0034697434280826995,0.00368082970982937,0.0034742348722036397,0.0007979455072953269
artificial.7,0.005363236019712009,0.004652531322138287,0.004682857125091829,0.00437977940404993,0.0010799884701688074,0.005332442676939433,0.004660193653511172,0.004684834618079354,0.004379780676476607,0.0010799948133245064,0.005332442676939433,0.004660193653511172,0.004684834618079354,0.004379780676476607,0.0010799948133245064
artificial.8,0.007242322308637698,0.0059176121144757735,0.005833813349768484,0.005991360585756371,0.0057734363558596445,0.007030771044575157,0.0059508719724215425,0.005836293385228069,0.0059913595131220925,0.005773425157228453,0.007030771044575157,0.0059508719724215425,0.005836293385228069,0.0059913595131220925,0.005773425157228453
artificial.9,0.008237976238033573,0.007714431504110417,0.007599474987887559,0.007837616100929425,0.0069897410434776,0.008206408772505941,0.007755758815534011,0.007579474516451253,0.007852194582191104,0.007040720509387559,0.008206408772505941,0.007755758815534011,0.007579474516451253,0.007852194582191104,0.007040720509387559
artificial.10,0.004880716075031022,0.00362292582863811,0.003264397164644416,0.0034903444284387847,0.003464716220216474,0.004844410002953591,0.003630478659943714,0.003272028081333896,0.003489355138574305,0.0035009381682164268,0.004844410002953591,0.003630478659943714,0.003272028081333896,0.003489355138574305,0.0035009381682164268
artificial.11,0.05440072952095366,0.04941245911161968,0.04666071314971151,0.045156054019984036,0.055852131576713086,0.054747350270437936,0.04944132350976513,0.04671633158317891,0.045148702432592905,0.0558520234630556,0.054747350270437936,0.04944132350976513,0.04671633158317891,0.045148702432592905,0.0558520234630556
artificial.12,0.002614151723102185,0.0024898110522670472,0.002371178471625781,0.002426735753592515,0.0014952669460930484,0.0025173717274305056,0.002461300977199333,0.0023562836500836,0.0024267287565219254,0.0014952638683887107,0.0025173717274305056,0.002461300977199333,0.0023562836500836,0.0024267287565219254,0.0014952638683887107
artificial.13,0.004675148536679107,0.003845599086570179,0.004090289526621803,0.004230363262034813,0.002775754789146941,0.0046534948603322345,0.0038366856475100753,0.004140205089169874,0.004230379862662711,0.002775753425107455,0.0046534948603322345,0.0038366856475100753,0.004140205089169874,0.004230379862662711,0.002775753425107455
artificial.14,0.002035510840943565,0.0016257688727244774,0.001751201458767168,0.0020728144864438176,0.002620907202240206,0.0020334747285123277,0.0016257787890192965,0.0017509877162297986,0.002072815226478176,0.0027216445936106134,0.0020334747285123277,0.0016257787890192965,0.0017509877162297986,0.002072815226478176,0.0027216445936106134
artificial.15,0.002311398815502074,0.00201747291715312,0.0019239411335277342,0.0022229217036071917,0.0005720556130133472,0.0022908009074299597,0.002010396671689256,0.0019232054253468084,0.002222914969765759,0.0005720552362599922,0.0022908009074299597,0.002010396671689256,0.0019232054253468084,0.002222914969765759,0.0005720552362599922
artificial.16,0.012608000723637922,0.010928097880377206,0.010647129363482976,0.010761870300985386,0.009808904654422619,0.012725117840810964,0.010910132359022997,0.010698235256161379,0.010761866611735116,0.00976311135405712,0.012725117840810964,0.010910132359022997,0.010698235256161379,0.010761866611735116,0.00976311135405712
artificial.17,0.009144525395481764,0.0074675015538508,0.0075732463693915725,0.00725628493739731,0.008993497635479863,0.009074229778226698,0.007472907620517019,0.007645920749278473,0.007256275882007378,0.008976834005133673,0.009074229778226698,0.007472907620517019,0.007645920749278473,0.007256275882007378,0.008976834005133673
artificial.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.19,0.011182897337593117,0.010386323759513864,0.009986410781275943,0.009600198270852353,0.008318513818118324,0.011127166921058565,0.010429592486568596,0.010056332267865575,0.009600178455522032,0.008283408067226104,0.011127166921058565,0.010429592486568596,0.010056332267865575,0.009600178455522032,0.008283408067226104
artificial.20,0.02874852408541364,0.02442970115306845,0.02195136655934353,0.020340848088420738,0.030150749664273904,0.028596474003475963,0.024427956478535705,0.021961485325470938,0.02034085293133443,0.030109706599990828,0.028596474003475963,0.024427956478535705,0.021961485325470938,0.02034085293133443,0.030109706599990828
artificial.21,0.041320326309957085,0.04026413037971468,0.04048118130494324,0.04054608547221806,0.030355356690202413,0.041407048474548194,0.04029093630335831,0.04045051078449686,0.04054387775484314,0.030355339553866906,0.041407048474548194,0.04029093630335831,0.04045051078449686,0.04054387775484314,0.030355339553866906
artificial.22,0.014464171760736487,0.011949357971315555,0.010617010385192643,0.01102205191122612,0.013992142135697577,0.01456296966422955,0.011933200478977463,0.010601091762756084,0.011007894331466157,0.014030425195052836,0.01456296966422955,0.011933200478977463,0.010601091762756084,0.011007894331466157,0.014030425195052836
artificial.23,0.009496278036892958,0.009046869794699042,0.009010127111793395,0.009000067759761692,0.0069645563848401365,0.009367862685794568,0.009054924350798901,0.009016093435958682,0.008999894617897611,0.006964556268665658,0.009367862685794568,0.009054924350798901,0.009016093435958682,0.008999894617897611,0.006964556268665658
artificial.24,0.017461304621353556,0.015878510159911204,0.015473285378729435,0.015290228049591714,0.014677142000082362,0.01735018877855945,0.015878161428950766,0.015462402171772137,0.015313736059810183,0.014677129874098385,0.01735018877855945,0.015878161428950766,0.015462402171772137,0.015313736059810183,0.014677129874098385
artificial.25,0.007985027834909812,0.008153828139019981,0.008549603672608234,0.008307808689081866,0.0017764570422715545,0.008046990875258777,0.008128248878273335,0.00859888969938682,0.008307718942126317,0.0017764585736180733,0.008046990875258777,0.008128248878273335,0.00859888969938682,0.008307718942126317,0.0017764585736180733
artificial.26,0.01242590136395982,0.010842694265718739,0.009876310161014852,0.00977867122197397,0.012167021037148324,0.012372868957414972,0.010854750180367518,0.009885947728071895,0.009742112078693662,0.012131030924136563,0.012372868957414972,0.010854750180367518,0.009885947728071895,0.009742112078693662,0.012131030924136563
artificial.27,0.0056342210362105285,0.005715862812226372,0.005925375070863798,0.006264989666102387,0.0008247747133021993,0.005602898844120134,0.005700967163730608,0.0059218033806214656,0.006264985864725176,0.0008247743036329477,0.005602898844120134,0.005700967163730608,0.0059218033806214656,0.006264985864725176,0.0008247743036329477
artificial.28,6.21378117554286e-05,5.823322517946578e-05,5.6358011151920246e-05,5.6747696770562855e-05,0.00014920292205025543,6.21378117554286e-05,5.823322517946578e-05,5.6358011151920246e-05,5.6747696770562855e-05,0.00014920292205025543,6.21378117554286e-05,5.823322517946578e-05,5.6358011151920246e-05,5.6747696770562855e-05,0.00014920292205025543
artificial.29,0.006551610197435813,0.006862342194911631,0.006876487158051266,0.00621840630468944,0.0018789744057020367,0.006437572699191642,0.006819413987780165,0.006915069673176003,0.006216957104927856,0.0018789734945619044,0.006437572699191642,0.006819413987780165,0.006915069673176003,0.006216957104927856,0.0018789734945619044
artificial.30,0.00610584081258244,0.005693228172261598,0.006224846094148115,0.006382160132664688,0.0009912307321828999,0.0060424261944267655,0.0056815030909510966,0.006200199893019173,0.0063806771651146055,0.0009912342411848866,0.0060424261944267655,0.0056815030909510966,0.006200199893019173,0.0063806771651146055,0.0009912342411848866
artificial.31,0.01768511343226807,0.016368235678531653,0.01619281716803053,0.017790760046747796,0.015722845874212674,0.017779630296840727,0.016287357589955122,0.0161956026948757,0.017789642293528873,0.01572289315939221,0.017779630296840727,0.016287357589955122,0.0161956026948757,0.017789642293528873,0.01572289315939221
artificial.32,0.254745047020271,0.26707975880441726,0.2747910980415076,0.2670035356439352,0.16114867281904122,0.25424634705217364,0.2672891005085709,0.27466223753788455,0.26698347372782577,0.1611487133679328,0.25424634705217364,0.2672891005085709,0.27466223753788455,0.26698347372782577,0.1611487133679328
artificial.33,0.07205189529764996,0.07160526982597709,0.07206939454617936,0.07107515833436989,0.059178198781694266,0.07178396546303892,0.07170980940201756,0.07210356404521821,0.0710747824348115,0.05908816854079874,0.07178396546303892,0.07170980940201756,0.07210356404521821,0.0710747824348115,0.05908816854079874
artificial.34,0.01715255141320974,0.017463335609152742,0.01831345636650729,0.01741589654916689,0.0037440392607275743,0.01697003241630704,0.017353636164593234,0.018373927774020464,0.017409878379582272,0.003744060942411382,0.01697003241630704,0.017353636164593234,0.018373927774020464,0.017409878379582272,0.003744060942411382
artificial.35,0.0,0.0,0.0,1.842454486019556e-05,0.0,0.0,0.0,0.0,1.842454486019556e-05,0.0,0.0,0.0,0.0,1.842454486019556e-05,0.0
artificial.36,0.0008266526569866926,0.0008597809450113424,0.0008260105352961681,0.0009463283613750001,0.0014575205651774536,0.0008266806760994818,0.0008597809450113424,0.0008260105352961681,0.0009463271297152678,0.0014575205651774536,0.0008266806760994818,0.0008597809450113424,0.0008260105352961681,0.0009463271297152678,0.0014575205651774536
artificial.37,0.02762944572467225,0.02895977004007341,0.030188669572102367,0.03092317489635592,0.016689769227636226,0.0275780838034923,0.028942266508608573,0.030120264141594452,0.030922936379426245,0.016647833006156864,0.0275780838034923,0.028942266508608573,0.030120264141594452,0.030922936379426245,0.016647833006156864
