,{'C': np.float64(0.01)},{'C': np.float64(0.12)},{'C': np.float64(0.23)},{'C': np.float64(0.34)},{'C': np.float64(0.45)},{'C': np.float64(0.56)},{'C': np.float64(0.67)},{'C': np.float64(0.78)},{'C': np.float64(0.89)},{'C': np.float64(1.0)}
artificial.1,0.0,0.0023275282342088703,0.02961788076448966,0.042092565438822116,0.04520030556343213,0.046622631682951846,0.047347923739259466,0.04791275228904783,0.04815645542538601,0.04824394913780238
artificial.2,0.0,8.42615530882831e-05,0.004707676610595154,0.007425106193175481,0.008925417618040391,0.009727269780199188,0.010308131366078986,0.010685456991345441,0.011084571836743197,0.011292319840341389
artificial.3,0.0,0.002669693597917833,0.020043058743493405,0.02984141784391744,0.03476222766990379,0.03692891151869103,0.037974150328119835,0.038804667172787896,0.03937915092762361,0.03984157379335835
artificial.4,0.0,0.0,0.0008873169755480701,0.003296733830347574,0.004063993947616433,0.004510619694628843,0.0050473483727525815,0.0054106558156500366,0.005940566995896685,0.00622845677535782
artificial.5,0.0,0.00049795980549153,0.008339221300827194,0.014076759486585887,0.017069638993595447,0.019291613074126582,0.021113630316929914,0.02244296274959844,0.023372309992576952,0.024181700990399013
artificial.6,0.0,0.04030022624590278,0.09690779251767277,0.11598617213634779,0.12457545320931013,0.12987116699038648,0.13295573273236383,0.13502025065919945,0.1366745627554747,0.13812826502993888
artificial.7,0.0,0.002808860318722329,0.04440325067571413,0.056149766368997364,0.06017178103687867,0.06191702302980356,0.06296383783115118,0.06370250025398429,0.06436735075506822,0.06472193358231207
artificial.8,0.0,0.009616165760223146,0.04637939638346584,0.0657541586295031,0.07486840139627927,0.0801114105069111,0.08353186138528786,0.08611145324202703,0.08809138952520491,0.08947432806344037
artificial.9,0.0,0.0005467496266207339,0.00639817257233237,0.009078474227773263,0.01057424840971815,0.011545852715003753,0.012245588790836422,0.012889589662188792,0.01330533672032608,0.013756404206840777
artificial.10,0.0,0.007896357759232158,0.026678413965308047,0.034061546403209464,0.03655053291719235,0.03746300803835925,0.03808309930063984,0.03852826902021433,0.03881327763842062,0.03904820184351275
artificial.11,0.0,7.719149213821993e-05,0.002505500834029456,0.006260939964879833,0.008343233518762538,0.009555500507740476,0.010344103062042575,0.01107704175281268,0.01174312345768401,0.012243376457530604
artificial.12,0.0,0.11235376382267011,0.22073709692367688,0.24439763232373216,0.250617403845869,0.2527952305074205,0.2535370586392944,0.2541262371498471,0.2549176638993796,0.25515554353963377
artificial.13,0.0,0.0006803788836302883,0.007580553484965065,0.013371692867084464,0.0161592606028921,0.017533959314367097,0.018457846200862053,0.019434720866480987,0.02028723685985892,0.02095918181082539
artificial.14,0.0,0.054391134126373704,0.10182624411160324,0.10891589532794003,0.10986981712609008,0.11041484988024967,0.11101980666873593,0.11105640501729816,0.11114054673960908,0.1109298355865773
artificial.15,0.0,0.0016282383071197603,0.012632731789882518,0.019874175427270064,0.02324546058032031,0.025655850339242087,0.027356122223689994,0.028658300792627513,0.02948506117247571,0.03017133476129603
