,Max Proba
Gland_glandular_epithelium_intragland_cellfrequency,0.381935179233551
CD4_T_cells_CD11b+_stromal_cellfrequency,0.2588382959365845
aSMA-br_vascular_endothelium_stromal_cellfrequency,0.20675136148929596
NK_cells_CD56brCD16-_glandfront_cellfrequency,0.17459632456302643
NK_cells_CD56brCD16-_stromal_cellfrequency,0.14342299103736877
NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency,0.1303713619709015
Gland_glandular_epithelium_glandfront_cellfrequency,0.11700218915939331
Dendritic_Cells_CD86CD33dp_glandfront_cellfrequency,0.11484107375144958
Stroma_fibroblast_glandfront_cellfrequency,0.09170617163181305
Dendritic_Cells_CD33+_stromal_cellfrequency,0.08959445357322693
NK_cells_CD56dimCD16+_glandfront_cellfrequency,0.08804121613502502
Gland_fibroblast_stromal_cellfrequency,0.08413758128881454
Stroma_fibroblast_stromal_cellfrequency,0.08155375719070435
Neutrophils_stromal_cellfrequency,0.08060090988874435
NA_stromal_cellfrequency,0.07942981272935867
CD8_T_cells_HLA-DR+_stromal_cellfrequency,0.07832316309213638
CD4_T_cells_HLA-DR+_stromal_cellfrequency,0.07373644411563873
CD8_T_cells_CD11b+_stromal_cellfrequency,0.07291777431964874
NK_cells_CD56dimCD16+_stromal_cellfrequency,0.07091780006885529
Macrophages_M2-like_glandfront_cellfrequency,0.06682237237691879
Gland_fibroblast_intragland_cellfrequency,0.06364572048187256
Macrophages_MDSC_glandfront_cellfrequency,0.06023811176419258
CD4_T_cells_CD80_CD86+_stromal_cellfrequency,0.056047819554805756
Dendritic_Cells_CD86CD33dp_stromal_cellfrequency,0.05186113715171814
Stroma_vascular_endothelium_stromal_cellfrequency,0.05123119801282883
Gland_fibroblast_glandfront_cellfrequency,0.049163445830345154
aSMA-br_glandular_epithelium_glandfront_cellfrequency,0.04876427352428436
Neutrophils_glandfront_cellfrequency,0.0478074848651886
Macrophages_M1-like_glandfront_cellfrequency,0.04693499580025673
CD8_T_cells_HLA-DR+_glandfront_cellfrequency,0.04669734835624695
aSMA-br_fibroblast_glandfront_cellfrequency,0.04476301744580269
Gland_vascular_endothelium_stromal_cellfrequency,0.04351833090186119
Macrophages_MDSC_stromal_cellfrequency,0.04212195426225662
NK_cells_CD56brCD16-TIM3hi_glandfront_cellfrequency,0.042046524584293365
CD4_T_cells_CD80_CD86+_glandfront_cellfrequency,0.04049336537718773
NA_glandfront_cellfrequency,0.03996635600924492
Dendritic_Cells_CD209CD86dp_stromal_cellfrequency,0.03904120251536369
B_cells_stromal_cellfrequency,0.038828425109386444
NKT_intragland_cellfrequency,0.03842002525925636
CD4_T_cells_HLA-DR+_glandfront_cellfrequency,0.03775680065155029
NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency,0.036632198840379715
CD8_T_cells_CD80_CD86+_glandfront_cellfrequency,0.035743892192840576
CD8_T_cells_CD80_CD86+_stromal_cellfrequency,0.0351816788315773
CD8_T_cells_FoxP3+_stromal_cellfrequency,0.035180483013391495
aSMA-br_vascular_endothelium_glandfront_cellfrequency,0.03512326627969742
CD4_T_cells_CD11b+_glandfront_cellfrequency,0.033804167062044144
Gland_vascular_endothelium_glandfront_cellfrequency,0.032547447830438614
Dendritic_Cells_CD209CD33dp_stromal_cellfrequency,0.032258886843919754
Gland_mesenchymal_stromal_cellfrequency,0.03157265484333038
NK_cells_CD56dimCD16+CD9hi_glandfront_cellfrequency,0.030486565083265305
Stroma_vascular_endothelium_glandfront_cellfrequency,0.029519688338041306
Macrophages_M2-like_stromal_cellfrequency,0.0285183135420084
CD4_T_cells_FoxP3+_stromal_cellfrequency,0.027218056842684746
Dendritic_Cells_CD33+_glandfront_cellfrequency,0.02697661705315113
Macrophages_M1-like_stromal_cellfrequency,0.02627491019666195
Macrophages_M1_M2_stromal_cellfrequency,0.025915317237377167
Dendritic_Cells_CD86+_stromal_cellfrequency,0.025687608867883682
Macrophages_M1_M2_glandfront_cellfrequency,0.025652611628174782
Gland_mesenchymal_intragland_cellfrequency,0.024882247671484947
NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency,0.02437497116625309
Dendritic_Cells_CD209CD33dp_glandfront_cellfrequency,0.024298984557390213
CD8_T_cells_FoxP3+_glandfront_cellfrequency,0.024105174466967583
NKT_glandfront_cellfrequency,0.023715976625680923
NK_cells_CD56brCD16-NKG2AhiTIM3hi_glandfront_cellfrequency,0.02234683558344841
aSMA-br_glandular_epithelium_intragland_cellfrequency,0.022262221202254295
NK_cells_CD56dimCD16+CD9hi_stromal_cellfrequency,0.02212873101234436
NA_intragland_cellfrequency,0.021121961995959282
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_cellfrequency,0.02048521488904953
Neutrophils_intragland_cellfrequency,0.019408952444791794
