,Max Proba
Gland_glandular_epithelium_glandfront_Ki67,0.28785402770386204
Gland_fibroblast_intragland_VEGF,0.21270282653016037
Gland_glandular_epithelium_intragland_Ki67,0.15532490167306043
Macrophages_M1_M2_glandfront_GranzymeB,0.13725773389935594
CD8_T_cells_HLA-DR+_glandfront_ERa,0.1261624474359467
Neutrophils_glandfront_GranzymeB,0.12423682498266785
NKT_glandfront_pP38,0.11961702324834866
Gland_mesenchymal_intragland_Ki67,0.08368933252218036
Stroma_fibroblast_glandfront_PR,0.07750698277955727
aSMA-br_mesenchymal_glandfront_ERa,0.06314174308775071
CD4_T_cells_HLA-DR+_stromal_TIM3,0.06090309052610322
CD4_T_cells_HLA-DR+_stromal_PR,0.059693934372180735
Gland_fibroblast_intragland_GranzymeB,0.05950542329344862
Dendritic_Cells_CD33+_stromal_PR,0.058778208471609354
CD4_T_cells_HLA-DR+_stromal_HLA-DR,0.05801858536089981
Gland_glandular_epithelium_intragland_HLA-DR,0.057563691509464845
Gland_mesenchymal_stromal_Ki67,0.05591902123284394
NK_cells_CD56brCD16-_stromal_GranzymeB,0.05317557757373503
Macrophages_MDSC_stromal_HLA-DR,0.04912209908876827
Macrophages_M1_M2_glandfront_HLA-DR,0.04640158152073776
CD8_T_cells_HLA-DR+_glandfront_Ki67,0.046381499394507045
CD4_T_cells_HLA-DR+_stromal_Ki67,0.046269309542565286
NK_cells_CD56brCD16-TIM3hi_stromal_Ki67,0.045834853252043506
CD4_T_cells_CD80_CD86+_stromal_pP38,0.04258324156279312
CD8_T_cells_FoxP3+_glandfront_HLA-DR,0.042147366334928146
Gland_vascular_endothelium_glandfront_VEGF,0.041877104881224515
Gland_fibroblast_intragland_Ki67,0.041757858675234634
CD4_T_cells_FoxP3+_glandfront_VEGF,0.04123386843415017
CD8_T_cells_CD11b+_glandfront_pP38,0.040061637113510705
Macrophages_M1_M2_glandfront_VEGF,0.03717333057860591
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_ERa,0.03701842688164219
NK_cells_CD56brCD16-CD9hi_glandfront_pP38,0.0361133323723687
Gland_vascular_endothelium_glandfront_pP38,0.03593213689748571
CD4_T_cells_HLA-DR+_glandfront_Ki67,0.03532417709481567
NK_cells_CD56brCD16-CD9hi_glandfront_PR,0.03462649714836653
Dendritic_Cells_CD33+_stromal_ERa,0.034548559446755306
Stroma_fibroblast_glandfront_VEGF,0.033935536813387096
Dendritic_Cells_CD33+_glandfront_Ki67,0.03276802048456416
CD8_T_cells_FoxP3+_stromal_GranzymeB,0.03227450285250161
