,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
artificial.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005174472362031744,0.0002503383994145153,0.0
artificial.2,0.0,0.0,0.0,0.0,0.0010476464816267807,0.0013476844542298033,0.002118101432875579,0.00264537975272916,0.0026295631460112887,0.0019750966793991164
artificial.3,0.0,0.0,0.0,0.017046096179687824,0.014792476431978145,0.016927680505127028,0.01753169824436531,0.01705984855097176,0.01791317903163943,0.01723496458048425
artificial.4,0.0,0.0,0.0,0.015971707550040088,0.014217130123539779,0.015134316694913172,0.016951010470223137,0.016500368412498786,0.0177917777164104,0.017866575912371487
artificial.5,0.0,0.0,0.0,0.0,0.0010909307098321485,0.003863933458021136,0.004708678835182746,0.0048978227337898505,0.006427380241240554,0.007346568687291266
artificial.6,0.0,0.0,0.0,0.003512358141459413,0.0010713492356012426,0.0013907468011404185,0.0019308673532295393,0.003537319945147641,0.0048249852015185574,0.007841284147452672
artificial.7,0.0,0.0,0.0,4.215922810814417e-05,0.0018318026421556284,0.0019014619244275696,0.0005560273425309844,0.00035604805170612536,0.000280755369122573,0.0002691535327292397
artificial.8,0.0,0.0,0.0,0.020023483667124135,0.015919136064558068,0.011481685262973348,0.011109645979952103,0.01177868191395526,0.013273360388708709,0.016563265135957947
artificial.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.10,0.0,0.0,0.0,0.0,0.0,0.0012229757607589067,6.7432314060016905e-06,2.3997929524288792e-05,0.00025059965791187277,0.0007662499537466812
artificial.11,0.0,0.0,0.0,0.0,0.0032429948396447625,0.004469861523432479,0.00520372756702061,0.007238346734806377,0.0070983775277906475,0.0064055316158456305
artificial.12,0.0,0.0,0.0,0.0,0.0009819394143469804,0.0020570062095164356,0.0023262910596903597,0.0027036604507203674,0.0028702756421648814,0.004050233869806212
artificial.13,0.0,0.0,0.0,0.0008658519654382802,0.0014323274187187573,0.003955623921975799,0.004712048754692301,0.0052537634155581684,0.006147679105993113,0.011500973361527757
artificial.14,0.0,0.0,0.0,0.0,0.0004447059127550209,0.0012368069832515846,0.0009438796878783661,0.001374963379463871,0.002352874203151983,0.0029484246191689377
artificial.15,0.0,0.0,0.0,0.0006457784931945765,0.007346681444912816,0.00628084229109194,0.008525250005762137,0.007468673760076277,0.009171646056080505,0.011181166861328926
artificial.16,0.0,0.0,0.0,0.0,0.0,0.0003156682336431565,0.0005174455589310755,0.0006456805092526017,0.0009480641227958771,0.0007724804873935917
artificial.17,0.0,0.0,0.0,0.0,0.0,0.0002740666085543107,0.0004129392384560951,0.0,0.00029043519607305316,0.0006627731594303089
artificial.18,0.0,0.0,0.0,0.001333803260877936,0.0026496150916999815,0.0034537620895445814,0.004556221916558416,0.005743104545896343,0.00748596305165581,0.009645657615863813
artificial.19,0.0,0.0,0.0,0.0,0.0015027314221342423,0.0026327526716609737,0.0030469871885850184,0.0035733614222620163,0.00415958113128454,0.00404652354925641
artificial.20,0.0,0.0,0.0,0.0,0.00019921329558787672,0.0,0.00010532861136992408,0.00041111823309165777,0.00042801453005545986,0.0017561494000907722
artificial.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.22,0.0,0.0,0.0,0.0,0.0,0.0009726374398472713,0.0014050940803250244,0.0007081847085971314,0.0010329133673994992,0.0020327673532793138
artificial.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.805898131350344e-05,0.00018773517006687277,0.0014305175345706298
artificial.24,0.0,0.0,0.0,0.0,0.0007079768906690425,0.0022569152881763655,0.0008285104865480414,0.0009276378326649877,0.0011230317209171283,0.002102339792746654
artificial.25,0.0,0.0,0.0,0.0,0.0025227402902782818,0.002355042077479558,0.0036770704688364616,0.003038631155744191,0.002232466967138187,0.002770317590573664
artificial.26,0.0,0.0,0.0,0.0,0.0,0.0002641155613662643,0.0019412851266617788,0.002094443929683211,0.00420892508388572,0.010586744310340917
artificial.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.717229438492543e-05,6.779031933304991e-05,0.003060326345005527
artificial.28,0.0,0.0,0.0,0.005916240255251758,0.01441111438557501,0.018261089900723122,0.018206244316297103,0.016495745298733946,0.019128376414002148,0.018550387245657118
artificial.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.30,0.0,0.0,0.0,0.0,0.0,0.0,0.00038598489147242417,0.0005448850821646222,0.0005095985583085605,0.0007768988843953994
artificial.31,0.0,0.0,0.0,0.0,0.0,0.0013196405713498877,0.0003182217138139161,0.0,0.0008782999591535303,0.0014433196230472657
artificial.32,0.0,0.0,0.0,0.0,0.0,0.0009006935454617946,0.0013674158634680296,0.0027276463109457906,0.0014305297311923578,0.0017626454149533783
artificial.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005969981432894903
artificial.34,0.0,0.0,0.0,0.0,0.0,0.0,7.713570990368973e-05,0.00038771219877128444,0.0002549299412586467,0.0005426866813319622
artificial.35,0.0,0.0,0.0,0.001807194237130359,0.004654684282019568,0.011667234105204108,0.011378091269654772,0.012236078396291107,0.011893942736888638,0.011445128282537182
artificial.36,0.0,0.0,0.0,0.004618626163824695,0.007197473356201586,0.006465498629470263,0.00688078744850036,0.0036875453644519053,0.003566246534442286,0.004581826908116361
artificial.37,0.0,0.0,0.0,0.0,0.00040298602935709703,0.000277096710844103,1.0699971708479475e-05,0.0001862443128996555,3.8063190389156e-05,0.0002422461188762908
artificial.38,0.0,0.0,0.0,0.0,0.0,0.0008356909445401888,0.0014430102915105152,0.001878503017598808,0.0022273861834737714,0.003294533633255732
artificial.39,0.0,0.0,0.0,0.00044462601733368434,0.0032171903288432608,0.0052652754591661095,0.005609671494006278,0.005517380088752759,0.006371075073644302,0.006934421130690863
artificial.40,0.0,0.0,0.0,0.007060764438318223,0.006902622599704646,0.007416890127455066,0.007498887992028432,0.010178745645134343,0.01221073333941228,0.02335720415233804
artificial.41,0.0,0.0,0.0,0.015335783484581903,0.033525965488179515,0.03294344102193973,0.03132114227808925,0.03049822027917193,0.03081896821426843,0.03252626335406849
artificial.42,0.0,0.0,0.0,0.0,0.0,0.0001677287426679261,0.00039130037966603274,0.0002399576971259147,0.0003605836764946618,0.0004332711207538984
artificial.43,0.0,0.0,0.0,0.0,0.0045168515464438725,0.01187714169433202,0.014502377307596414,0.014931568574811498,0.015735298029492386,0.02069122106318568
artificial.44,0.0,0.0,0.0,0.0005169099342656288,0.00518917990767102,0.0076110094062938494,0.0080176289128953,0.007491347823943384,0.006752476117585071,0.00627584147884941
