,Max Proba
artificial.164,0.23495013888708077
artificial.172,0.21939984220866077
artificial.171,0.13038716986685528
artificial.18,0.121894750403981
artificial.8,0.1042620030590397
artificial.74,0.09933162774243565
artificial.78,0.0747093220981223
artificial.141,0.06824561837126777
artificial.184,0.06640499488001578
artificial.17,0.06467768263184397
artificial.60,0.06355742599270545
artificial.7,0.05981298723674308
artificial.50,0.052437674934233076
artificial.89,0.05222338436117002
artificial.112,0.049509640786608265
artificial.65,0.04897834623941499
artificial.64,0.04820242671566221
artificial.42,0.04684211129461673
artificial.66,0.046115747986464034
artificial.188,0.04552251929360257
artificial.180,0.04189346423700631
artificial.123,0.04066190459380186
artificial.148,0.03982003330471402
artificial.86,0.03901834058976993
artificial.25,0.03886632310333816
artificial.158,0.03805964602123546
artificial.76,0.03778450517003195
artificial.157,0.0374555801483574
artificial.153,0.03456502188607554
artificial.121,0.03309308916240186
artificial.161,0.032652883388659654
artificial.114,0.031974154316532916
artificial.62,0.03192072065669272
artificial.23,0.031830734212015335
artificial.10,0.031612775154308465
artificial.183,0.030664320206099462
artificial.71,0.029896978019455966
artificial.176,0.029542362826886208
artificial.169,0.028807793741000294
artificial.117,0.02814773099202283
artificial.110,0.02808185269529557
artificial.151,0.02654779905379137
artificial.130,0.026441710368662812
artificial.35,0.025852920197452035
artificial.55,0.02324690246719282
artificial.139,0.022935330128832372
artificial.36,0.022251221872613757
artificial.163,0.022063921889577127
artificial.113,0.02201364442672272
artificial.38,0.021833462259761995
artificial.166,0.02162365336724547
artificial.14,0.02161636727281006
artificial.170,0.021265470794121423
artificial.2,0.02115808556850377
artificial.175,0.021062740913070796
artificial.173,0.019956819072023672
artificial.26,0.01969754401366819
artificial.13,0.0192403412137496
artificial.144,0.01916839472438907
artificial.48,0.01903589678230814
artificial.182,0.018722392038762223
artificial.108,0.01868480776725854
artificial.174,0.018516224274784464
artificial.61,0.017567660668066656
artificial.181,0.017022440708898384
artificial.150,0.016902731667354166
artificial.54,0.01689179403728026
artificial.165,0.016585644965795416
artificial.193,0.016113588123683048
artificial.75,0.01587311283269271
artificial.43,0.015349300024704082
artificial.52,0.015155199048208539
artificial.128,0.01432626942655008
artificial.11,0.014238815519999897
artificial.37,0.01421457615863352
artificial.20,0.01414289122825027
artificial.131,0.013885322409324573
artificial.92,0.013233642655430845
artificial.120,0.013007515831563473
artificial.44,0.012995442772544668
artificial.41,0.012727589589454528
artificial.80,0.012534364905144174
artificial.106,0.012517239953253424
artificial.185,0.012289958950153912
artificial.138,0.012201295722812358
artificial.31,0.012180502078803685
artificial.40,0.01198907887959957
artificial.187,0.011915633914994889
artificial.99,0.01186161149322089
artificial.82,0.011852922167749122
artificial.83,0.011609886422230705
artificial.16,0.011484904818733165
artificial.129,0.011253138059166695
artificial.133,0.010422717272141944
artificial.45,0.01029536724758545
artificial.6,0.010288661369182958
artificial.81,0.010037524948174585
artificial.135,0.009864888462550393
artificial.142,0.009633560521608476
artificial.19,0.009609317128282887
artificial.115,0.009605907726293076
artificial.85,0.009600586004838655
artificial.32,0.009595038417652432
artificial.162,0.00953489094743658
artificial.90,0.009229299174902922
artificial.97,0.009215491342143261
artificial.69,0.00912995001869403
artificial.59,0.009120391466666117
artificial.95,0.00904290438375953
artificial.177,0.00894259573187983
artificial.29,0.008932090315243838
artificial.28,0.008754142911523514
artificial.77,0.008622353355173671
artificial.192,0.008029076379742204
artificial.79,0.0077939867029702715
artificial.33,0.007606612412516565
artificial.46,0.007487832516315958
artificial.190,0.0074432132110978195
artificial.58,0.0070887675690539265
artificial.124,0.007068422902261303
artificial.87,0.00694317618765985
artificial.88,0.006848751045122821
artificial.107,0.00675050905363936
artificial.84,0.006604560959459346
artificial.186,0.006547033333830705
artificial.154,0.006512058948507171
artificial.9,0.006474104943022651
artificial.178,0.006392503547649162
artificial.122,0.006145681504223697
artificial.125,0.00608329099423268
artificial.111,0.006062268258058887
artificial.27,0.005971162475635939
artificial.3,0.005930657111158235
artificial.155,0.005885236943891731
artificial.51,0.005707357337949172
artificial.1,0.00570098909568308
artificial.127,0.005583821835801744
artificial.119,0.005560592544947356
artificial.24,0.005495095732019594
artificial.104,0.0054090873579449176
artificial.179,0.00518762772404662
artificial.160,0.004981055165581495
artificial.126,0.004968720474952917
artificial.132,0.004882427395488582
artificial.63,0.004803008173275779
artificial.47,0.0047265842341167215
artificial.134,0.004315605202540195
artificial.102,0.004311465789281078
artificial.49,0.0041748701085255885
artificial.94,0.004046396942538602
artificial.68,0.0038745495636735646
artificial.72,0.003847625002114995
artificial.159,0.0037259832789626264
artificial.140,0.003698170202574589
artificial.191,0.0036459397270404885
artificial.136,0.00354559229846885
artificial.93,0.0034494169186968337
artificial.15,0.0032265387496552963
artificial.98,0.00285528411029185
artificial.56,0.0026034799680417736
artificial.105,0.0024740950605623424
artificial.156,0.0024184373987662278
artificial.137,0.002403018161267423
artificial.96,0.0020804311650457945
artificial.39,0.00206857926455206
artificial.73,0.002
artificial.103,0.0019501027573259977
artificial.57,0.001923840131455124
artificial.53,0.001668238871790804
artificial.67,0.0016564117253055801
artificial.168,0.0016298470406455748
artificial.5,0.0015028927172732133
artificial.70,0.001479141082174531
artificial.145,0.001336680317082867
artificial.12,0.0010281044914783358
artificial.118,0.0006404542415134338
artificial.167,0.0006279053530578281
artificial.116,0.0005909976321394992
artificial.4,0.0005380859673493498
artificial.34,0.000517205112900473
artificial.146,0.00044385619963354305
artificial.147,0.0003207008962454247
artificial.22,0.0
artificial.30,0.0
artificial.21,0.0
artificial.100,0.0
artificial.101,0.0
artificial.109,0.0
artificial.91,0.0
artificial.149,0.0
artificial.152,0.0
artificial.143,0.0
artificial.189,0.0
