,Max Proba
CD4_T_cells_FoxP3+_glandfront_eccentricity,0.23156392543050525
Dendritic_Cells_CD209CD86dp_glandfront_celldistance,0.14552226324563275
Gland_vascular_endothelium_glandfront_area,0.1345935813132885
CD4_T_cells_HLA-DR+_stromal_eccentricity,0.12800098299539178
CD8_T_cells_CD11b+_stromal_eccentricity,0.1214036132451615
Macrophages_M2-like_glandfront_area,0.11437502868516641
CD8_T_cells_HLA-DR+_glandfront_eccentricity,0.09983042484319186
CD8_T_cells_HLA-DR+_stromal_area,0.09561438782007657
NK_cells_CD56brCD16-CD9hi_glandfront_area,0.09430668283700125
Gland_vascular_endothelium_glandfront_celldistance,0.0878325713166871
CD8_T_cells_HLA-DR+_glandfront_celldistance,0.08776805346144691
Dendritic_Cells_CD33+_stromal_eccentricity,0.08764302504100871
Macrophages_M1_M2_glandfront_eccentricity,0.08455327484194954
CD8_T_cells_FoxP3+_glandfront_area,0.07931609994588239
CD8_T_cells_FoxP3+_glandfront_celldistance,0.06986151576720737
Gland_vascular_endothelium_glandfront_eccentricity,0.06684956093040198
aSMA-br_mesenchymal_stromal_area,0.06484652695596564
NK_cells_CD56dimCD16+_stromal_area,0.06365762826830808
Dendritic_Cells_CD209CD33dp_glandfront_celldistance,0.06231334438059161
CD4_T_cells_HLA-DR+_glandfront_area,0.06111580240841568
CD4_T_cells_HLA-DR+_stromal_area,0.06052835432350543
NK_cells_CD56dimCD16+_stromal_eccentricity,0.05797403129035042
Dendritic_Cells_CD33+_stromal_area,0.05793820041222287
NA_stromal_area,0.0536716296106754
CD4_T_cells_CD80_CD86+_stromal_area,0.053362752203214875
NA_glandfront_area,0.05250432435082604
Neutrophils_glandfront_eccentricity,0.04788125152830783
Gland_glandular_epithelium_glandfront_area,0.046964839687108524
NK_cells_CD56brCD16-_stromal_eccentricity,0.0434799166594207
CD8_T_cells_CD80_CD86+_intragland_eccentricity,0.04176518073719613
NA_glandfront_celldistance,0.03750770644189078
Macrophages_M1_M2_glandfront_celldistance,0.036496501723630094
Stroma_vascular_endothelium_stromal_area,0.03518153943811648
NK_cells_CD56brCD16-TIM3hi_glandfront_celldistance,0.03427180011787761
NK_cells_CD56dimCD16+CD9hi_intragland_area,0.03358018832718047
NKT_glandfront_area,0.03269443412804536
Stroma_vascular_endothelium_glandfront_area,0.03209658615741857
CD8_T_cells_FoxP3+_stromal_eccentricity,0.03190713784618545
Macrophages_M1_M2_stromal_area,0.03128278297952124
Gland_mesenchymal_stromal_eccentricity,0.030807023889931673
Stroma_vascular_endothelium_glandfront_celldistance,0.030331726792461756
Neutrophils_stromal_area,0.029618305159273852
aSMA-br_fibroblast_glandfront_eccentricity,0.028779198115598936
CD8_T_cells_CD11b+_glandfront_eccentricity,0.028512418665221508
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_eccentricity,0.02850540040522835
Neutrophils_glandfront_celldistance,0.028310369729373668
Macrophages_MDSC_glandfront_celldistance,0.027788144982863014
aSMA-br_fibroblast_glandfront_celldistance,0.027461133116192468
Dendritic_Cells_CD33+_intragland_eccentricity,0.027436079548564914
CD8_T_cells_CD11b+_glandfront_celldistance,0.027375958393428216
Gland_fibroblast_glandfront_area,0.027208986551992834
CD4_T_cells_CD11b+_glandfront_celldistance,0.027178448593177577
NK_cells_CD56dimCD16+_glandfront_celldistance,0.02667391585079215
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_area,0.026277355225405134
Dendritic_Cells_CD209CD33dp_glandfront_eccentricity,0.026057020872859823
Dendritic_Cells_CD209CD86dp_glandfront_eccentricity,0.026011848837796763
Gland_vascular_endothelium_stromal_eccentricity,0.02591256562883903
Dendritic_Cells_CD86+_glandfront_eccentricity,0.025384349007509445
NK_cells_CD56brCD16-_glandfront_celldistance,0.025020498184771995
CD8_T_cells_HLA-DR+_glandfront_area,0.02498646402338587
Gland_fibroblast_intragland_area,0.023926542374799808
Dendritic_Cells_CD33+_glandfront_area,0.02336930091166397
