,Max Proba
CD8_T_cells_HLA-DR+_stromal_cellfrequency,0.31936207395055516
Dendritic_Cells_CD209CD33dp_stromal_cellfrequency,0.23489949195219956
CD4_T_cells_HLA-DR+_stromal_cellfrequency,0.22961740502713698
Macrophages_M2-like_intragland_cellfrequency,0.19985879514482177
Neutrophils_glandfront_cellfrequency,0.17454162061876302
CD8_T_cells_FoxP3+_intragland_cellfrequency,0.10716314886484926
NA_stromal_cellfrequency,0.07507460704258585
NK_cells_CD56brCD16-NKG2Ahi_glandfront_cellfrequency,0.07398902487148717
NK_cells_CD56brCD16-NKG2AhiTIM3hi_intragland_cellfrequency,0.06975137122421002
CD8_T_cells_CD80_CD86+_stromal_cellfrequency,0.06957501891004898
aSMA-br_epithelial_stem_intragland_cellfrequency,0.06651959202252414
NK_cells_CD56dimCD16+_glandfront_cellfrequency,0.06540881721328062
NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency,0.061690402844366554
Stroma_fibroblast_intragland_cellfrequency,0.06151229520334173
Stroma_mesenchymal_glandfront_cellfrequency,0.05459307711447459
CD4_T_cells_CD80_CD86+_stromal_cellfrequency,0.05451061836526674
Macrophages_MDSC_stromal_cellfrequency,0.05227394324735858
aSMA-br_mesenchymal_intragland_cellfrequency,0.05036693421871798
Macrophages_MDSC_glandfront_cellfrequency,0.04961808334806998
CD4_T_cells_FoxP3+_stromal_cellfrequency,0.04960272349647838
NA_glandfront_cellfrequency,0.04706947220873394
NK_cells_CD56dimCD16+CD9hi_glandfront_cellfrequency,0.04657599865416486
Gland_mesenchymal_glandfront_cellfrequency,0.04600335381935944
Gland_vascular_endothelium_glandfront_cellfrequency,0.045925042149570466
Dendritic_Cells_CD33+_stromal_cellfrequency,0.04367106991014735
Gland_vascular_endothelium_intragland_cellfrequency,0.042440170915116406
Macrophages_M2-like_glandfront_cellfrequency,0.04181606727952988
Stroma_mesenchymal_intragland_cellfrequency,0.04177740064619854
NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency,0.04161661399607031
Neutrophils_intragland_cellfrequency,0.04135806617287037
CD4_T_cells_CD80_CD86+_glandfront_cellfrequency,0.04039089600727116
Gland_fibroblast_glandfront_cellfrequency,0.039368328175088285
Stroma_epithelial_stem_stromal_cellfrequency,0.03790536470633814
aSMA-br_glandular_epithelium_glandfront_cellfrequency,0.035895664127406586
Gland_vascular_endothelium_stromal_cellfrequency,0.03294947690235907
Dendritic_Cells_CD86+_glandfront_cellfrequency,0.03162899205676156
Gland_glandular_epithelium_stromal_cellfrequency,0.030769673949921642
NK_cells_CD56brCD16-_glandfront_cellfrequency,0.030431072967140906
B_cells_glandfront_cellfrequency,0.03027556112256268
NK_cells_CD56brCD16-NKG2AhiTIM3hi_glandfront_cellfrequency,0.028800075079676236
NKT_stromal_cellfrequency,0.028324579786972785
aSMA-br_vascular_endothelium_intragland_cellfrequency,0.027658611883494614
CD8_T_cells_HLA-DR+_glandfront_cellfrequency,0.027236606579286112
CD4_T_cells_CD11b+_glandfront_cellfrequency,0.025980971829053
Stroma_glandular_epithelium_intragland_cellfrequency,0.025335712348359688
aSMA-br_vascular_endothelium_glandfront_cellfrequency,0.02438775556757336
CD8_T_cells_CD80_CD86+_intragland_cellfrequency,0.024071321284316563
NK_cells_CD56dimCD16+_stromal_cellfrequency,0.02386885236307054
aSMA-br_fibroblast_stromal_cellfrequency,0.022321262398407888
Neutrophils_stromal_cellfrequency,0.02221881015158115
NK_cells_CD56brCD16-TIM3hi_intragland_cellfrequency,0.020040736640276398
Stroma_vascular_endothelium_stromal_cellfrequency,0.019528818597849263
Macrophages_MDSC_intragland_cellfrequency,0.01890315819312837
Macrophages_M1-like_glandfront_cellfrequency,0.018183273943463026
Gland_fibroblast_intragland_cellfrequency,0.01781598527873691
aSMA-br_glandular_epithelium_stromal_cellfrequency,0.017432762422929952
Gland_mesenchymal_stromal_cellfrequency,0.015824354302905796
Macrophages_M1-like_intragland_cellfrequency,0.01570840052049376
NKT_glandfront_cellfrequency,0.014685509592597398
Gland_glandular_epithelium_intragland_cellfrequency,0.014437880504175703
Gland_epithelial_stem_intragland_cellfrequency,0.014256723501806786
Dendritic_Cells_CD209CD86dp_stromal_cellfrequency,0.01387321426359159
Gland_mesenchymal_intragland_cellfrequency,0.013788705023451144
NK_cells_CD56dimCD16+CD9hi_intragland_cellfrequency,0.01364962927291545
aSMA-br_fibroblast_glandfront_cellfrequency,0.013311294615069766
CD4_T_cells_FoxP3+_glandfront_cellfrequency,0.013214142635835188
Stroma_fibroblast_glandfront_cellfrequency,0.012375896158760854
Macrophages_M1-like_stromal_cellfrequency,0.011642783255854341
NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency,0.010825966517829808
NA_intragland_cellfrequency,0.010735083598370408
NKT_intragland_cellfrequency,0.010673275064695804
aSMA-br_mesenchymal_glandfront_cellfrequency,0.009890161500983378
Macrophages_M1_M2_glandfront_cellfrequency,0.009288273925624474
aSMA-br_vascular_endothelium_stromal_cellfrequency,0.009046643921767582
Dendritic_Cells_CD33+_glandfront_cellfrequency,0.00883925443907833
Dendritic_Cells_CD86+_stromal_cellfrequency,0.008222068680824252
Gland_glandular_epithelium_glandfront_cellfrequency,0.007915500169685882
NK_cells_CD56brCD16-_intragland_cellfrequency,0.006999102169245429
aSMA-br_epithelial_stem_glandfront_cellfrequency,0.006607022606067695
Macrophages_M2-like_stromal_cellfrequency,0.006570585290329935
CD8_T_cells_CD80_CD86+_glandfront_cellfrequency,0.006518670098523136
CD8_T_cells_FoxP3+_glandfront_cellfrequency,0.006044004280070671
NK_cells_CD56brCD16-TIM3hi_glandfront_cellfrequency,0.005226901902203246
