,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
B_cells_glandfront_cellfrequency,0.0068417987786233425,0.006254829000681639,0.005810324102640152,0.0058182221837341785,0.007090848404914141,0.006876785308122635,0.006255045533180237,0.005810324102640152,0.0058182221837341785,0.007090848404914141,0.006876785308122635,0.006255045533180237,0.005810324102640152,0.0058182221837341785,0.007090848404914141
B_cells_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_cells_stromal_cellfrequency,0.015407348982989788,0.013784646056592464,0.011718815192580223,0.01057693362236023,0.01301087997853756,0.015407358296215534,0.013784646056592464,0.011718815192580223,0.01057693362236023,0.01301087997853756,0.015407358296215534,0.013784646056592464,0.011718815192580223,0.01057693362236023,0.01301087997853756
CD4_T_cells_FoxP3+_glandfront_cellfrequency,0.007669298909604549,0.006694648880511522,0.006249791476875544,0.006527623161673546,0.011405963450670242,0.007669405080378056,0.006694648880511522,0.006249791476875544,0.006527623161673546,0.011405963450670242,0.007669405080378056,0.006694648880511522,0.006249791476875544,0.006527623161673546,0.011405963450670242
CD4_T_cells_FoxP3+_stromal_cellfrequency,0.0022784837055951357,0.0020663703326135874,0.0018081122543662786,0.0015780533431097865,0.0010739301797002554,0.0022784837055951357,0.0020663703326135874,0.0018081122543662786,0.0015780533431097865,0.0010739301797002554,0.0022784837055951357,0.0020663703326135874,0.0018081122543662786,0.0015780533431097865,0.0010739301797002554
CD8_T_cells_FoxP3+_glandfront_cellfrequency,0.029275307431817055,0.026434164494276047,0.024336334317922592,0.025131724774837494,0.03279070183634758,0.02927538938820362,0.026434198021888733,0.024336334317922592,0.025131724774837494,0.03279070183634758,0.02927538938820362,0.026434198021888733,0.024336334317922592,0.025131724774837494,0.03279070183634758
CD8_T_cells_FoxP3+_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8_T_cells_FoxP3+_stromal_cellfrequency,0.016289016231894493,0.014222701080143452,0.012769347988069057,0.01155020296573639,0.01302309799939394,0.016270726919174194,0.014218236319720745,0.012769347988069057,0.01155020296573639,0.01302309799939394,0.016270726919174194,0.014218236319720745,0.012769347988069057,0.01155020296573639,0.01302309799939394
CD4_T_cells_HLA-DR+_glandfront_cellfrequency,0.11274401098489761,0.11294308304786682,0.11254388093948364,0.10529516637325287,0.05726053938269615,0.11279132217168808,0.11298621445894241,0.11254388093948364,0.10529516637325287,0.05726053938269615,0.11279132217168808,0.11298621445894241,0.11254388093948364,0.10529516637325287,0.05726053938269615
CD4_T_cells_HLA-DR+_stromal_cellfrequency,0.22817333042621613,0.22081583738327026,0.21333888173103333,0.20315858721733093,0.2028108537197113,0.2281877100467682,0.22081613540649414,0.21333888173103333,0.20315858721733093,0.2028108537197113,0.2281877100467682,0.22081613540649414,0.21333888173103333,0.20315858721733093,0.2028108537197113
