,Max Proba
aSMA-br_mesenchymal_glandfront_ERa,0.10796114802360535
NKT_glandfront_pP38,0.09815211594104767
Gland_glandular_epithelium_intragland_Ki67,0.09132534265518188
CD8_T_cells_HLA-DR+_glandfront_ERa,0.072527676820755
NK_cells_CD56brCD16-TIM3hi_stromal_Ki67,0.06156565994024277
Dendritic_Cells_CD209CD86dp_stromal_Ki67,0.05737762898206711
Macrophages_M1_M2_glandfront_VEGF,0.05580534785985947
Gland_glandular_epithelium_glandfront_Ki67,0.05367858335375786
Macrophages_M2-like_stromal_HLA-DR,0.05030743032693863
Neutrophils_glandfront_VEGF,0.049982111901044846
NKT_glandfront_Ki67,0.04853855073451996
CD8_T_cells_HLA-DR+_glandfront_Ki67,0.04702124372124672
CD4_T_cells_CD80_CD86+_glandfront_GranzymeB,0.0445522703230381
Gland_glandular_epithelium_intragland_ERa,0.04428166151046753
CD4_T_cells_HLA-DR+_stromal_HLA-DR,0.043733056634664536
Gland_mesenchymal_intragland_GranzymeB,0.04373081773519516
Stroma_fibroblast_glandfront_VEGF,0.04288959503173828
Macrophages_MDSC_glandfront_PR,0.040114451199769974
NK_cells_CD56dimCD16+CD9hi_stromal_NKG2C,0.03990909829735756
CD4_T_cells_CD11b+_stromal_VEGF,0.03964546322822571
CD4_T_cells_CD80_CD86+_glandfront_ERa,0.03841032087802887
Macrophages_M2-like_stromal_TIM3,0.03521564602851868
Dendritic_Cells_CD209CD86dp_glandfront_pP38,0.035156529396772385
CD4_T_cells_CD80_CD86+_stromal_pP38,0.03413979709148407
NK_cells_CD56brCD16-_stromal_GranzymeB,0.033050891011953354
Gland_mesenchymal_intragland_Ki67,0.032721973955631256
Gland_fibroblast_intragland_VEGF,0.031118853017687798
CD4_T_cells_HLA-DR+_stromal_PR,0.029908783733844757
Gland_fibroblast_intragland_PR,0.028846345841884613
Macrophages_M1_M2_glandfront_ERa,0.028634993359446526
CD4_T_cells_CD11b+_glandfront_VEGF,0.028317200019955635
Macrophages_MDSC_glandfront_GranzymeB,0.02813347429037094
CD8_T_cells_HLA-DR+_stromal_ERa,0.027773253619670868
aSMA-br_mesenchymal_glandfront_HLA-DR,0.02727864682674408
CD4_T_cells_HLA-DR+_stromal_Ki67,0.027003901079297066
Neutrophils_stromal_Ki67,0.025373268872499466
