,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.009957886300981045,0.008396890945732594,0.007611243985593319,0.006898208521306515,0.01055523008108139,0.00995786301791668,0.008396890945732594,0.007611243985593319,0.006898208521306515,0.01055523008108139,0.00995786301791668,0.008396890945732594,0.007611243985593319,0.006898208521306515,0.01055523008108139
artificial.2,0.006405325140804052,0.0058423904702067375,0.00505946297198534,0.003325800411403179,0.0020230254158377647,0.006405206862837076,0.0058423904702067375,0.00505946297198534,0.003325800411403179,0.0020230254158377647,0.006405206862837076,0.0058423904702067375,0.00505946297198534,0.003325800411403179,0.0020230254158377647
artificial.3,0.02755758911371231,0.027685420587658882,0.02713356725871563,0.02519761398434639,0.014874165877699852,0.02755758911371231,0.027685420587658882,0.02713356725871563,0.02519761398434639,0.014874165877699852,0.02755758911371231,0.027685420587658882,0.02713356725871563,0.02519761398434639,0.014874165877699852
artificial.4,0.02118666097521782,0.019841952249407768,0.018761923536658287,0.01851576566696167,0.018536299467086792,0.02118663489818573,0.019841952249407768,0.018761923536658287,0.01851576566696167,0.018536299467086792,0.02118663489818573,0.019841952249407768,0.018761923536658287,0.01851576566696167,0.018536299467086792
artificial.5,0.014150166884064674,0.012792338617146015,0.011588804423809052,0.011078296229243279,0.018450232222676277,0.014150165021419525,0.012792338617146015,0.011588804423809052,0.011078296229243279,0.018450232222676277,0.014150165021419525,0.012792338617146015,0.011588804423809052,0.011078296229243279,0.018450232222676277
artificial.6,0.014915473759174347,0.012694320641458035,0.011394728906452656,0.010126302018761635,0.015243608504533768,0.014915473759174347,0.012694320641458035,0.011394728906452656,0.010126302018761635,0.015243608504533768,0.014915473759174347,0.012694320641458035,0.011394728906452656,0.010126302018761635,0.015243608504533768
artificial.7,0.03184335678815842,0.03189881891012192,0.031975846737623215,0.030201302841305733,0.0217975415289402,0.03184332698583603,0.03189881891012192,0.031975846737623215,0.030201302841305733,0.0217975415289402,0.03184332698583603,0.03189881891012192,0.031975846737623215,0.030201302841305733,0.0217975415289402
artificial.8,0.04023931547999382,0.03498774766921997,0.03213336318731308,0.03065883368253708,0.042226217687129974,0.04023931547999382,0.03498774766921997,0.03213336318731308,0.03065883368253708,0.042226217687129974,0.04023931547999382,0.03498774766921997,0.03213336318731308,0.03065883368253708,0.042226217687129974
artificial.9,0.005924733821302652,0.005887777544558048,0.005871772766113281,0.004548770375549793,0.0018391815247014165,0.005924625787883997,0.005887777544558048,0.005871772766113281,0.004548770375549793,0.0018391815247014165,0.005924625787883997,0.005887777544558048,0.005871772766113281,0.004548770375549793,0.0018391815247014165
artificial.10,0.0034314801450818777,0.0033041578717529774,0.003074738895520568,0.0034551392309367657,0.003763989545404911,0.0034314801450818777,0.0033041578717529774,0.003074738895520568,0.0034551392309367657,0.003763989545404911,0.0034314801450818777,0.0033041578717529774,0.003074738895520568,0.0034551392309367657,0.003763989545404911
artificial.11,0.006663540378212929,0.006119217723608017,0.005722100380808115,0.005833269562572241,0.005769565235823393,0.006663540378212929,0.006119217723608017,0.005722100380808115,0.005833269562572241,0.005769565235823393,0.006663540378212929,0.006119217723608017,0.005722100380808115,0.005833269562572241,0.005769565235823393
artificial.12,0.009087991900742054,0.008312419056892395,0.007614370435476303,0.006556110456585884,0.004718533251434565,0.009087985381484032,0.008312419056892395,0.007614370435476303,0.006556110456585884,0.004718533251434565,0.009087985381484032,0.008312419056892395,0.007614370435476303,0.006556110456585884,0.004718533251434565
artificial.13,0.003184539033100009,0.0027044264134019613,0.0023727340158075094,0.0019621141254901886,0.0007769730873405933,0.0031845325138419867,0.0027044264134019613,0.0023727340158075094,0.0019621141254901886,0.0007769730873405933,0.0031845325138419867,0.0027044264134019613,0.0023727340158075094,0.0019621141254901886,0.0007769730873405933
artificial.14,0.014185401611030102,0.012831059284508228,0.012157746590673923,0.012328284792602062,0.012029381468892097,0.014185401611030102,0.012831059284508228,0.012157746590673923,0.012328284792602062,0.012029381468892097,0.014185401611030102,0.012831059284508228,0.012157746590673923,0.012328284792602062,0.012029381468892097
artificial.15,0.008020667359232903,0.006957444362342358,0.007032924797385931,0.007361812051385641,0.005421983078122139,0.008020667359232903,0.006957444362342358,0.007032924797385931,0.007361812051385641,0.005421983078122139,0.008020667359232903,0.006957444362342358,0.007032924797385931,0.007361812051385641,0.005421983078122139
artificial.16,0.0038244319148361683,0.0035365212243050337,0.0037352058570832014,0.0034332566428929567,0.0018473410746082664,0.003824395127594471,0.0035365212243050337,0.0037352058570832014,0.0034332566428929567,0.0018473410746082664,0.003824395127594471,0.0035365212243050337,0.0037352058570832014,0.0034332566428929567,0.0018473410746082664
