,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.017247822135686874,0.01573134772479534,0.015057413838803768,0.013401268981397152,0.011796730570495129,0.017247691750526428,0.01573134772479534,0.015057413838803768,0.013401268981397152,0.011796730570495129,0.017247691750526428,0.01573134772479534,0.015057413838803768,0.013401268981397152,0.011796730570495129
artificial.2,0.03790804371237755,0.035476312041282654,0.03438963368535042,0.03128852695226669,0.0308414027094841,0.03789270669221878,0.035476312041282654,0.03438963368535042,0.03128852695226669,0.0308414027094841,0.03789270669221878,0.035476312041282654,0.03438963368535042,0.03128852695226669,0.0308414027094841
artificial.3,0.08099036663770676,0.07266904413700104,0.06601665169000626,0.05827385559678078,0.07922407984733582,0.08094742149114609,0.0726688951253891,0.06601665169000626,0.05827385559678078,0.07922407984733582,0.08094742149114609,0.0726688951253891,0.06601665169000626,0.05827385559678078,0.07922407984733582
artificial.4,0.050344523042440414,0.045199666172266006,0.042488712817430496,0.0381973497569561,0.045898377895355225,0.05034082382917404,0.04519949480891228,0.042488712817430496,0.0381973497569561,0.045898377895355225,0.05034082382917404,0.04519949480891228,0.042488712817430496,0.0381973497569561,0.045898377895355225
artificial.5,0.013369515538215637,0.011804785579442978,0.010653874836862087,0.0104425810277462,0.01404173206537962,0.013369218446314335,0.011804785579442978,0.010653874836862087,0.0104425810277462,0.01404173206537962,0.013369218446314335,0.011804785579442978,0.010653874836862087,0.0104425810277462,0.01404173206537962
artificial.6,0.01361561007797718,0.012904050759971142,0.012363318353891373,0.011189628392457962,0.00409693643450737,0.013615251518785954,0.012904031202197075,0.012363318353891373,0.011189628392457962,0.00409693643450737,0.013615251518785954,0.012904031202197075,0.012363318353891373,0.011189628392457962,0.00409693643450737
artificial.7,0.00897262617945671,0.008289091289043427,0.008115634322166443,0.007055864203721285,0.0076675573363900185,0.00894311536103487,0.008289076387882233,0.008115634322166443,0.007055864203721285,0.0076675573363900185,0.00894311536103487,0.008289076387882233,0.008115634322166443,0.007055864203721285,0.0076675573363900185
artificial.8,0.022299721837043762,0.022159600630402565,0.021310966461896896,0.019562281668186188,0.004688376560807228,0.02229754999279976,0.022159600630402565,0.021310966461896896,0.019562281668186188,0.004688376560807228,0.02229754999279976,0.022159600630402565,0.021310966461896896,0.019562281668186188,0.004688376560807228
artificial.9,0.021679909899830818,0.019647380337119102,0.017942793667316437,0.016331152990460396,0.020826688036322594,0.02170930616557598,0.019647380337119102,0.017942793667316437,0.016331152990460396,0.020826688036322594,0.02170930616557598,0.019647380337119102,0.017942793667316437,0.016331152990460396,0.020826688036322594
artificial.10,0.027806585654616356,0.027205880731344223,0.026829436421394348,0.024601828306913376,0.017939934507012367,0.027806024998426437,0.027205880731344223,0.026829436421394348,0.024601828306913376,0.017939934507012367,0.027806024998426437,0.027205880731344223,0.026829436421394348,0.024601828306913376,0.017939934507012367
