,Feature Name
Feature n°1,CD4_T_cells_HLA-DR+_stromal_area
Feature n°2,CD8_T_cells_HLA-DR+_stromal_area
Feature n°3,CD4_T_cells_CD80_CD86+_glandfront_area
Feature n°4,CD4_T_cells_CD80_CD86+_stromal_area
Feature n°5,CD8_T_cells_CD80_CD86+_stromal_area
Feature n°6,Stroma_vascular_endothelium_stromal_area
Feature n°7,Stroma_fibroblast_stromal_area
Feature n°8,NK_cells_CD56brCD16-TIM3hi_stromal_area
Feature n°9,NK_cells_CD56dimCD16+CD9hi_stromal_area
Feature n°10,NK_cells_CD56brCD16-CD9hi_stromal_area
Feature n°11,Macrophages_M1-like_glandfront_area
Feature n°12,Macrophages_M1_M2_glandfront_area
Feature n°13,Macrophages_M1_M2_stromal_area
Feature n°14,Neutrophils_stromal_area
Feature n°15,NKT_glandfront_area
Feature n°16,aSMA-br_fibroblast_stromal_area
Feature n°17,aSMA-br_mesenchymal_stromal_area
Feature n°18,aSMA-br_vascular_endothelium_glandfront_area
Feature n°19,aSMA-br_vascular_endothelium_stromal_area
Feature n°20,Gland_glandular_epithelium_glandfront_area
Feature n°21,Gland_fibroblast_glandfront_area
Feature n°22,CD8_T_cells_CD80_CD86+_stromal_eccentricity
Feature n°23,CD4_T_cells_CD11b+_stromal_eccentricity
Feature n°24,Macrophages_M1-like_stromal_eccentricity
Feature n°25,NA_stromal_eccentricity
Feature n°26,Macrophages_M2-like_glandfront_celldistance
