,Max Proba
CD8_T_cells_HLA-DR+_glandfront_cellfrequency,0.24324019209693998
Gland_mesenchymal_stromal_cellfrequency,0.1716402314973161
aSMA-br_fibroblast_glandfront_cellfrequency,0.16787224543241502
aSMA-br_epithelial_stem_glandfront_cellfrequency,0.11825354436845775
CD8_T_cells_CD11b+_glandfront_cellfrequency,0.09624516014870664
Stroma_mesenchymal_intragland_cellfrequency,0.08892523573689891
Gland_fibroblast_intragland_cellfrequency,0.08463831740070733
Macrophages_M2-like_intragland_cellfrequency,0.08244321429812994
Gland_fibroblast_glandfront_cellfrequency,0.07718952567852486
CD8_T_cells_HLA-DR+_intragland_cellfrequency,0.07292941038138584
Gland_glandular_epithelium_intragland_cellfrequency,0.07081138313993995
Macrophages_M2-like_glandfront_cellfrequency,0.06946405126428457
Stroma_epithelial_stem_intragland_cellfrequency,0.06875864381196913
Gland_vascular_endothelium_intragland_cellfrequency,0.06715340783506801
NK_cells_CD56brCD16-CD9hi_intragland_cellfrequency,0.06692077489665203
NKT_intragland_cellfrequency,0.06625609574269833
aSMA-br_glandular_epithelium_stromal_cellfrequency,0.06346163787817061
NA_intragland_cellfrequency,0.055418940594019896
aSMA-br_vascular_endothelium_intragland_cellfrequency,0.05291759074004952
Dendritic_Cells_CD86+_glandfront_cellfrequency,0.05230744354133206
NKT_stromal_cellfrequency,0.049579774345191535
NA_glandfront_cellfrequency,0.04861336451654473
CD4_T_cells_CD11b+_stromal_cellfrequency,0.04810572122069552
Macrophages_M1_M2_glandfront_cellfrequency,0.04706895066466896
NK_cells_CD56brCD16-NKG2AhiTIM3hi_intragland_cellfrequency,0.04655767477436821
aSMA-br_fibroblast_stromal_cellfrequency,0.04517008542475126
NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency,0.04390250095856974
Macrophages_MDSC_glandfront_cellfrequency,0.03877709310782359
Gland_mesenchymal_glandfront_cellfrequency,0.03710636706388319
Dendritic_Cells_CD33+_stromal_cellfrequency,0.036891308892175304
Dendritic_Cells_CD209CD33dp_stromal_cellfrequency,0.036455246304974404
aSMA-br_glandular_epithelium_intragland_cellfrequency,0.03528846099957857
CD8_T_cells_HLA-DR+_stromal_cellfrequency,0.03290978133771228
Gland_mesenchymal_intragland_cellfrequency,0.032903203636450384
CD4_T_cells_CD80_CD86+_glandfront_cellfrequency,0.03268406325675677
Stroma_fibroblast_intragland_cellfrequency,0.031058818309738598
CD4_T_cells_FoxP3+_glandfront_cellfrequency,0.02995761975103971
NA_stromal_cellfrequency,0.02967877697435134
aSMA-br_fibroblast_intragland_cellfrequency,0.028894562600123325
CD4_T_cells_HLA-DR+_stromal_cellfrequency,0.028751852836495624
B_cells_glandfront_cellfrequency,0.0276029238114843
Macrophages_MDSC_intragland_cellfrequency,0.027284698036852986
CD8_T_cells_CD80_CD86+_stromal_cellfrequency,0.027065348045453092
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_cellfrequency,0.024274841118343916
CD4_T_cells_CD80_CD86+_stromal_cellfrequency,0.023637384474393973
NK_cells_CD56brCD16-TIM3hi_intragland_cellfrequency,0.02185710324302488
NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency,0.021114664504280796
Dendritic_Cells_CD86+_stromal_cellfrequency,0.021000675813184693
Gland_vascular_endothelium_glandfront_cellfrequency,0.020959483926810553
Stroma_glandular_epithelium_glandfront_cellfrequency,0.02051001526267157
Macrophages_M1-like_glandfront_cellfrequency,0.020455311845028253
Macrophages_M1-like_stromal_cellfrequency,0.020223169977204608
Gland_glandular_epithelium_glandfront_cellfrequency,0.020150337590654165
CD4_T_cells_CD11b+_glandfront_cellfrequency,0.019692081149765894
CD4_T_cells_FoxP3+_stromal_cellfrequency,0.01895202304528944
Stroma_glandular_epithelium_intragland_cellfrequency,0.018067644341199198
Gland_epithelial_stem_glandfront_cellfrequency,0.0167170789511181
Dendritic_Cells_CD209CD86dp_glandfront_cellfrequency,0.01607435371681928
NK_cells_CD56dimCD16+CD9hi_glandfront_cellfrequency,0.01571140380642991
Gland_fibroblast_stromal_cellfrequency,0.0157093644344926
CD4_T_cells_HLA-DR+_glandfront_cellfrequency,0.01570134677329853
B_cells_intragland_cellfrequency,0.01541749370230446
NK_cells_CD56dimCD16+_stromal_cellfrequency,0.015328346608951202
Macrophages_M1_M2_stromal_cellfrequency,0.01352673058928209
CD8_T_cells_FoxP3+_glandfront_cellfrequency,0.013193484233026617
NK_cells_CD56brCD16-NKG2AhiTIM3hi_glandfront_cellfrequency,0.013029175935580195
Neutrophils_stromal_cellfrequency,0.012810850132985881
NK_cells_CD56dimCD16+_glandfront_cellfrequency,0.01230788737178562
B_cells_stromal_cellfrequency,0.011703263950973675
Neutrophils_glandfront_cellfrequency,0.011560986901298372
aSMA-br_mesenchymal_intragland_cellfrequency,0.011543834292873149
Gland_epithelial_stem_intragland_cellfrequency,0.011513262230530117
Dendritic_Cells_CD209CD86dp_intragland_cellfrequency,0.011269906872201689
aSMA-br_vascular_endothelium_glandfront_cellfrequency,0.01108294321015862
Stroma_fibroblast_glandfront_cellfrequency,0.010726327094774573
CD8_T_cells_FoxP3+_intragland_cellfrequency,0.009910372625544658
Gland_vascular_endothelium_stromal_cellfrequency,0.009800573381753691
Stroma_mesenchymal_stromal_cellfrequency,0.009529685509723348
Gland_glandular_epithelium_stromal_cellfrequency,0.009435492085891254
NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency,0.009052194173307875
NKT_glandfront_cellfrequency,0.008708841550579936
Dendritic_Cells_CD86CD33dp_intragland_cellfrequency,0.008492279977669732
Neutrophils_intragland_cellfrequency,0.0081372897681369
CD8_T_cells_FoxP3+_stromal_cellfrequency,0.008086277256053116
Stroma_fibroblast_stromal_cellfrequency,0.007962185790885678
Macrophages_M1-like_intragland_cellfrequency,0.006828427501594623
NK_cells_CD56brCD16-_intragland_cellfrequency,0.006537277098362723
aSMA-br_mesenchymal_glandfront_cellfrequency,0.006533136965694496
Stroma_vascular_endothelium_intragland_cellfrequency,0.00589352516663749
Stroma_epithelial_stem_glandfront_cellfrequency,0.005716509249461424
NK_cells_CD56brCD16-NKG2Ahi_intragland_cellfrequency,0.005598132717374197
aSMA-br_glandular_epithelium_glandfront_cellfrequency,0.005415943149671972
NK_cells_CD56brCD16-TIM3hi_glandfront_cellfrequency,0.00516934620482713
Macrophages_MDSC_stromal_cellfrequency,0.004733532333265566
Dendritic_Cells_CD209CD86dp_stromal_cellfrequency,0.004359573047029139
Stroma_mesenchymal_glandfront_cellfrequency,0.004023637140942332
NK_cells_CD56brCD16-_glandfront_cellfrequency,0.003833705725649148
NK_cells_CD56dimCD16+CD9hi_intragland_cellfrequency,0.0036803852719754586
NK_cells_CD56dimCD16+CD9hi_stromal_cellfrequency,0.003625017793907455
Dendritic_Cells_CD86CD33dp_stromal_cellfrequency,0.003505101366219694
Dendritic_Cells_CD209CD33dp_glandfront_cellfrequency,0.003223518662156124
Gland_epithelial_stem_stromal_cellfrequency,0.003201490485198872
NK_cells_CD56brCD16-_stromal_cellfrequency,0.0030482370121952193
CD8_T_cells_CD11b+_intragland_cellfrequency,0.002816021318879982
NK_cells_CD56brCD16-NKG2Ahi_glandfront_cellfrequency,0.002588325684504854
aSMA-br_vascular_endothelium_stromal_cellfrequency,0.0023421920763209586
Stroma_epithelial_stem_stromal_cellfrequency,0.0019455703447793411
CD8_T_cells_CD80_CD86+_glandfront_cellfrequency,0.0019138600752737983
Dendritic_Cells_CD33+_glandfront_cellfrequency,0.0017459845407988164
NK_cells_CD56dimCD16+_intragland_cellfrequency,0.0017137159938996277
CD8_T_cells_CD11b+_stromal_cellfrequency,0.0015131822730882832
Macrophages_M2-like_stromal_cellfrequency,0.0012507964324103562
Dendritic_Cells_CD209CD33dp_intragland_cellfrequency,0.0009477435091607234
Stroma_vascular_endothelium_glandfront_cellfrequency,0.0009475728269405517
Dendritic_Cells_CD86CD33dp_glandfront_cellfrequency,0.000766378814569016
aSMA-br_mesenchymal_stromal_cellfrequency,0.0007061861928976092
NK_cells_CD56brCD16-NKG2Ahi_stromal_cellfrequency,0.00046239503826268425
Dendritic_Cells_CD33+_intragland_cellfrequency,0.00026175462952585213
aSMA-br_epithelial_stem_stromal_cellfrequency,0.00017852230355382639
CD8_T_cells_CD80_CD86+_intragland_cellfrequency,0.00014266795955280055
Stroma_vascular_endothelium_stromal_cellfrequency,0.0001208172523239931
CD4_T_cells_CD80_CD86+_intragland_cellfrequency,8.257093887599427e-05
CD4_T_cells_HLA-DR+_intragland_cellfrequency,0.0
CD4_T_cells_CD11b+_intragland_cellfrequency,0.0
Macrophages_M1_M2_intragland_cellfrequency,0.0
Dendritic_Cells_CD86+_intragland_cellfrequency,0.0
