,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
artificial.1,0.0,0.0,0.0,0.006122000614641432,0.02523807670756885,0.031035229950187326,0.03324633267035193,0.034976300918640194,0.03532249189641702,0.03570188770060202
artificial.2,0.0,0.0,0.0,0.005252694591333623,0.01979902267936875,0.02605389581579454,0.028816525558033868,0.030554865774617624,0.030943392631796237,0.0323173427342526
artificial.3,0.0,0.0,0.0,0.022011972994591684,0.04810089719212134,0.054371084660073746,0.05688468529597161,0.06081094836699387,0.06505980461086514,0.07738131623179816
artificial.4,0.0,0.0,0.0,0.00846728200630358,0.02709776551249326,0.03122675136197129,0.03220668376393186,0.032630967181455924,0.03393307018202383,0.03758407235656235
artificial.5,0.0,0.0,0.0,0.0010235225430105807,0.006957062721845723,0.008803112662580556,0.010073219475780392,0.011123769408469038,0.013107417481277835,0.013310637444168522
artificial.6,0.0,0.0,0.0,0.0008932172008838342,0.010800183065997414,0.01233444361949279,0.011999569465824353,0.011940756348558325,0.012641306682257708,0.01619681709905682
artificial.7,0.0,0.0,0.0,0.0,0.00017291356183646907,0.001164423073398584,0.0014810565941346392,0.0015600356798863612,0.0015237821465694489,0.0018070482599794205
artificial.8,0.0,0.0,0.0,0.0011198148878490731,0.008409905669128932,0.012281102269595199,0.01207867103755678,0.011125545790006876,0.011274306716068917,0.01478351973205673
artificial.9,0.0,0.0,0.0,0.0005122392378663739,0.00030585412967898423,0.0035335204777175366,0.005636770899588829,0.006876135970271146,0.007528236082874827,0.00866730376980551
artificial.10,0.0,0.0,0.0,0.0,0.005065055928733615,0.00821450763995827,0.011033546763732721,0.012432250676468493,0.01254934169844132,0.013268999171232651
artificial.11,0.0,0.0,0.0,0.00014818832360194512,0.0004423743734161959,0.0020475830825291055,0.004209262285818073,0.00507670936242399,0.005317328940854374,0.005852343578404744
artificial.12,0.0,0.0,0.0,0.0,0.0025009152233863184,0.004131170145191366,0.006900610721240756,0.00818240158425726,0.009859417905407276,0.012111696660525957
artificial.13,0.0,0.0,0.0,0.0013884018356132006,0.002042391605589396,0.003486259543745339,0.005924906805939632,0.006651700203352241,0.006974195117411121,0.0075956050430936815
artificial.14,0.0,0.0,0.0,0.0,0.0004116723455462191,0.0037679245184384998,0.005608909596706708,0.006181105501624663,0.008277962775263966,0.009112579794208537
