,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
CD4_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.0005598143325187266,0.000257459789281711,0.00018576480215415359,0.00024831690825521946,0.0005439470405690372,0.0005888183368369937,0.0002737764152698219,0.00018576480215415359,0.00024831629707477987,0.0005429527955129743,0.0005888183368369937,0.0002737764152698219,0.00018576480215415359,0.00024831629707477987,0.0005429527955129743
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.CD8.T.cells.CD80.CD86.,0.0038545310962945223,0.0034132390283048153,0.003264129161834717,0.002979590557515621,0.0038171960040926933,0.0038699281867593527,0.0034138967748731375,0.0032504969276487827,0.0029782617930322886,0.003859000513330102,0.0038699281867593527,0.0034138967748731375,0.0032504969276487827,0.0029782617930322886,0.003859000513330102
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0025687706656754017,0.0021781993564218283,0.001968857366591692,0.0017201004084199667,0.002256801351904869,0.002695441246032715,0.002179717877879739,0.001986586954444647,0.0017201239243149757,0.0022551866713911295,0.002695441246032715,0.002179717877879739,0.001986586954444647,0.0017201239243149757,0.0022551866713911295
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.008308017626404762,0.007960157468914986,0.007113798055797815,0.004544388502836227,0.00013140670489519835,0.008465094491839409,0.008033773861825466,0.007077420130372047,0.0045475163497030735,0.0001312884851358831,0.008465094491839409,0.008033773861825466,0.007077420130372047,0.0045475163497030735,0.0001312884851358831
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Gland.fibroblast,0.0008122664876282215,0.0005363621166907251,0.0003012679808307439,0.0003189051931258291,0.00030224520014598966,0.0008145472384057939,0.000537242682185024,0.00030125759076327085,0.000318905949825421,0.00030224520014598966,0.0008145472384057939,0.000537242682185024,0.00030125759076327085,0.000318905949825421,0.00030224520014598966
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.019645988941192627,0.018309427425265312,0.016456270590424538,0.011267665773630142,0.0007872663554735482,0.019478240981698036,0.01821565441787243,0.01658487133681774,0.011260228231549263,0.0007845384534448385,0.019478240981698036,0.01821565441787243,0.01658487133681774,0.011260228231549263,0.0007845384534448385
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.003425359493121505,0.0029231433290988207,0.002509243320673704,0.0017164680175483227,0.0006918943836353719,0.0034439393784850836,0.002872741548344493,0.0025103981606662273,0.001727595808915794,0.000695849652402103,0.0034439393784850836,0.002872741548344493,0.0025103981606662273,0.001727595808915794,0.000695849652402103
CD4_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.002136821858584881,0.0017205337062478065,0.0014333438593894243,0.00101491529494524,0.0002493063802830875,0.0021802096161991358,0.0017763955984264612,0.0014280242612585425,0.0010219411924481392,0.00025771270156838,0.0021802096161991358,0.0017763955984264612,0.0014280242612585425,0.0010219411924481392,0.00025771270156838
CD4_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.004821006208658218,0.004838970024138689,0.004315919708460569,0.002748708939179778,0.00012595394218806177,0.004966847598552704,0.004835514351725578,0.0043180640786886215,0.0027487617917358875,0.0001246552128577605,0.004966847598552704,0.004835514351725578,0.0043180640786886215,0.0027487617917358875,0.0001246552128577605
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.016000209376215935,0.014920556917786598,0.012743878178298473,0.008671381510794163,0.000624889915343374,0.015799013897776604,0.014913647435605526,0.01275003980845213,0.008684697560966015,0.0006215790053829551,0.015799013897776604,0.014913647435605526,0.01275003980845213,0.008684697560966015,0.0006215790053829551
