,Max Proba
Macrophages_M1_M2_stromal_area,0.38621986651357215
CD4_T_cells_CD80_CD86+_stromal_area,0.22974457148822092
CD4_T_cells_FoxP3+_stromal_eccentricity,0.19552693424339818
CD8_T_cells_HLA-DR+_glandfront_eccentricity,0.1863612286887442
Macrophages_M1-like_stromal_area,0.14646464787809294
Neutrophils_stromal_area,0.12309107804669173
Macrophages_M1-like_glandfront_area,0.11730350833388943
CD8_T_cells_HLA-DR+_glandfront_area,0.11468022013991339
CD8_T_cells_CD80_CD86+_glandfront_eccentricity,0.1136106961276065
Dendritic_Cells_CD209CD86dp_stromal_area,0.11350542533964256
NK_cells_CD56dimCD16+_stromal_eccentricity,0.08800739496800015
Dendritic_Cells_CD209CD86dp_glandfront_eccentricity,0.07909392711742827
CD8_T_cells_CD11b+_glandfront_area,0.0784265858341987
NA_stromal_area,0.07777094726862158
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_area,0.06468891369393087
CD4_T_cells_HLA-DR+_glandfront_area,0.06446433519609467
aSMA-br_vascular_endothelium_glandfront_area,0.06394329391303895
Gland_fibroblast_intragland_eccentricity,0.06008421588794974
CD8_T_cells_CD80_CD86+_glandfront_celldistance,0.05833556936657455
NK_cells_CD56dimCD16+_glandfront_celldistance,0.05331581147661359
CD8_T_cells_FoxP3+_stromal_eccentricity,0.05275493263708631
Dendritic_Cells_CD33+_stromal_area,0.051209668211804005
CD8_T_cells_FoxP3+_stromal_area,0.05044253882776354
Macrophages_MDSC_stromal_area,0.05024301617932702
NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity,0.0464697992434301
Macrophages_M1_M2_glandfront_area,0.046053604859886466
CD4_T_cells_HLA-DR+_stromal_eccentricity,0.042243595105414054
CD8_T_cells_FoxP3+_glandfront_eccentricity,0.03957005206433076
Dendritic_Cells_CD209CD86dp_glandfront_celldistance,0.03808715241224391
NK_cells_CD56brCD16-TIM3hi_glandfront_celldistance,0.03803191523637321
