,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.00759057585690635,0.006588277760054556,0.006621638226701461,0.005905440538560052,0.004495037736934049,0.0075221080597080705,0.006588600686490256,0.006621638226701461,0.005905440538560052,0.004495037736934049,0.0075221080597080705,0.006588600686490256,0.006621638226701461,0.005905440538560052,0.004495037736934049
artificial.2,0.008015456784641438,0.006641753020980874,0.006951499571492402,0.006919905445380227,0.006634742510162975,0.008015568704678531,0.006643366799485539,0.006951026963502762,0.006919905445380227,0.006634742510162975,0.008015568704678531,0.006643366799485539,0.006951026963502762,0.006919905445380227,0.006634742510162975
artificial.3,0.007259178801742203,0.005750697528330714,0.0053009738023176494,0.004796477149875792,0.004039260271828778,0.007273834496655774,0.0057520867540558395,0.005300277056339853,0.004796477149875792,0.004039260271828778,0.007273834496655774,0.0057520867540558395,0.005300277056339853,0.004796477149875792,0.004039260271828778
artificial.4,0.017201961848479476,0.015475687224713213,0.015034166131375613,0.014244339770647126,0.016183367214361078,0.017231100959781028,0.015476987439237554,0.015033364305543934,0.014244339770647126,0.016183367214361078,0.017231100959781028,0.015476987439237554,0.015033364305543934,0.014244339770647126,0.016183367214361078
artificial.5,0.0076460722150886035,0.006313412688649615,0.005685672648525628,0.005978352973785104,0.004440250071219006,0.007707656236937335,0.006314140785824894,0.005685010686393732,0.005978352973785104,0.004440250071219006,0.007707656236937335,0.006314140785824894,0.005685010686393732,0.005978352973785104,0.004440250071219006
artificial.6,0.005290227500188998,0.003882005627945618,0.004082328921548352,0.004438558184111484,0.003286593821421268,0.00529081957205315,0.003882005627945618,0.004082328921548352,0.004438558184111484,0.003286593821421268,0.00529081957205315,0.003882005627945618,0.004082328921548352,0.004438558184111484,0.003286593821421268
artificial.7,0.04047788075898721,0.03761913303133844,0.03471402009568568,0.03411629876144236,0.03232215437857338,0.0404143364694462,0.03758522237157691,0.034712285359713206,0.03411629876144236,0.03232215437857338,0.0404143364694462,0.03758522237157691,0.034712285359713206,0.03411629876144236,0.03232215437857338
artificial.8,0.004250385896639484,0.003110066753842352,0.0034031565292829877,0.003516231852346991,0.0030367083631403034,0.004202796644819341,0.003110066753842352,0.0034031565292829877,0.003516231852346991,0.0030367083631403034,0.004202796644819341,0.003110066753842352,0.0034031565292829877,0.003516231852346991,0.0030367083631403034
artificial.9,0.006601459785782862,0.0057119058696153,0.005234490623539697,0.004684402915542869,0.004365625295545969,0.00655214637061698,0.005684196985124796,0.005234490623539697,0.004684402915542869,0.004365625295545969,0.00655214637061698,0.005684196985124796,0.005234490623539697,0.004684402915542869,0.004365625295545969
artificial.10,0.006744523323101087,0.005173168793392501,0.004666346761881382,0.004634585030150045,0.005939385084696019,0.00677001426736684,0.005173560756107653,0.004666134569009321,0.004634585030150045,0.005939385084696019,0.00677001426736684,0.005173560756107653,0.004666134569009321,0.004634585030150045,0.005939385084696019
