,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
CD4_T_cells_FoxP3+_glandfront_area,0.0,0.0,0.002,0.03857044107777452,0.07299370262397546,0.07939443899565693,0.08134143360482575,0.08322036660960812,0.08169661889126222,0.0805090990873654
CD4_T_cells_FoxP3+_stromal_area,0.0,0.0,0.0,0.0,0.0015869132800356565,0.0023629504467033735,0.002485480546590464,0.002747533431611197,0.003417092604676151,0.004336305746547986
CD8_T_cells_FoxP3+_glandfront_area,0.0,0.0,0.0,0.0,0.0010671192634216225,0.0024767730881777024,0.003215747350160645,0.0032377733063920955,0.004261806699555239,0.004729609079646353
CD8_T_cells_FoxP3+_intragland_area,0.0,0.0,0.0,0.0,0.0,0.00021380565928763923,0.00022059245482970613,0.00044562159997006424,0.0006194394227659183,0.0008857666233066468
CD8_T_cells_FoxP3+_stromal_area,0.0,0.0,0.0,0.0036761508452480404,0.019791799622051257,0.029483560807612996,0.03588419235816514,0.039389306919100066,0.04414523229500492,0.04808209890499126
CD4_T_cells_HLA-DR+_glandfront_area,0.0,0.0,0.0,0.0009943384350192634,0.007643815008675961,0.011373853066002857,0.013017565611483636,0.01300592133817826,0.013065964867211273,0.012387978935689742
CD4_T_cells_HLA-DR+_intragland_area,0.0,0.0,0.0,0.0,0.0,0.0,5.295591425317341e-05,0.00019052976643259945,0.0,0.0
CD4_T_cells_HLA-DR+_stromal_area,0.0,0.0,0.0,0.0011310989569521112,0.0076847746519714665,0.014699139332659334,0.01743672713389139,0.01845643202330975,0.01904773641492136,0.018566797062244414
CD8_T_cells_HLA-DR+_glandfront_area,0.0,0.0,0.0,0.022334191388404423,0.04635865039946761,0.05423825807964412,0.06165134935090088,0.06723113014539174,0.07265516670158574,0.08415402414885832
CD8_T_cells_HLA-DR+_intragland_area,0.0,0.0,0.0,0.00028141828331059484,0.001160507839678508,0.0011918784728636332,0.0011343121816338923,0.0007088674169674578,0.0006793817044997787,0.00047479043135945575
CD8_T_cells_HLA-DR+_stromal_area,0.0,0.0,0.0,0.0018710271287194983,0.0034492377494718613,0.006651757751770523,0.00779386387431839,0.007892102008521881,0.007258529275022676,0.007562911289456741
CD4_T_cells_CD80_CD86+_glandfront_area,0.0,0.0,0.004,0.013081785044015084,0.01696580216784968,0.017010812564736844,0.018181001637301995,0.01885477499469168,0.01991878247298837,0.021480906381825707
CD4_T_cells_CD80_CD86+_intragland_area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_CD80_CD86+_stromal_area,0.0,0.0,0.08316503358769116,0.27045359367826827,0.2956269207231915,0.29225709941112027,0.2887968357104087,0.2886370581229674,0.29058894433506854,0.30372924221266173
CD8_T_cells_CD80_CD86+_glandfront_area,0.0,0.0,0.0,0.004501749664805734,0.005621001486756526,0.0070010356292604286,0.007211632103509744,0.007061228146949302,0.007228485832407359,0.006510658964430948
CD8_T_cells_CD80_CD86+_intragland_area,0.0,0.0,0.0,0.0,0.004350999470433212,0.006482041449709851,0.008340719058923876,0.009737662255887954,0.011155505760876533,0.012342715142384993
CD8_T_cells_CD80_CD86+_stromal_area,0.0,0.0,0.018,0.027289970642816803,0.02268325348199469,0.02271307917849897,0.022152185017023908,0.023469980355770678,0.022160645903074094,0.01984548243866549
CD4_T_cells_CD11b+_glandfront_area,0.0,0.0,0.006,0.017231907280452603,0.016797095373559716,0.014897714172792209,0.014476901381772036,0.015291299211377906,0.01647758523886366,0.016209868145431343
