,{'C': np.float64(0.01)},{'C': np.float64(0.12)},{'C': np.float64(0.23)},{'C': np.float64(0.34)},{'C': np.float64(0.45)},{'C': np.float64(0.56)},{'C': np.float64(0.67)},{'C': np.float64(0.78)},{'C': np.float64(0.89)},{'C': np.float64(1.0)}
artificial.1,0.0,0.0,0.0003451966922638235,0.0004555636719307137,0.0005820469982208301,0.0006922052379571165,0.0008042043209309193,0.0008809794381532639,0.0010592651890782418,0.001083826852604375
artificial.2,0.0,0.0,0.0014387822113105506,0.0036066093217936297,0.004790451610852533,0.005251838064242934,0.005560429013831158,0.0057767319607113,0.005948053567004582,0.005989990803528673
artificial.3,0.0,0.00015727964590527251,0.0008345539648323001,0.00187393781161274,0.0023294130219810045,0.0025852358295613315,0.0028125905107126157,0.0028997915071559454,0.0030629957163453075,0.0030905146103272214
artificial.4,0.0,0.0,0.0006761275121020718,0.0010235361674995097,0.0010466124323483923,0.0009741921391368969,0.0009857258702972522,0.0010703794627210427,0.0011006232386499303,0.0011535923728556692
artificial.5,0.0,0.0,0.00028871622794046783,0.000948441245596926,0.001120632367812885,0.0012333261927536623,0.0013126828873808811,0.0013861398989234983,0.0014211304668976146,0.0014764318719488632
artificial.6,0.0,0.0,0.0,6.07613160069129e-05,0.0001323118199510961,0.00016408677921438323,0.0002490646561771021,0.000307283310561291,0.00034168850414622166,0.00035402252385605636
artificial.7,0.0,0.0,0.000304144010654012,0.001049849821541373,0.0016230147715266395,0.0018848546168725624,0.0020960498281868086,0.0022158440912610666,0.0022960117043987357,0.0023451821344338893
artificial.8,0.0,0.0,0.0,0.00024247099182621385,0.0004991947342031334,0.0005946165859035437,0.0006368044041888577,0.0006591011390510708,0.0006656936715291462,0.0006507243389117403
artificial.9,0.0,0.006311195766655358,0.017118692656993888,0.0228306673776107,0.025941451798375016,0.027460220695688417,0.02856590746310044,0.029364614392135252,0.02995296961449577,0.03048968566738685
artificial.10,0.0,0.007901315036328101,0.03420441288123956,0.03735155047715965,0.038805409275524845,0.03927098871181409,0.039393802338371565,0.03979176253900363,0.0400946898917143,0.04043797892988384
artificial.11,0.0,0.21013139922853788,0.23710341459399306,0.2410180111946256,0.2405289697681813,0.2399986087829746,0.2396865487295614,0.23938944950067256,0.2389756638538223,0.2393012350295324
artificial.12,0.0,0.0,0.001053178938926922,0.0019478899866754436,0.002510130601253471,0.002933583506535862,0.003208377245124814,0.0034189427540442163,0.003799856698940398,0.0038577290740859473
artificial.13,0.0,0.0007979736921360546,0.016667133128422967,0.02339521255722815,0.026230816002463526,0.027934840845091593,0.02907473985742271,0.029963561407898655,0.030856556257942692,0.03161852364261036
artificial.14,0.0,0.0046731322453126495,0.00930121690291031,0.010462057841790925,0.011106241861443064,0.011413510806217343,0.011683703561156908,0.011774270061131012,0.012124577537784051,0.012405777981789913
artificial.15,0.0,0.0,0.0006157117079012051,0.001203934702500001,0.0014977508414363641,0.001663179781587713,0.0017015748714308125,0.0016869704771749086,0.001713860162601458,0.001692205362169181
artificial.16,0.0,7.838585285887138e-05,0.002198661286445861,0.0035425832958084183,0.004537441702840434,0.00514521256159383,0.00550281190837083,0.005678087641964395,0.005897188521067322,0.006016967664692815
artificial.17,0.0,6.58878685525413e-05,0.0003631281055651785,0.0006663061948047543,0.001133294168537739,0.0015222867280600479,0.0018537068598662508,0.0021504599256927668,0.0024219830961409584,0.0026013300908369575
artificial.18,0.0,0.0,0.00013157736678432884,0.00026061913136192423,0.0003021734672732793,0.00033641694470011417,0.00033638128861179675,0.00040069131179655716,0.0004936888948678054,0.0005403547170013505
artificial.19,0.0,0.0017213292222407332,0.005622440437497014,0.008387125422671214,0.009739212669840982,0.010370430925101473,0.010790704286402712,0.011013646261720326,0.011186155979790191,0.011259761527416407
artificial.20,0.0,0.0001043352555055192,0.001144887583745668,0.0011986355665352757,0.00132062163668425,0.0014507615940441748,0.0015116563487627389,0.0016071494156560907,0.0016451909295224522,0.00165859090628746
artificial.21,0.0,0.0005392492026836584,0.006528943084804309,0.008390010349184147,0.009396910633206383,0.009905895214724911,0.010290469215001178,0.010519189837354193,0.010826421564428762,0.01096066023045587
artificial.22,0.0,0.0,0.0004144944162481409,0.0009223395035071463,0.0011613749722945736,0.0014252492485025672,0.0016836823979646345,0.0018683478573550364,0.0020298931369093606,0.0021672906452333356
artificial.23,0.0,0.0,0.0003958892749428265,0.0007689479245162348,0.0009513175993881637,0.0010932030773069589,0.0011702040482533765,0.0012144352638116254,0.0012560790719344241,0.0012514559555727325
artificial.24,0.0,0.0003024620766895125,0.0038555130531674176,0.005977655416550597,0.007656752372553801,0.00891447394578471,0.009914842276748994,0.010739419352576583,0.011362703848996259,0.01187821632543095
artificial.25,0.0,0.0,0.00020281314922376825,0.0005155064486107348,0.0006420403578816701,0.0006746849407165804,0.0007534222811423755,0.0008190942046805862,0.0008684844838999379,0.0009214212702146101
artificial.26,0.0,0.0,0.0,5.811859989176125e-05,9.770760867590771e-05,0.00012596999603011575,0.00014636537658921706,0.00016083297877393096,0.00017026903529068085,0.00017881245658971776
artificial.27,0.0,0.000524532156062473,0.0021444418685244116,0.0027449514549803666,0.0031851645866633523,0.0034831418120162406,0.0035602386176426474,0.003637136941038793,0.003646375601377293,0.0036988855100658267
