,Max Proba
aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.2412811517715454
CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.18252819776535034
Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.16525132954120636
NKT_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.11807619780302048
Stroma_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.10896378010511398
NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi,0.10649000853300095
Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.09836945682764053
Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.09566247463226318
CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.09445309638977051
Macrophages_M1_M2_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.08610708266496658
Gland_mesenchymal_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.07812841981649399
CD4_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.0733509212732315
Gland_mesenchymal_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.06483352929353714
Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.04698292165994644
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.04496218264102936
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Macrophages.M1.like,0.044713519513607025
Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.04398539289832115
NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi,0.03834347054362297
Macrophages_M1_M2_glandfront_aggregatedNeighbors.Macrophages.M1.like,0.03624784201383591
Dendritic_Cells_CD33+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.035300370305776596
Neutrophils_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.03522571548819542
CD4_T_cells_CD11b+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0343552865087986
Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast,0.034294359385967255
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.03368852287530899
NA_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.03213956207036972
NA_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.032037559896707535
aSMA-br_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.030683236196637154
Gland_vascular_endothelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.029503369703888893
Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.02860555797815323
NK_cells_CD56brCD16-TIM3hi_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi,0.02753930166363716
Gland_mesenchymal_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.02721344865858555
Neutrophils_stromal_aggregatedNeighbors.Neutrophils,0.02646573819220066
Gland_fibroblast_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.026263659819960594
Neutrophils_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.023815283551812172
NKT_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.02184838056564331
Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.02169642597436905
Macrophages_MDSC_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.020046792924404144
Stroma_mesenchymal_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.019261060282588005
Macrophages_M2-like_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.018495095893740654
aSMA-br_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.017346126958727837
Gland_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium,0.016364730894565582
aSMA-br_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.015529093332588673
Gland_mesenchymal_stromal_aggregatedNeighbors.Stroma.fibroblast,0.015167034231126308
Macrophages_MDSC_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.014927784912288189
Macrophages_MDSC_stromal_aggregatedNeighbors.Stroma.fibroblast,0.014646095223724842
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.014258437789976597
Dendritic_Cells_CD86+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.014211228117346764
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.013697738759219646
Neutrophils_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.013550715520977974
Dendritic_Cells_CD209CD33dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.013351713307201862
CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.013320272788405418
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi,0.013288423418998718
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.013158147223293781
Neutrophils_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.012655225582420826
Macrophages_M1_M2_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.012600009329617023
aSMA-br_mesenchymal_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.012198908254504204
CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.012081412598490715
NA_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.011520292609930038
Gland_fibroblast_stromal_aggregatedNeighbors.Stroma.fibroblast,0.011329921893775463
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.011053263209760189
Macrophages_M2-like_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.010821577161550522
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium,0.010592442937195301
Stroma_fibroblast_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.010457332246005535
NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.010236835107207298
NA_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.009975580498576164
NK_cells_CD56brCD16-TIM3hi_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.009794003330171108
NK_cells_CD56dimCD16+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.009536747820675373
CD8_T_cells_CD11b+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.009401069022715092
Stroma_fibroblast_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.008988389745354652
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.008881516754627228
aSMA-br_mesenchymal_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.008776325732469559
Stroma_fibroblast_glandfront_aggregatedNeighbors.Gland.fibroblast,0.008745107799768448
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Macrophages.MDSC,0.008703717961907387
CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.008644462563097477
Macrophages_MDSC_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.008284634910523891
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.00820082239806652
NA_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.008053729310631752
Stroma_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.008022722788155079
CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.007912871427834034
aSMA-br_fibroblast_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.007867597043514252
NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.007769493851810694
Neutrophils_glandfront_aggregatedNeighbors.Neutrophils,0.007756626699119806
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.007702114526182413
NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.007505091838538647
