,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
artificial.1,0.0,0.0,0.0,0.0031164666266689685,0.005227239084813373,0.00750230542742802,0.010252059745847926,0.0121646998545018,0.013897612026315478,0.019444394890145638
artificial.2,0.0,0.0,0.0,0.0,0.0015994731309940833,0.002011979606659917,0.00200219390753606,0.0021232348320033116,0.0021670590444313373,0.0028039768694442424
artificial.3,0.0,0.0,0.0,0.019749371438062227,0.05780038904081329,0.07455342585527319,0.0822403785680277,0.08832975791391139,0.09538209192421938,0.10038200583568903
artificial.4,0.0,0.0,0.0,0.00034556472767623017,0.006155348268786933,0.009031591357364331,0.010118211103928998,0.01209328658429942,0.013573687175956122,0.018443030409787276
artificial.5,0.0,0.0,0.0,0.0015460393106098687,0.009358657061557618,0.013202392861111509,0.015670180935695,0.01755701554560402,0.01921537912314909,0.02355312582583124
artificial.6,0.0,0.0,0.0,0.0,0.0034693711125333387,0.006426283490036678,0.00852068230953531,0.009223054221845235,0.009791502687034308,0.01063833751402444
artificial.7,0.0,0.0,0.0,0.0014876785603035324,0.004415436928550566,0.006457038660101563,0.007616954043848356,0.008783319951426899,0.00996518653377865,0.00913772527522794
artificial.8,0.0,0.0,0.0,0.0,0.002429041724007152,0.004130027128046412,0.0053690945175667104,0.005735841632434336,0.0064211907070758035,0.006468268871325366
artificial.9,0.0,0.0,0.0,0.0,0.0003175320035030319,0.0007694369093413748,0.001738624369664062,0.0021330493563321263,0.0017106022395106271,0.00302718899682164
artificial.10,0.0,0.0,0.0,5.752593874561732e-06,0.0011454800374957716,0.0014630639690870713,0.0017960253783487633,0.002438232168196259,0.0032382695121585432,0.00412177898789952
artificial.11,0.0,0.0,0.0,0.026501608653593488,0.046291843404511306,0.047527616998296954,0.04979470558375446,0.05319273660251972,0.054701712156194564,0.056802119499065135
artificial.12,0.0,0.0,0.0,0.0005307088037455744,0.005116688008087849,0.008927250777548518,0.012454616042704704,0.014930319266613893,0.016372097131129592,0.01742914863073009
artificial.13,0.0,0.0,0.0,0.0,0.0012012394360807243,0.0018824182741074126,0.002220361524964583,0.0026136217212197788,0.0028942991399239625,0.003217483823779394
artificial.14,0.0,0.0,0.0,0.0021894251418904886,0.007653253724314469,0.007960141653470525,0.008383281940817744,0.007565955751819863,0.009962131741483419,0.008827096579391194
artificial.15,0.0,0.0,0.0,0.0010692848551366488,0.009906011661362969,0.01579846972697055,0.018585751073224816,0.020537525466453623,0.022104271418898692,0.025229023034608097
artificial.16,0.0,0.0,0.0,0.0,1.259882060835187e-05,0.0002563853095785805,0.0011861195572265423,0.0016847958101812253,0.0020813778590802485,0.004184386939328793
artificial.17,0.0,0.0,0.0,0.008185375334362466,0.0264130184673944,0.03184851378603736,0.03409731129714343,0.03453919205804517,0.033427784259963726,0.030873591290974067
artificial.18,0.0,0.0,0.0,0.0,0.0,4.808522605062054e-05,0.0003219656790317168,0.00045485395305760627,0.0004968837586106119,0.0003054824800753987
artificial.19,0.0,0.0,0.0,0.002,0.0027276252316797743,0.00333860756115895,0.004359206740172674,0.00570622367336255,0.006446107691924062,0.00835839574156014
artificial.20,0.0,0.0,0.0,0.0028300805191585135,0.0039281679259482154,0.0044746864362154165,0.005563708753620575,0.006196924948426881,0.006425774732597123,0.0077400894425971815
artificial.21,0.0,0.0,0.0,0.022437898227298705,0.04029418862231412,0.04771320202310613,0.04975209689806824,0.05274384337345856,0.05489663867399526,0.056107073051295066
artificial.22,0.0,0.0,0.0,0.0025119213731493173,0.007319285867772447,0.0075655840560994786,0.007591876719329028,0.008082658852788601,0.009012339740083994,0.010748190734981471
artificial.23,0.0,0.0,0.0,0.002610643831024208,0.006198484727923895,0.007232098316142235,0.0073028665282411,0.0073191398413324634,0.007809251567887276,0.010402623885073667
artificial.24,0.0,0.0,0.0,0.0,0.005723809498531756,0.006920302889206834,0.008844651816377776,0.010409544252574031,0.011000231946251736,0.012852270368088517
artificial.25,0.0,0.0,0.0,0.0006067604139204712,0.003772981963609485,0.005308436826852421,0.0064428200163165064,0.007235162475345551,0.009181773477568126,0.010877547069211579
artificial.26,0.0,0.0,0.0,0.0,0.0,0.0,0.00022301902228271157,0.00047265671301635446,0.0005565879154585202,0.0013985060547195703
artificial.27,0.0,0.0,0.0,0.006612839684535704,0.025919275923647987,0.03355577767783616,0.03753876654705348,0.04023491504639833,0.04395360504139669,0.04938014501270214
artificial.28,0.0,0.0,0.01035857602981989,0.09937819711638406,0.1677582087382375,0.17563448258684122,0.17771039294408403,0.17826843398713563,0.17898292653006478,0.17058492712972975
artificial.29,0.0,0.0,0.0,0.002831221958790971,0.0043486897667151065,0.005021854598068864,0.0052314488951810435,0.00511801701997207,0.006420708120897173,0.007428349845296767
artificial.30,0.0,0.0,0.0,0.00013262161603566226,0.004802874577262077,0.009070001650699227,0.012692863712297732,0.01502030762728525,0.017910267910161017,0.023221475221782865
artificial.31,0.0,0.0,0.0,0.0,0.0,7.76550500860518e-05,0.00021088059577691648,0.0002747986508884552,0.0005538312485646834,0.0008705197554515595
artificial.32,0.0,0.0,0.008,0.16673058685496242,0.21362255507037384,0.22528486289060423,0.22912074066195848,0.23283264821106806,0.2407055722502398,0.2602425092042968
artificial.33,0.0,0.0,0.0,0.0,0.00241218355080747,0.0035785972496034492,0.0045294990056143365,0.005770897018313487,0.006822331912059277,0.009416661170727038
artificial.34,0.0,0.0,0.0,0.00522890615346533,0.01276486236979732,0.016728266829776624,0.017631314529500824,0.018503281436769527,0.01957423152452626,0.02421782945683094
