,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.668100537200059)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
CD4_T_cells_FoxP3+_glandfront_ERa,0.0,0.0,0.0,0.017766625149357857,0.01969075227278144,0.015858587698188303,0.014569932446041644,0.013605334005442378,0.014968510203885177,0.018256764631649845
CD4_T_cells_FoxP3+_glandfront_PR,0.0,0.0,0.0,0.0016145026106890712,0.002294660423514056,0.002329520409136745,0.0013923909053607797,0.000650723005839415,0.0020325259724708563,0.0026551444969760375
CD4_T_cells_FoxP3+_glandfront_pP38,0.0,0.0,0.0,0.0037120535840011923,0.012053007062513915,0.011587779185522262,0.012219172773192639,0.014604930384923966,0.015228066355976759,0.022837952020826342
CD4_T_cells_FoxP3+_glandfront_VEGF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1229236320911495e-05,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_GranzymeB,0.0,0.0,0.0,0.002361060293887277,0.009061755412062068,0.014534190156907847,0.01570472757555299,0.017367543504784467,0.019396760383106754,0.02386905792038495
CD4_T_cells_FoxP3+_glandfront_Ki67,0.0,0.0,0.0,0.00048480207601524434,0.0022540839390696116,0.002817441347469978,0.0039124208495342865,0.005501665826548877,0.008884301737920718,0.0125729369222267
CD4_T_cells_FoxP3+_glandfront_TIM3,0.0,0.0,0.0,0.00023928288967973974,0.0017730001521882627,0.0015349581694093345,0.001651747879018931,0.00199331402818848,0.002365474979212965,0.003055724433273226
CD4_T_cells_FoxP3+_glandfront_HLA-DR,0.0,0.0,0.0,0.0,0.0009570309658437476,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_stromal_ERa,0.0,0.0,0.0,0.0,0.0017032642635611583,0.0013507608971943176,0.0015402390229809204,0.0012500496543945124,0.00151196369713972,0.0019440442980955181
CD4_T_cells_FoxP3+_stromal_PR,0.0,0.0,0.0,0.00814676300799057,0.014181913877862691,0.017331649012873464,0.017362559585052496,0.01857021903308153,0.020509514665940753,0.02377472355641875
CD4_T_cells_FoxP3+_stromal_pP38,0.0,0.0,0.0,0.0,0.0016131613552628232,0.0023885832806800227,0.0015426161762964556,0.0016158739783254017,0.002153541425991636,0.003269543797490823
CD4_T_cells_FoxP3+_stromal_VEGF,0.0,0.0,0.0,0.0,0.0,0.000913436746157998,0.0011114421740271866,0.0011623191816913946,0.001017697987114362,0.0008319263448931186
CD4_T_cells_FoxP3+_stromal_GranzymeB,0.0,0.0,0.0,0.0,0.0005669027096782677,0.0009703243863597228,0.0017530929429290132,0.002414297037169667,0.0016470015630379196,0.004307146777455128
CD4_T_cells_FoxP3+_stromal_Ki67,0.0,0.0,0.0,0.0,0.005427733825057959,0.009617759322305096,0.010227777918525699,0.01128404732921075,0.013891128594938086,0.01840248990919726
CD4_T_cells_FoxP3+_stromal_HLA-DR,0.0,0.0,0.0,0.0,0.00048647670958159916,0.0005883334706869916,0.0010473899195686004,0.0011814200644191986,0.001082875364798099,0.002858739816834733
CD8_T_cells_FoxP3+_glandfront_ERa,0.0,0.0,0.0,0.0,0.008967135805981874,0.01283628547532081,0.012430284311426575,0.013045814053266018,0.015104620868255323,0.017067178767361985
CD8_T_cells_FoxP3+_glandfront_PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013651474616005224,0.0009083374001626048
CD8_T_cells_FoxP3+_glandfront_pP38,0.0,0.0,0.0,0.1151723448895132,0.15289416754199628,0.14146225494208872,0.1395097229755485,0.14340888101147925,0.15744366827294592,0.17842234825860082
CD8_T_cells_FoxP3+_glandfront_VEGF,0.0,0.0,0.0,0.003891090070758505,0.005545023703423549,0.007456472492981881,0.009234714050688002,0.010248612783616398,0.011927945645390951,0.013904142267168027
CD8_T_cells_FoxP3+_glandfront_GranzymeB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015924283567928335
CD8_T_cells_FoxP3+_glandfront_Ki67,0.0,0.0,0.0,0.0,0.0011802472599716021,0.00139724710925235,0.0011625356210329567,0.0009829682102483813,0.00224205478334732,0.0015527080545465152
CD8_T_cells_FoxP3+_glandfront_TIM3,0.0,0.0,0.0,0.0,0.00033012917125532765,0.001062216732472043,0.0027381826075079407,0.004386920422207932,0.006000804309134891,0.008109585023517994
CD8_T_cells_FoxP3+_glandfront_HLA-DR,0.0,0.0,0.0,0.0,0.002613606970026754,0.002551731427192639,0.002778308136243453,0.002482326030831078,0.003075308785073118,0.006880982319014686
CD8_T_cells_FoxP3+_intragland_ERa,0.0,0.0,0.0,0.0,0.0003008499916474609,0.0003838224800300899,4.197140391419865e-05,0.0,0.0,0.0
CD8_T_cells_FoxP3+_intragland_PR,0.0,0.0,0.0,0.0,0.0018737393931185745,0.0030089566424350653,0.005879233616609214,0.005485567293222383,0.008141975128554654,0.008802455092556758
CD8_T_cells_FoxP3+_intragland_VEGF,0.0,0.0,0.0,0.0,0.0023206130670621527,0.002200436318775465,0.003193149805927242,0.003577107185344083,0.001980679438376725,0.004731461256996991
CD8_T_cells_FoxP3+_intragland_GranzymeB,0.0,0.0,0.0,0.0,0.01147291311230785,0.017495018754292768,0.02012183698104995,0.020791286023879765,0.025457601686514567,0.027792704594356937
CD8_T_cells_FoxP3+_intragland_HLA-DR,0.0,0.0,0.0,0.0,0.0016964695287152534,0.0033046300488168705,0.0023320609440615325,0.005305126415868693,0.0042651825956605185,0.008296068108164155
CD8_T_cells_FoxP3+_stromal_ERa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.653499423778375e-05,0.0014405843734888392
CD8_T_cells_FoxP3+_stromal_PR,0.0,0.0,0.0,0.0,0.0016027715720906013,0.002345792819343594,0.0020745976989788605,0.002408947575536803,0.0018266114926273956,0.0017441764029356122
CD8_T_cells_FoxP3+_stromal_pP38,0.0,0.0,0.0,0.0,0.004209200438858421,0.007428965735288589,0.008147072684991144,0.00831381192398028,0.009779628540597496,0.013277030046700864
CD8_T_cells_FoxP3+_stromal_VEGF,0.0,0.0,0.0,0.0,0.0,0.00012081203238647815,0.00034940287849430905,0.0004134110215630591,0.0006624566926813861,0.0012454676863090887
CD8_T_cells_FoxP3+_stromal_GranzymeB,0.0,0.0,0.0,0.002,0.0036990481981984662,0.005672109281037032,0.007007706525878899,0.007615625440234587,0.007444606069841371,0.009925533636679964
CD8_T_cells_FoxP3+_stromal_Ki67,0.0,0.0,0.0,0.002,0.0012180108706555547,0.0025575882968081015,0.002817267934766905,0.0024893627950513504,0.003507158621479697,0.005994336240646564
CD8_T_cells_FoxP3+_stromal_HLA-DR,0.0,0.0,0.0,0.0,0.0023773758022485507,0.006031371761282447,0.007964445768909416,0.009639914245945033,0.011710510451733401,0.01511331952258462
CD4_T_cells_HLA-DR+_glandfront_ERa,0.0,0.0,0.0,0.00020654114028981647,0.00877226085374126,0.012418570623362022,0.016866957730787942,0.01832833812979052,0.019200401945345773,0.0227785598949163
CD4_T_cells_HLA-DR+_glandfront_PR,0.0,0.0,0.0,0.0,0.0021286055003905484,0.0036330696095972655,0.003360145376947882,0.001923482920350644,0.0014747163031545753,0.0031458857809367404
CD4_T_cells_HLA-DR+_glandfront_pP38,0.0,0.0,0.0,0.00010643787416005689,0.00016986893505075633,0.0009510010260653816,0.000832427676222178,0.0013153768176619389,0.0017589869352472197,0.0029028201487648255
CD4_T_cells_HLA-DR+_glandfront_VEGF,0.0,0.0,0.0,0.012675890336676054,0.02376786156944521,0.027360072419844512,0.028604802974562603,0.0328870065652822,0.03759444714489009,0.04601246495960117
CD4_T_cells_HLA-DR+_glandfront_GranzymeB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048381503012183636,0.001831739565470427
CD4_T_cells_HLA-DR+_glandfront_Ki67,0.0,0.0,0.0,0.002735302605232259,0.01774247622839755,0.02106232746739312,0.022333996389385043,0.026678090458452035,0.033469023077153305,0.045632544011273646
CD4_T_cells_HLA-DR+_glandfront_TIM3,0.0,0.0,0.0,0.0003979234086917275,0.004295072487508629,0.005681083879769453,0.006812528358441066,0.008747588314242079,0.009924425464269774,0.012026791736934371
CD4_T_cells_HLA-DR+_glandfront_HLA-DR,0.0,0.0,0.0,0.0024010755261979757,0.006390852557155556,0.012522442450933686,0.014873216916916027,0.016290370972196985,0.018241882488479952,0.020615084250705438
CD4_T_cells_HLA-DR+_stromal_ERa,0.0,0.0,0.0,0.006229335984813445,0.005807847108274965,0.0044961005007447125,0.00415368799014966,0.004007278021618767,0.0032340956777738034,0.003744103518950272
CD4_T_cells_HLA-DR+_stromal_PR,0.0,0.0,0.0,0.013219307286901431,0.022967787214421793,0.02456333109215564,0.02432008198707813,0.024955125006698043,0.033812205612979776,0.03422262461877938
CD4_T_cells_HLA-DR+_stromal_pP38,0.0,0.0,0.0,0.004242696415180541,0.014769322248191429,0.02003790167984958,0.02247048129061389,0.022743817605099623,0.022794749444384498,0.026811941608437858
CD4_T_cells_HLA-DR+_stromal_VEGF,0.0,0.0,0.0,0.0,0.00035616849998557174,0.0018236549027190608,0.002353172640053133,0.002677000854434029,0.0012978323266304706,0.0014514854059740367
CD4_T_cells_HLA-DR+_stromal_GranzymeB,0.0,0.0,0.0,0.0001931168702393756,0.001222433812726237,0.0011434766412744429,0.0013747942646783584,0.001668527942483646,0.002319373318672256,0.003093443794877713
CD4_T_cells_HLA-DR+_stromal_Ki67,0.0,0.0,0.0,0.0,0.000884188358962929,0.0011290191480032186,0.00038831375171280614,0.0005782370036107097,0.0005544267815629767,0.0011129806730722207
CD4_T_cells_HLA-DR+_stromal_TIM3,0.0,0.0,0.0,0.004690279874002674,0.007962564626814935,0.005715354884842883,0.006499814878761608,0.006487184891638285,0.010829057121742066,0.018240308453708522
CD4_T_cells_HLA-DR+_stromal_HLA-DR,0.0,0.0,0.0,0.0,0.0040580487349081125,0.006151451186210924,0.008771911887905355,0.009220781549016586,0.011051446460828273,0.015188160272033195
CD8_T_cells_HLA-DR+_glandfront_ERa,0.0,0.0,0.0,0.010004296718414846,0.02416659301717595,0.02425755907094321,0.024065132522613997,0.025838567086540698,0.027032638546640998,0.03199143503028758
CD8_T_cells_HLA-DR+_glandfront_PR,0.0,0.0,0.0,0.0,0.001330417951386763,0.002261823360357999,0.002106911549435774,0.0020791481877377553,0.002061219452534764,0.003498569428860103
CD8_T_cells_HLA-DR+_glandfront_pP38,0.0,0.0,0.0,0.014696770213955596,0.014919399858991095,0.014194547893718023,0.013427354633577335,0.014245556113860412,0.013665049388080542,0.015683810631576107
CD8_T_cells_HLA-DR+_glandfront_VEGF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004361706697696935,0.00017335730919460898,0.001689589195080738
CD8_T_cells_HLA-DR+_glandfront_GranzymeB,0.0,0.0,0.0,0.0,0.00046205299840653286,0.001791447295917418,0.001909758616603286,0.0023757971034233886,0.0021180166850134946,0.0026068233848009423
CD8_T_cells_HLA-DR+_glandfront_Ki67,0.0,0.0,0.0,0.0,0.0,0.00038371409148027985,0.0005674378646248116,0.0001819822024564641,8.033600086050027e-05,0.001960562857732714
CD8_T_cells_HLA-DR+_glandfront_TIM3,0.0,0.0,0.0,0.003722482417123928,0.04256691963088161,0.05863469082355594,0.06558389011433638,0.06938052638323101,0.07558070404023484,0.08734186288691492
CD8_T_cells_HLA-DR+_glandfront_HLA-DR,0.0,0.0,0.0,0.0,0.0,0.0007950162729369521,0.0012344776158269058,0.0011139759310747736,0.00113321413130429,0.0018509330427999328
CD8_T_cells_HLA-DR+_intragland_ERa,0.0,0.0,0.0,0.0,0.0,0.0,0.0007931592603435835,0.0017531591946381828,0.006097534902211601,0.01142161218353896
CD8_T_cells_HLA-DR+_intragland_PR,0.0,0.0,0.0,0.0017602686001050364,0.011586044596916385,0.02037806798097999,0.026143199200027643,0.03448730839075005,0.04191233268315371,0.050931342712865674
CD8_T_cells_HLA-DR+_intragland_VEGF,0.0,0.0,0.0,0.004350351822610148,0.006443799017458517,0.010387597235654718,0.012713185762112948,0.013410638361563974,0.015390136100373033,0.01468641918598528
CD8_T_cells_HLA-DR+_intragland_GranzymeB,0.0,0.0,0.0,0.004996547359228643,0.009228560902392527,0.014984271725592895,0.01710466148427384,0.019304940644937145,0.01988671694215039,0.02624791797912794
CD8_T_cells_HLA-DR+_intragland_HLA-DR,0.0,0.0,0.0,0.0011808877127246766,0.018088028158931964,0.03714155246166323,0.04711105898890261,0.050678097497917476,0.05284574982757234,0.053415032912436135
CD8_T_cells_HLA-DR+_stromal_ERa,0.0,0.0,0.0,0.0,0.0,5.9539273639396136e-05,0.00023676319943143425,0.0005570780307568495,0.0006448011862644644,0.0015372185360056994
CD8_T_cells_HLA-DR+_stromal_PR,0.0,0.0,0.0,0.0,0.0006521494873428483,0.0047507077058074176,0.0098791437518265,0.012870194384453845,0.018292198137044614,0.023966573320245498
CD8_T_cells_HLA-DR+_stromal_pP38,0.0,0.0,0.0,0.002094041242974741,0.03291034394986325,0.051945915864055496,0.06215733977534193,0.06858194905442758,0.0742873090545668,0.09420616189821328
