,Feature Name
Feature n°1,CD8_T_cells_FoxP3+_glandfront_pP38
Feature n°2,CD4_T_cells_HLA-DR+_glandfront_VEGF
Feature n°3,CD8_T_cells_HLA-DR+_glandfront_TIM3
Feature n°4,CD8_T_cells_HLA-DR+_intragland_HLA-DR
Feature n°5,CD8_T_cells_HLA-DR+_stromal_pP38
Feature n°6,CD8_T_cells_CD80_CD86+_glandfront_Ki67
Feature n°7,CD8_T_cells_CD80_CD86+_intragland_ERa
Feature n°8,CD8_T_cells_CD80_CD86+_intragland_GranzymeB
Feature n°9,CD8_T_cells_CD80_CD86+_intragland_Ki67
Feature n°10,CD8_T_cells_CD80_CD86+_stromal_GranzymeB
Feature n°11,CD4_T_cells_CD11b+_glandfront_PR
Feature n°12,Stroma_vascular_endothelium_glandfront_Ki67
Feature n°13,Stroma_fibroblast_stromal_GranzymeB
Feature n°14,NK_cells_CD56brCD16-_stromal_GranzymeB
Feature n°15,NK_cells_CD56brCD16-_stromal_HLA-DR
Feature n°16,NK_cells_CD56dimCD16+_glandfront_ERa
Feature n°17,NK_cells_CD56dimCD16+_glandfront_PR
Feature n°18,NK_cells_CD56dimCD16+_intragland_PR
Feature n°19,NK_cells_CD56dimCD16+_intragland_pP38
Feature n°20,NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_PR
Feature n°21,NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_HLA-DR
Feature n°22,NK_cells_CD56brCD16-TIM3hi_glandfront_pP38
Feature n°23,NK_cells_CD56brCD16-TIM3hi_glandfront_Ki67
Feature n°24,NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB
Feature n°25,NK_cells_CD56dimCD16+CD9hi_intragland_VEGF
Feature n°26,NK_cells_CD56dimCD16+CD9hi_stromal_NKG2C
Feature n°27,NK_cells_CD56brCD16-CD9hi_glandfront_pP38
Feature n°28,Macrophages_M1_M2_stromal_ERa
Feature n°29,Macrophages_M1_M2_stromal_PR
Feature n°30,Macrophages_M1_M2_stromal_VEGF
Feature n°31,Macrophages_M1_M2_stromal_GranzymeB
Feature n°32,Macrophages_M1_M2_stromal_HLA-DR
Feature n°33,Macrophages_MDSC_glandfront_PR
Feature n°34,Macrophages_MDSC_glandfront_pP38
Feature n°35,Macrophages_MDSC_glandfront_GranzymeB
Feature n°36,Dendritic_Cells_CD86+_glandfront_VEGF
Feature n°37,Dendritic_Cells_CD86+_intragland_PR
Feature n°38,Dendritic_Cells_CD86+_stromal_Ki67
Feature n°39,Dendritic_Cells_CD33+_stromal_ERa
Feature n°40,Dendritic_Cells_CD33+_stromal_PR
Feature n°41,Dendritic_Cells_CD33+_stromal_pP38
Feature n°42,Dendritic_Cells_CD209CD86dp_glandfront_VEGF
Feature n°43,Dendritic_Cells_CD209CD33dp_stromal_PR
Feature n°44,Dendritic_Cells_CD86CD33dp_glandfront_ERa
Feature n°45,Dendritic_Cells_CD86CD33dp_glandfront_PR
Feature n°46,Dendritic_Cells_CD86CD33dp_glandfront_pP38
Feature n°47,Neutrophils_glandfront_PR
Feature n°48,NKT_glandfront_Ki67
Feature n°49,aSMA-br_fibroblast_glandfront_HLA-DR
Feature n°50,aSMA-br_mesenchymal_stromal_GranzymeB
Feature n°51,aSMA-br_vascular_endothelium_stromal_GranzymeB
Feature n°52,Gland_glandular_epithelium_glandfront_Ki67
Feature n°53,Gland_mesenchymal_intragland_ERa
Feature n°54,Gland_fibroblast_glandfront_ERa
Feature n°55,Gland_fibroblast_intragland_PR
Feature n°56,Gland_fibroblast_intragland_HLA-DR
Feature n°57,Gland_fibroblast_stromal_PR
Feature n°58,Gland_fibroblast_stromal_pP38
Feature n°59,Gland_fibroblast_stromal_GranzymeB
Feature n°60,Gland_vascular_endothelium_glandfront_VEGF
Feature n°61,NA_glandfront_Ki67
Feature n°62,NA_glandfront_HLA-DR
