,"{'C': np.float64(0.01), 'l1_ratio': 0.5}","{'C': np.float64(0.01), 'l1_ratio': 0.9}","{'C': np.float64(0.056234132519034905), 'l1_ratio': 0.5}","{'C': np.float64(0.056234132519034905), 'l1_ratio': 0.9}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.5}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.9}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.5}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.9}","{'C': np.float64(10.0), 'l1_ratio': 0.5}","{'C': np.float64(10.0), 'l1_ratio': 0.9}"
CD4_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.0,0.0,0.0,0.0,0.03588334470027234,0.013517691324019454,0.07609891565498858,0.048951632842299135,0.14030110697678885,0.09485419193709593
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0,0.0,0.0,0.0,0.023220809653646878,0.012372321504052526,0.04426419354066459,0.023078701388085612,0.10318004667030703,0.060523616823641595
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.0,0.0,0.06647519291116542,0.007116351031385199,0.19984257624264132,0.13948292714004523,0.25058320933474215,0.19055986837870506,0.3563268776547365,0.28003244329665705
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.0,0.0,4.190178258307836e-05,0.0,0.056735814805142074,0.029488449644358438,0.08201655464468616,0.04524845779621904,0.1485012408980246,0.09659769437327302
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.0,0.0,0.0,0.0,0.010446965570637427,0.004587062655543126,0.03126226642883611,0.012894764046593128,0.07762423351938946,0.04314223654828213
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.0,0.0,0.0,0.0,0.018171388388223804,0.005706642835418271,0.054298157898322666,0.02681162764209746,0.12432402800290403,0.07624700356467333
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.0,0.0,0.0,0.0,0.07153463200461672,0.03224572532462784,0.13560021789959206,0.08204619724402305,0.24172497108772797,0.16872906156782358
CD4_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0,0.0,0.0005602855739049488,0.0,0.030299159033319895,0.013090499251573545,0.0630596837958421,0.03267108382978107,0.12597646831580694,0.08006249885115044
CD4_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.0,0.0,0.0,0.0,0.0006615730771722129,0.00044697719898802076,0.007513127598349937,0.0012979539588629794,0.0464460256313922,0.01662374602957903
CD4_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.0,0.0,0.0,0.0,0.012508262626017343,0.005142836538766045,0.02422104817527427,0.011259555487393876,0.07034997134281394,0.034914501431714214
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.0,0.0,0.01738475708981835,0.0,0.19451764625402646,0.11647372956722829,0.2562757575403818,0.19526546745237855,0.3438241690549131,0.2864364003857304
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.0,0.0,0.004359081082792473,0.0,0.007183296855919698,0.002926887122180408,0.01298320675570439,0.004553665896727896,0.05647305118424381,0.02119710686176549
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Macrophages.M2.like,0.0,0.0,4.4325320193427755e-05,0.0,0.019354547471194,0.00775647421654332,0.04373811024942442,0.023105440987968982,0.10110054229814078,0.05922508615390826
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.0,0.0,0.013386026357369756,0.0,0.03735568329110629,0.017364167809972717,0.05585434210957382,0.029482520994349958,0.11577710007569966,0.06979616704865775
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0,0.0,0.005141200930786953,0.0,0.07476888749291487,0.031413943805682125,0.12895008124244553,0.0790523681771639,0.22228939802447312,0.15625117775385663
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.0,0.0,0.0020033499522671403,0.0,0.03810572539282374,0.023992514383436036,0.05207606452350809,0.0296026598514946,0.10977675124166514,0.06532384828531478
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.0,0.0,0.0,0.0,0.013661479958281686,0.0050278500949244255,0.02347255936599786,0.010650086508902834,0.0667878088239092,0.032400223529464
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.0,0.0,0.005757951154037908,0.0,0.07918581864229238,0.03667352155297088,0.15061098848488258,0.08865583577124508,0.2722781623452084,0.1904478081873599
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.0,0.0,0.0,0.0,0.0024450699245219146,0.0001186184467112013,0.013208897192336774,0.003100874704179513,0.06466834465345196,0.023565647764425234
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.0,0.0,0.00018240195473234505,0.0,0.008561429384870676,0.004109784533694148,0.01478028391562837,0.007483509901334575,0.051826974344247476,0.021288378192126308
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.0,0.0,0.0,0.0,0.0029410697180972823,0.0002728961001917553,0.010478026776732197,0.0024407173513050816,0.041867865248889705,0.017273904247372122
CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0,0.0,5.608835977470347e-05,0.0,0.07008256715445381,0.02056488163858843,0.16332890595197672,0.09834266821605936,0.27143622821049257,0.204372464138881
