,{'C': np.float64(0.01)},{'C': np.float64(0.12)},{'C': np.float64(0.23)},{'C': np.float64(0.34)},{'C': np.float64(0.45)},{'C': np.float64(0.56)},{'C': np.float64(0.67)},{'C': np.float64(0.78)},{'C': np.float64(0.89)},{'C': np.float64(1.0)}
CD4_T_cells_FoxP3+_glandfront_ERa,0.0,0.010989212698872012,0.032811558192962775,0.03645068690686959,0.03361819309795394,0.029623693308263078,0.026944662331955072,0.025606720474663083,0.024867281859779152,0.024953502533798962
CD4_T_cells_FoxP3+_glandfront_PR,0.0,0.0019049023285422526,0.005505113187045288,0.005590259433478465,0.00517509004761777,0.004670942229017603,0.004812386335358218,0.0055803156467584235,0.005572157685064676,0.00560524514407433
CD4_T_cells_FoxP3+_glandfront_pP38,0.0,0.0011477615298482605,0.009304601943272548,0.012445429494009624,0.014361040753498972,0.01554466717833274,0.01614942177234186,0.015866446951762387,0.016305262100164346,0.016143594422163995
CD4_T_cells_FoxP3+_glandfront_VEGF,0.0,0.0,2.4654729997307657e-05,0.0003965825987397703,0.0004693657766106507,0.0004961881178062752,0.00039724153340854265,0.0003300259716789424,0.0003844204871918781,0.0003487163598551903
CD4_T_cells_FoxP3+_glandfront_GranzymeB,0.0,0.0005482731484733502,0.008284479670256938,0.013197412793998808,0.01487261260492025,0.016218105272540258,0.017733023678663456,0.01830386931379564,0.01886391791761179,0.019153214454268094
CD4_T_cells_FoxP3+_glandfront_Ki67,0.0,0.0,0.002132457732123782,0.003940417633581009,0.004474464043405599,0.004540458045553969,0.004897545436391567,0.004948431055668109,0.005293808728359741,0.005481584212727021
CD4_T_cells_FoxP3+_glandfront_TIM3,0.0,0.0002607442541430699,0.0023895231315630675,0.004185008647046585,0.004055072810621879,0.004197264180959979,0.004455223369318942,0.004552661322329578,0.004414420611323358,0.004408062236921724
CD4_T_cells_FoxP3+_glandfront_HLA-DR,0.0,0.0,0.0,0.0,0.0003346939317547655,0.0004821849915854772,0.0001997586713683553,0.0003100398173891272,0.00015860331790996742,2.920919148707646e-05
CD4_T_cells_FoxP3+_stromal_ERa,0.0,0.0005477472828837046,0.0020274754108587983,0.0013321872756469377,0.0016984721054514162,0.001751368640540523,0.0019348042818639684,0.0019626034618530647,0.002369165177697423,0.002097515275093763
CD4_T_cells_FoxP3+_stromal_PR,0.0,0.008205534235498923,0.018645303603649677,0.02265720257896584,0.023417222836013902,0.023955209351919964,0.02464671422998463,0.02528946341121401,0.025224244930278573,0.025488964402645035
CD4_T_cells_FoxP3+_stromal_pP38,0.0,1.8349315754960918e-05,0.0005766066437796378,0.0017274875818692448,0.002116988639316171,0.0023262747812692356,0.002744373779393695,0.0025884411962712106,0.0027399265371361625,0.0032141107525029814
CD4_T_cells_FoxP3+_stromal_VEGF,0.0,0.0,0.0,0.0,2.2175007015494668e-05,1.899761221238005e-05,0.0002419545209569797,0.00020503977194068253,0.0003290946296183498,0.00043454729676385185
CD4_T_cells_FoxP3+_stromal_GranzymeB,0.0,0.0,0.001408795761934872,0.0015177528083873293,0.0012041735466728082,0.001203113717993757,0.0015799884751298448,0.0016904464954727466,0.0020169128591093154,0.0023054385648733104
CD4_T_cells_FoxP3+_stromal_Ki67,0.0,0.0,0.0009195908787687018,0.004089716926524263,0.006468139027996807,0.00780966703430217,0.008868753416252836,0.009566706699868262,0.010677025735025138,0.010978092706700497
CD4_T_cells_FoxP3+_stromal_HLA-DR,0.0,0.0,0.0,0.00034860675606459033,0.0005598326278420649,0.0008777832541805126,0.0009723744825434943,0.0010622118179394902,0.0010429018168630092,0.0012496983140961888
CD8_T_cells_FoxP3+_glandfront_ERa,0.0,0.0,0.0006101081760224341,0.005752538579453265,0.009465257290452288,0.01152104119867304,0.012605331685554524,0.013714686714200017,0.014205651225533529,0.015119442128348126
CD8_T_cells_FoxP3+_glandfront_PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8_T_cells_FoxP3+_glandfront_pP38,0.0,0.039709083100391084,0.18750479632751668,0.20492412292075343,0.20200214770536187,0.19890434278738872,0.1967709209139147,0.1941296906430606,0.1921531023739039,0.19101210477310154
CD8_T_cells_FoxP3+_glandfront_VEGF,0.0,0.0,0.004080935103205324,0.005720135786895985,0.006603953778340345,0.006805264973896211,0.007162775319237822,0.007397701645060697,0.008104564182282193,0.008322522048759783
CD8_T_cells_FoxP3+_glandfront_GranzymeB,0.0,0.0,0.0,0.0,1.4397587716760468e-05,0.00016536352629349785,0.00020193429505278672,0.00021828672034032723,0.00022565646648635242,0.0002547175519956519
CD8_T_cells_FoxP3+_glandfront_Ki67,0.0,0.0,0.0,0.0,0.0006291865319924209,0.0009825379350416868,0.0010894268997198228,0.0012377997811721466,0.0012162496368158346,0.0012598823613028764
CD8_T_cells_FoxP3+_glandfront_TIM3,0.0,0.0,0.00040942237513523033,0.0007756058039366475,0.0008803341106650541,0.0009462313677647728,0.0011332582500187265,0.0013262332291673925,0.0014414207831337008,0.0016834687034194534
CD8_T_cells_FoxP3+_glandfront_HLA-DR,0.0,0.0,0.00026418217123768117,0.0011406530443511785,0.002312063020775049,0.0030291359871717745,0.0033950515874814104,0.0037186112798854127,0.0041960370474436876,0.004242385135553332
CD8_T_cells_FoxP3+_intragland_ERa,0.0,0.0,0.0002018223729792371,0.0006256575040060204,0.0007303695462363087,0.0008963826925520175,0.00046050514273278593,0.000506615376064788,0.0006139096025803675,0.0004297510107893618
CD8_T_cells_FoxP3+_intragland_PR,0.0,6.436579109963956e-05,0.00030565018009285743,0.0016253313566664653,0.002888318595543331,0.003725932059042619,0.0038451498286522345,0.004445700903841731,0.004983579300127335,0.005216847313991878
CD8_T_cells_FoxP3+_intragland_VEGF,0.0,0.0,0.001088882645921609,0.0021950252056933926,0.0033430488472400172,0.003992491070871887,0.0041842835352386195,0.004410213930448232,0.004465924813921316,0.004362829404683457
CD8_T_cells_FoxP3+_intragland_GranzymeB,0.0,0.0,0.0015153152877643878,0.008789094663173447,0.014654926952758416,0.017788762479240838,0.020257844852546784,0.021945454052320887,0.022876435564254824,0.023399256345329748
CD8_T_cells_FoxP3+_intragland_HLA-DR,0.0,0.0,0.00042340593475773125,0.0019756558581804067,0.0025948736525736433,0.002598320096559841,0.003301167507720271,0.003740018817384946,0.004110093254367303,0.004747131349582943
CD8_T_cells_FoxP3+_stromal_ERa,0.0,0.0,0.0,0.0,0.0,0.0,1.9885517966018196e-07,0.0,0.0,0.0
CD8_T_cells_FoxP3+_stromal_PR,0.0,0.0,0.000659044090627756,0.0014251708641507194,0.0018124922151869082,0.0020835021174950017,0.002173240597044288,0.002319629207267387,0.002248141726338286,0.002501282404250224
CD8_T_cells_FoxP3+_stromal_pP38,0.0,0.0,6.13803625685314e-05,0.0012601513223442424,0.0034945905183993617,0.005638988034162887,0.006834181936626052,0.0078138646449331,0.008313331726513848,0.008932766733311812
CD8_T_cells_FoxP3+_stromal_VEGF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6015648168428222e-05,0.0001295289255966276,0.0002495446411764841
CD8_T_cells_FoxP3+_stromal_GranzymeB,0.0,0.0020424198155022744,0.0032387200375500434,0.00426524115132973,0.005070444029399208,0.00557305522373921,0.005990025214746936,0.006120380919472502,0.0065000798615592196,0.006711249708084767
CD8_T_cells_FoxP3+_stromal_Ki67,0.0,0.00018333350459609593,0.002053230273481237,0.002201739099836592,0.0034021819028774696,0.0037144346763935197,0.004026039876384914,0.004101429632905507,0.00442350762990411,0.004211942546662984
CD8_T_cells_FoxP3+_stromal_HLA-DR,0.0,0.0,0.0002880491876054213,0.0028597676972759007,0.004110893618895653,0.005307547172787281,0.006466433368948901,0.00735458259207352,0.008297440868668283,0.00876806564655417
CD4_T_cells_HLA-DR+_glandfront_ERa,0.0,0.0,0.0032091930906907556,0.00967166546139829,0.012348578876619743,0.013547689044692836,0.01385974766619923,0.014623082603774942,0.015466056528083182,0.015740136194177138
CD4_T_cells_HLA-DR+_glandfront_PR,0.0,0.0,0.00025530177818317744,0.0007544805707425461,0.002007460433178657,0.0026720402933866757,0.002998442144491679,0.0034732706666758457,0.003681280719485117,0.003991904308890863
CD4_T_cells_HLA-DR+_glandfront_pP38,0.0,0.0,0.0020573208419576586,0.0021661111907660927,0.001545079410897995,0.001249708824829149,0.0009667266305543682,0.0010365705687057664,0.0013400658270905077,0.0015384089409218613
CD4_T_cells_HLA-DR+_glandfront_VEGF,0.0,0.001964369893030455,0.02566512303168096,0.03563284987947498,0.03924085533891918,0.04079177221753146,0.04188717292317301,0.04212062059289462,0.042930686491026764,0.043118822871057
CD4_T_cells_HLA-DR+_glandfront_GranzymeB,0.0,0.0,5.314260017450391e-05,0.0006312040798008367,0.00045124449533408506,0.0002680828604601425,0.00027127575864019214,0.0002366502128824176,0.0001439931263992051,0.00023791590728244376
CD4_T_cells_HLA-DR+_glandfront_Ki67,0.0,0.0002764092495443492,0.010294825963534215,0.01987006429661606,0.025758102490183798,0.02695464362989754,0.027430162619737644,0.02792033216533381,0.028055193588060145,0.02839117377201384
CD4_T_cells_HLA-DR+_glandfront_TIM3,0.0,0.0,0.0018997662703863264,0.004057753104079748,0.005400717650002754,0.0060163899968356934,0.006283606655720449,0.006682900042653221,0.006917459347868753,0.007021273164704216
CD4_T_cells_HLA-DR+_glandfront_HLA-DR,0.0,6.025895501803648e-05,0.0037812201050226673,0.006000089008671488,0.008446517894881175,0.010805171221192246,0.012066175091790287,0.012871954540769089,0.014159763255185162,0.014701820629394046
CD4_T_cells_HLA-DR+_stromal_ERa,0.0,0.008049055610207334,0.00971259771215726,0.006109652851491066,0.006355945524428428,0.006811127485238566,0.006406238293458961,0.006108174230117053,0.006116133973789321,0.006114741332150486
CD4_T_cells_HLA-DR+_stromal_PR,0.0,0.010788485787913811,0.024749511028644675,0.031477414293722694,0.033412022552106575,0.032558252536614374,0.03222878620616206,0.03257777738035449,0.03242215002477717,0.03174249559083609
CD4_T_cells_HLA-DR+_stromal_pP38,0.0,0.0007464966855013242,0.007141442919197605,0.0125527257807195,0.01463087345899412,0.017639720512140133,0.019259827907386468,0.020482316525985336,0.02144964556428446,0.021657516833652482
CD4_T_cells_HLA-DR+_stromal_VEGF,0.0,0.0,0.000413363179403933,0.0007596277705854779,0.0008472664447049412,0.0011996350459055497,0.0014966023804386008,0.0017146897089111816,0.001988004066348154,0.0021564127569482687
CD4_T_cells_HLA-DR+_stromal_GranzymeB,0.0,0.0015523218544896686,0.0020120684046151787,0.0021116461534159076,0.002005614417324989,0.001713229432521426,0.0015317185091155508,0.0014697018330388281,0.0013131963921254282,0.0014802948757885784
CD4_T_cells_HLA-DR+_stromal_Ki67,0.0,0.0011462590433115381,0.0006844678792391005,0.0012758556963517098,0.0017479945725484742,0.0015952194102047956,0.001488063533752127,0.0014592917621372244,0.0014725131899367646,0.001354757407255494
CD4_T_cells_HLA-DR+_stromal_TIM3,0.0,0.0022388776353208747,0.011159649130605295,0.014800980522304519,0.014994988650791465,0.01415982685566295,0.013856964605447823,0.01353355973158364,0.013005420651186973,0.013350691496156426
CD4_T_cells_HLA-DR+_stromal_HLA-DR,0.0,1.2830445740508894e-05,0.001559078930169014,0.004251432483468809,0.00610039481017094,0.006933493954193314,0.007203687297344102,0.008105127244491202,0.008546305344080702,0.00877445259219676
CD8_T_cells_HLA-DR+_glandfront_ERa,0.0,0.0035354340552838782,0.021627754276016122,0.02860255501554957,0.03187640060677082,0.03467523928722661,0.03506501793346408,0.03539731366687845,0.036123253108404335,0.03505668330905534
CD8_T_cells_HLA-DR+_glandfront_PR,0.0,0.0,0.0004450426696954389,0.0009426172347915027,0.0008012531260390732,0.0012446403823755225,0.0014217508189914257,0.0016610070570526538,0.0014284018705292853,0.0014977988911771334
CD8_T_cells_HLA-DR+_glandfront_pP38,0.0,0.004724359598643769,0.025814384081772855,0.023832627329348793,0.021697912896879907,0.02031693457215617,0.019440790206358773,0.01857737940895311,0.018410107676381866,0.01830101215474754
CD8_T_cells_HLA-DR+_glandfront_VEGF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27891102441041e-05
CD8_T_cells_HLA-DR+_glandfront_GranzymeB,0.0,0.0,0.0,0.00037299322999090676,0.000532002622448003,0.0007800705296059712,0.0010732773224671835,0.0012264694255956234,0.0014048613342520593,0.0014474896760414266
CD8_T_cells_HLA-DR+_glandfront_Ki67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010033888116015359,0.0002727885461720728,0.00039693210859659587
CD8_T_cells_HLA-DR+_glandfront_TIM3,0.0,0.002529555805356961,0.014314879453038349,0.03205533077281481,0.044374713724874344,0.052588739431119136,0.05850798554918283,0.06268297119519849,0.06548676610191938,0.06840777083689302
CD8_T_cells_HLA-DR+_glandfront_HLA-DR,0.0,0.0,0.0,7.484651508765881e-05,0.0,0.0,0.00015693536668595626,0.000427706857907974,0.0005094399714019426,0.0007349878188186576
CD8_T_cells_HLA-DR+_intragland_ERa,0.0,0.0,9.797932736983025e-05,0.0002755921865193667,0.0003026337723112971,0.00036500035368554074,0.00039864004975921906,0.0002909930366216611,0.0003671916346626018,0.0004307633493071461
CD8_T_cells_HLA-DR+_intragland_PR,0.0,0.0006488102625981125,0.004756899418640291,0.010731806294867094,0.014163099697093248,0.01633476171773574,0.01828120728242271,0.020225610730156836,0.022153700990169552,0.023604147659251073
CD8_T_cells_HLA-DR+_intragland_VEGF,0.0,0.006364349957532546,0.01623717760867147,0.015820009773186417,0.014068299772972255,0.014638192461994637,0.015370794277925148,0.016420633469444387,0.01722695292842936,0.017877877174105525
CD8_T_cells_HLA-DR+_intragland_GranzymeB,0.0,0.0044058296335352295,0.018958412696533755,0.02045484146644595,0.020170496287961456,0.01943801028802891,0.019718895174957733,0.020135676375057882,0.020564084914379888,0.02104461569978946
CD8_T_cells_HLA-DR+_intragland_HLA-DR,0.0,0.0,0.004621309017702009,0.013280014376446197,0.021836967622556012,0.02785847872612866,0.032972233761359306,0.037455610135648146,0.04104181388410883,0.044208142557987225
CD8_T_cells_HLA-DR+_stromal_ERa,0.0,0.0,0.0,0.0,0.0,0.0,0.00012612320211330397,0.00021629010212138034,0.0002824461873476683,0.00031474331375036415
CD8_T_cells_HLA-DR+_stromal_PR,0.0,0.0,0.0,0.00013866013348755576,0.0006878045943623607,0.0013129094901177345,0.0026504067402488367,0.0035966405209797237,0.004703741442749029,0.00582187686768504
CD8_T_cells_HLA-DR+_stromal_pP38,0.0,0.0005117519919023254,0.00818871310609545,0.02106285421560294,0.03313181307307387,0.040415073405951026,0.04589009109544338,0.05094847333517639,0.05526108814343771,0.058485691346412454
CD8_T_cells_HLA-DR+_stromal_VEGF,0.0,0.0,0.0036270852496614295,0.011841906870875444,0.016477737811063643,0.019060659434309048,0.021307752105930305,0.022881496304496377,0.024334430559557686,0.024671222328551415
CD8_T_cells_HLA-DR+_stromal_GranzymeB,0.0,0.0015579203834381863,0.0011599984361734576,0.0011601012446579206,0.0008821176792942549,0.0007517333895490868,0.0006420341572184897,0.0005594406931738651,0.0005659838995163644,0.0005123264316887155
CD8_T_cells_HLA-DR+_stromal_Ki67,0.0,0.0016823166483714701,0.0025658322585369684,0.0033256024176080683,0.004288722500844127,0.005160593366828369,0.005829926052281036,0.005770964104052057,0.006158222689339599,0.006666390980450011
CD8_T_cells_HLA-DR+_stromal_TIM3,0.0,0.0,0.0010570620728258962,0.005441983490617128,0.008479672015275934,0.010701990918235506,0.012430357036553177,0.013460767553962909,0.01445675676050265,0.015254071581633007
CD8_T_cells_HLA-DR+_stromal_HLA-DR,0.0,0.00015650625980365162,0.001058143244762096,0.0011556466252625134,0.0022176537967320904,0.002796003219633081,0.003050617534293859,0.003115121565280475,0.0035757757236428126,0.0037125397788282544
CD4_T_cells_CD80_CD86+_glandfront_ERa,0.0,0.0007586651072171101,0.008243744254397235,0.008579781048499326,0.009854614467717536,0.009851375954506327,0.009882919481556245,0.010011611382855102,0.010159957329141276,0.009920870263804215
CD4_T_cells_CD80_CD86+_glandfront_PR,0.0,0.0,0.0016548338408847397,0.0018540394089871755,0.002003451075254471,0.0019285884867179034,0.0019144934073072961,0.0019195050977463635,0.002259032062853947,0.0022036906492059888
CD4_T_cells_CD80_CD86+_glandfront_pP38,0.0,0.0022754639554342228,0.0025914361228902903,0.0018052989828469574,0.0007655400576952065,0.0007242918114045565,0.0008171441210402184,0.0008725433597621778,0.0008547691870789679,0.0008685831046823296
