,Max Proba
Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.2862305901557984
CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.19128726800182716
Gland_fibroblast_intragland_aggregatedNeighbors.Gland.mesenchymal,0.17540509512460856
CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.1628780667133796
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.15394514403777607
Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.15060795439106853
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.15038660641388676
Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.14990473654427103
Macrophages_M1_M2_stromal_aggregatedNeighbors.Macrophages.MDSC,0.14933881056920587
NKT_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.14313569832865475
Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.1421602269896697
Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast,0.1373824112224796
NA_glandfront_aggregatedNeighbors.Gland.fibroblast,0.13318058900310403
Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium,0.13314088260595375
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium,0.13241288401875467
Dendritic_Cells_CD86+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.12518091588820854
Dendritic_Cells_CD86CD33dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.1119459413804591
NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.10310851680902955
CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.1010166320273953
Macrophages_MDSC_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.09328335518506506
aSMA-br_fibroblast_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.0903506729784688
Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.08547310178878588
NK_cells_CD56dimCD16+CD9hi_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.08288886015596399
Gland_fibroblast_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0824899433926834
NK_cells_CD56brCD16-TIM3hi_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium,0.08187539000058913
Stroma_mesenchymal_stromal_aggregatedNeighbors.Stroma.fibroblast,0.07075517372265784
CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.06811179077460489
Dendritic_Cells_CD209CD86dp_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.06620146712350435
NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.06408358394628119
aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.06374879333376475
CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.062369436389515524
aSMA-br_mesenchymal_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.062096870972487644
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.060536447148985595
Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.06051864004417132
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0567175903014083
Neutrophils_stromal_aggregatedNeighbors.Neutrophils,0.056336411256457164
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.05430216209206608
Macrophages_M2-like_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.053310057828090514
Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.05267370916337702
Macrophages_M1_M2_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.05220804154922567
aSMA-br_mesenchymal_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.051107114910135615
Gland_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.05073330222144152
NA_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.04991473755015883
Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.048739352131801895
