,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.19508066762529497,0.1916293684112767,0.19004363808447172,0.18005503753236224,0.1735316485373778,0.20189997201049387,0.19306671591284338,0.19388045819854874,0.17845516278977233,0.17727017345300292,0.20189997201049387,0.19306671591284338,0.19388045819854874,0.17845516278977233,0.17727017345300292
artificial.2,0.22806401775515375,0.22205030319855198,0.21866444288691372,0.1875032122769876,0.13689897277363783,0.22219386043849487,0.2171767906227175,0.20315868583896507,0.1770972469431816,0.14285688353576564,0.22219386043849487,0.2171767906227175,0.20315868583896507,0.1770972469431816,0.14285688353576564
artificial.3,0.2763718094276734,0.26104162479258264,0.2552393970983101,0.23966645203193052,0.24123776121023044,0.27135251606994226,0.257927938323086,0.24500711266603373,0.23033367602333304,0.24521414536024244,0.27135251606994226,0.257927938323086,0.24500711266603373,0.23033367602333304,0.24521414536024244
artificial.4,0.19007318045048271,0.18920806649042646,0.18394929568004878,0.16511574301581827,0.12350104589327224,0.1927911312623981,0.1910981486231638,0.1776082804131603,0.16238493592167216,0.1288445714601602,0.1927911312623981,0.1910981486231638,0.1776082804131603,0.16238493592167216,0.1288445714601602
artificial.5,0.1525583241769379,0.14559332538479,0.14741996684786177,0.1398189142739865,0.1310975682348357,0.1516315995783369,0.1524767733105334,0.14307353678407503,0.1367050869278509,0.1340659201538568,0.1516315995783369,0.1524767733105334,0.14307353678407503,0.1367050869278509,0.1340659201538568
artificial.6,0.21453016153746465,0.20054835904589938,0.19970642647015677,0.1964091790178028,0.18923094886103783,0.20492750934102222,0.2017360401075852,0.19537665976054253,0.19677581833479582,0.1960961588721071,0.20492750934102222,0.2017360401075852,0.19537665976054253,0.19677581833479582,0.1960961588721071
artificial.7,0.13753909874460657,0.13153818328563538,0.12741291828018303,0.13455563584238495,0.1496337963054631,0.14813661183249524,0.1417796760805564,0.14378667252952834,0.14060188820914563,0.1540520670132914,0.14813661183249524,0.1417796760805564,0.14378667252952834,0.14060188820914563,0.1540520670132914
artificial.8,0.17749866515516483,0.17013458918002755,0.1628293956776547,0.15890057858918974,0.13696879614562119,0.17840704521368567,0.1677226292466131,0.1622792479330271,0.15755661164433213,0.14035668470417756,0.17840704521368567,0.1677226292466131,0.1622792479330271,0.15755661164433213,0.14035668470417756
artificial.9,0.20752206289480343,0.20232773989827904,0.1893844517458366,0.1598483243077607,0.13638388630218704,0.21125445867118042,0.1962669094239285,0.1826793172876301,0.16089464761686256,0.14397755288810893,0.21125445867118042,0.1962669094239285,0.1826793172876301,0.16089464761686256,0.14397755288810893
artificial.10,0.22789117250483856,0.22965958627043526,0.22716085054782162,0.21779930856683308,0.19668765842347846,0.2247696759600187,0.2123529092379113,0.21841752358713154,0.20891181085253732,0.20052016014463567,0.2247696759600187,0.2123529092379113,0.21841752358713154,0.20891181085253732,0.20052016014463567
