,Threshold,min FDP+
Fold n°1,0.16,0.9436619718309859
Fold n°2,0.39,0.8571428571428571
Fold n°3,0.5700000000000001,0.5
Fold n°4,0.45,0.25
Fold n°5,0.48000000000000004,0.3333333333333333
Fold n°6,0.05,0.985
Fold n°7,0.39,0.5
Fold n°8,0.29000000000000004,0.8421052631578947
Fold n°9,0.36000000000000004,0.6666666666666666
Fold n°10,0.44,0.25
Fold n°11,0.18000000000000002,0.7678571428571429
Fold n°12,0.46,0.3333333333333333
Fold n°13,0.52,0.5
Fold n°14,0.35000000000000003,0.2727272727272727
Fold n°15,0.5,0.3333333333333333
Fold n°16,0.47000000000000003,0.2
Fold n°17,0.11,0.9338842975206612
Fold n°18,0.54,1.0
Fold n°19,0.42000000000000004,0.125
Fold n°20,0.23,0.8
Fold n°21,0.52,0.5
Fold n°22,0.37,0.5833333333333334
Fold n°23,0.52,0.5
Fold n°24,0.43,0.4
Fold n°25,0.39,0.5
Fold n°26,0.34,0.7272727272727273
Fold n°27,0.23,0.5263157894736842
Fold n°28,0.27,0.8333333333333334
Fold n°29,0.42000000000000004,0.2
Fold n°30,0.5,0.25
Fold n°31,0.14,0.9186046511627907
Fold n°32,0.47000000000000003,0.6666666666666666
Fold n°33,0.32,0.6153846153846154
Fold n°34,0.5,0.3333333333333333
Fold n°35,0.4,0.8333333333333334
Fold n°36,0.53,0.5
Fold n°37,0.54,0.3333333333333333
Fold n°38,0.28,0.72
Fold n°39,0.17,0.7272727272727273
Fold n°40,0.12,0.8095238095238095
Fold n°41,0.45,0.6666666666666666
Fold n°42,0.36000000000000004,0.7777777777777778
Fold n°43,0.35000000000000003,0.7272727272727273
Fold n°44,0.22,0.7297297297297297
Fold n°45,0.45,0.5
Fold n°46,0.42000000000000004,0.3333333333333333
Fold n°47,0.26,0.8260869565217391
Fold n°48,0.21000000000000002,0.6037735849056604
Fold n°49,0.44,0.16666666666666666
Fold n°50,0.43,0.2
Fold n°51,0.51,0.6666666666666666
Fold n°52,0.43,1.0
Fold n°53,0.52,0.3333333333333333
Fold n°54,0.25,0.5
Fold n°55,0.44,0.2
Fold n°56,0.33,0.5454545454545454
Fold n°57,0.32,0.38461538461538464
Fold n°58,0.36000000000000004,0.5
Fold n°59,0.48000000000000004,0.16666666666666666
Fold n°60,0.35000000000000003,0.23076923076923078
Fold n°61,0.15000000000000002,0.9393939393939394
Fold n°62,0.31,0.3333333333333333
Fold n°63,0.49,0.3333333333333333
Fold n°64,0.38,0.5
Fold n°65,0.26,0.7916666666666666
Fold n°66,0.24000000000000002,0.6428571428571429
Fold n°67,0.46,0.5
Fold n°68,0.41000000000000003,0.5
Fold n°69,0.45,0.3333333333333333
Fold n°70,0.45,0.5
Fold n°71,0.51,0.3333333333333333
Fold n°72,0.5,0.3333333333333333
Fold n°73,0.26,0.48148148148148145
Fold n°74,0.42000000000000004,0.6
Fold n°75,0.16,0.7413793103448276
Fold n°76,0.47000000000000003,0.6666666666666666
Fold n°77,0.52,0.25
Fold n°78,0.5,0.5
Fold n°79,0.3,0.6666666666666666
Fold n°80,0.44,0.3333333333333333
Fold n°81,0.48000000000000004,0.3333333333333333
Fold n°82,0.29000000000000004,0.9
Fold n°83,0.37,0.3333333333333333
Fold n°84,0.46,0.5
Fold n°85,0.61,0.5
Fold n°86,0.44,0.4
Fold n°87,0.34,0.6666666666666666
Fold n°88,0.51,0.5
Fold n°89,0.44,0.5
Fold n°90,0.54,0.5
Fold n°91,0.46,0.25
Fold n°92,0.32,0.8333333333333334
Fold n°93,0.45,0.42857142857142855
Fold n°94,0.33,0.7272727272727273
Fold n°95,0.52,0.6666666666666666
Fold n°96,0.47000000000000003,0.3333333333333333
Fold n°97,0.34,0.45454545454545453
Fold n°98,0.5,0.3333333333333333
Fold n°99,0.39,0.6666666666666666
Fold n°100,0.44,0.8
