,"{'C': np.float64(0.01), 'l1_ratio': 0.5}","{'C': np.float64(0.01), 'l1_ratio': 0.9}","{'C': np.float64(0.056234132519034905), 'l1_ratio': 0.5}","{'C': np.float64(0.056234132519034905), 'l1_ratio': 0.9}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.5}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.9}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.5}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.9}","{'C': np.float64(10.0), 'l1_ratio': 0.5}","{'C': np.float64(10.0), 'l1_ratio': 0.9}"
artificial.1,0.0,0.0,6.00275995682413e-05,0.0,0.020469064467265416,0.007022684172005509,0.047318150001730126,0.025945477711169434,0.11097755573988867,0.07298473175557008
artificial.2,0.0,0.0,0.005786302510360136,0.0,0.04035877294349134,0.02704238948194927,0.061855450943404076,0.04165622230933588,0.12665253664295725,0.08811581463954332
artificial.3,0.0,0.0,0.0,0.0,0.005713322067889172,0.0028368439126066187,0.016244558761393822,0.006614837152797985,0.06677015283811849,0.03327458291000952
artificial.4,0.0,0.0,0.0013886328659590678,0.0,0.05631549812488443,0.026957637923489392,0.0993868691593606,0.0654039112689247,0.1940426270933934,0.14097121699410453
artificial.5,0.0,0.0,5.7687543162378395e-05,0.0,0.010639443666671125,0.0060428316790163685,0.018427968120644966,0.011189115118829517,0.06211716633629051,0.03143155929994672
artificial.6,0.0,0.0,0.01154310013503639,0.0,0.024908116950014065,0.015351342706780692,0.04243991442667892,0.025420461687375776,0.12538992583643543,0.0720307734111908
artificial.7,0.0,0.0,0.0,0.0,0.022635548323319588,0.008016646544624341,0.04725656066148332,0.028154530455836567,0.11374352181266588,0.07395312135773925
artificial.8,0.0,0.0,0.006701654964888638,0.0,0.09098275952984428,0.04831363204580738,0.13888637211717061,0.10152407920316052,0.2230217460003665,0.1762753218531334
artificial.9,0.0,0.0,0.0,0.0,0.013288025460938527,0.004684247071113787,0.03058295708826389,0.01733485086051028,0.09528689842175582,0.05408527534859627
artificial.10,0.0,0.0,0.0,0.0,0.0026936484085531374,0.0003176277750016808,0.008627137249277946,0.0039286598835325615,0.052966596261551306,0.02206201239426728
artificial.11,0.0,0.0,4.382011729312829e-05,0.0,0.013795751350537757,0.006079800850105791,0.031054261857568686,0.015886372093856203,0.08369765341578692,0.05302494397023828
artificial.12,0.0,0.0,0.0,0.0,0.012359507909098255,0.004104726796646529,0.024265186929501692,0.014242980218033269,0.07871460057386254,0.04466475694395561
artificial.13,0.0,0.0,0.029555499969311637,0.0,0.08430505546765835,0.05881931158271075,0.11122312327766101,0.08636894335709389,0.18811950003877806,0.1429981518908323
artificial.14,0.0,0.0,0.0,0.0,0.0058077781397898156,0.0010174255175349363,0.018774917494484147,0.008709536005033365,0.08242880662662885,0.044088111804649444
artificial.15,0.0,0.0,0.0016510390133570858,0.0,0.021042732707510576,0.006443646065409507,0.048620617901008516,0.022916017836178807,0.12455545652714417,0.08107517099749328
artificial.16,0.0,0.0,0.0,0.0,0.009407236305093184,0.006265332227431426,0.01798364465669543,0.011221910590000503,0.06765083849195364,0.033357908991220465
artificial.17,0.0,0.0,0.0,0.0,0.005056262136929418,0.002590565051099429,0.010882032756542937,0.005951730640852755,0.047812916420873736,0.022532854857721545
artificial.18,0.0,0.0,0.0004067597416938101,0.0,0.005848282999301761,0.0018666121974515184,0.01286280910030143,0.008028919452793144,0.04716027003234738,0.022931302525928288
artificial.19,0.0,0.0,0.0002637613227477701,0.0,0.009179599886990115,0.0028815029012380857,0.020860441313968792,0.010062078410275298,0.0658882498329019,0.03666613080735077
artificial.20,0.0,0.0,0.0009188911642398041,0.0,0.01704691788867764,0.007005398720277053,0.03496888209952363,0.02059852916580463,0.09273808162605335,0.05647596460709234
artificial.21,0.0,0.0,0.013349358755224467,0.0,0.06576305539654266,0.038447796182576405,0.11104573121874182,0.07000866237528842,0.2146826992039243,0.15834656024153992
artificial.22,0.0,0.0,0.0,0.0,0.008269904789022725,0.0006639658707510972,0.019462587731779116,0.010600449613119522,0.07358779585640306,0.03763154855943781
artificial.23,0.0,0.0,0.0001453195718920048,0.0,0.01012364678626831,0.0026156656042656103,0.02099299170469917,0.013363018817094268,0.06999758089747714,0.037316982003907
artificial.24,0.0,0.0,0.0,0.0,0.013283253632372974,0.007475375425843606,0.02596636743314032,0.015476071512983292,0.06827440939451843,0.04000754514026431
artificial.25,0.0,0.0,0.0,0.0,0.0021454613040428083,0.0007921725816005527,0.006619313065418536,0.002170099181052174,0.044071591545616476,0.02008629541541201
artificial.26,0.0,0.0,0.01645421412146862,0.0,0.07783626458152323,0.0486850201582447,0.11724520826623976,0.08115912393916828,0.20939624196946724,0.1573063102632847
artificial.27,0.0,0.0,0.0,0.0,0.0017603883805353986,0.001196493436514302,0.009106041397021153,0.0028640017164802915,0.0432855968980069,0.02008443879155552
