,Max Proba
NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB,0.49993034950135773
Macrophages_M1_M2_stromal_GranzymeB,0.4839299064042797
Dendritic_Cells_CD33+_stromal_GranzymeB,0.4776323310267608
Stroma_fibroblast_stromal_GranzymeB,0.45249467099559876
Macrophages_M1-like_stromal_GranzymeB,0.4362155193985019
NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB,0.41567605456287526
CD8_T_cells_CD80_CD86+_stromal_GranzymeB,0.4156419793303652
aSMA-br_vascular_endothelium_stromal_GranzymeB,0.3951453430608725
Stroma_fibroblast_glandfront_GranzymeB,0.37404848937118235
Stroma_vascular_endothelium_stromal_GranzymeB,0.3499599624704186
Gland_glandular_epithelium_glandfront_Ki67,0.32616695340474416
aSMA-br_vascular_endothelium_stromal_Ki67,0.30931908910518835
NK_cells_CD56brCD16-TIM3hi_stromal_GranzymeB,0.30027472141634637
aSMA-br_vascular_endothelium_glandfront_Ki67,0.29150246367209576
Gland_glandular_epithelium_intragland_Ki67,0.29135797331040064
aSMA-br_fibroblast_stromal_GranzymeB,0.2765064287877494
Dendritic_Cells_CD86CD33dp_stromal_GranzymeB,0.26444141574435437
Neutrophils_stromal_VEGF,0.26036041319434094
NA_glandfront_Ki67,0.25579203527432465
NKT_glandfront_Ki67,0.25284100283346295
CD8_T_cells_CD11b+_stromal_TIM3,0.25135593092308317
NK_cells_CD56brCD16-_stromal_GranzymeB,0.24858851419173084
Stroma_fibroblast_glandfront_Ki67,0.24312671464349844
Macrophages_M2-like_stromal_GranzymeB,0.23219742171045418
CD4_T_cells_CD11b+_stromal_GranzymeB,0.21937563842856864
Gland_fibroblast_stromal_GranzymeB,0.218885279337093
Gland_fibroblast_glandfront_GranzymeB,0.21754393278857642
aSMA-br_vascular_endothelium_glandfront_GranzymeB,0.21576167410196676
Macrophages_MDSC_glandfront_GranzymeB,0.21457121677013258
CD8_T_cells_HLA-DR+_stromal_GranzymeB,0.21224219564479493
CD8_T_cells_CD11b+_stromal_VEGF,0.21217307675708186
Stroma_vascular_endothelium_stromal_VEGF,0.20094689620754738
Stroma_vascular_endothelium_glandfront_GranzymeB,0.19798554542086197
aSMA-br_mesenchymal_stromal_GranzymeB,0.19074014535451683
Dendritic_Cells_CD209CD33dp_stromal_GranzymeB,0.18926313294391642
Gland_fibroblast_glandfront_Ki67,0.18765266759000696
NK_cells_CD56brCD16-CD9hi_stromal_GranzymeB,0.18344474138618894
Stroma_vascular_endothelium_glandfront_Ki67,0.18298629587090653
CD4_T_cells_CD80_CD86+_stromal_GranzymeB,0.18192724793885956
aSMA-br_fibroblast_glandfront_Ki67,0.17571963171926508
CD8_T_cells_CD80_CD86+_glandfront_GranzymeB,0.17067224838550893
Stroma_mesenchymal_stromal_GranzymeB,0.17000225228363824
aSMA-br_mesenchymal_glandfront_GranzymeB,0.16661189073237492
NK_cells_CD56brCD16-TIM3hi_glandfront_GranzymeB,0.1659459274764354
Stroma_mesenchymal_glandfront_GranzymeB,0.16176821756523294
Macrophages_M2-like_stromal_VEGF,0.16165824294067727
CD4_T_cells_HLA-DR+_stromal_Ki67,0.1615006538917075
Gland_glandular_epithelium_glandfront_GranzymeB,0.16067870701008505
CD8_T_cells_CD80_CD86+_glandfront_VEGF,0.1550781475442508
aSMA-br_fibroblast_glandfront_GranzymeB,0.1528500461586972
Gland_mesenchymal_stromal_GranzymeB,0.1526663753560132
NK_cells_CD56brCD16-_stromal_HLA-DR,0.14968876675620651
Gland_vascular_endothelium_glandfront_VEGF,0.14705650930167122
Stroma_fibroblast_stromal_ERa,0.14160859240595447
NK_cells_CD56dimCD16+_stromal_GranzymeB,0.13934431901096267
CD4_T_cells_CD11b+_stromal_Ki67,0.13849979330298234
Gland_mesenchymal_intragland_ERa,0.13763142533417555
Macrophages_M1-like_glandfront_GranzymeB,0.13679156498902303
CD4_T_cells_HLA-DR+_glandfront_VEGF,0.13562374908902566
Macrophages_M1_M2_stromal_ERa,0.1343772726237146
CD8_T_cells_HLA-DR+_stromal_TIM3,0.1301040266552552
