,{'C': np.float64(0.01)},{'C': np.float64(0.12)},{'C': np.float64(0.23)},{'C': np.float64(0.34)},{'C': np.float64(0.45)},{'C': np.float64(0.56)},{'C': np.float64(0.67)},{'C': np.float64(0.78)},{'C': np.float64(0.89)},{'C': np.float64(1.0)}
CD4_T_cells_FoxP3+_glandfront_area,0.0,0.0,0.001977313378038275,0.002709325382693184,0.002876134897642593,0.0027402012470922705,0.0027321992739382304,0.0025591079233536927,0.002599425727087206,0.0024458050339211048
CD4_T_cells_FoxP3+_stromal_area,0.0,0.007676428789516737,0.01271369748433617,0.014585289485824512,0.014516163926421135,0.014789410812717795,0.015053825603247023,0.01515386180575504,0.015380874199729862,0.015530048697984198
CD8_T_cells_FoxP3+_glandfront_area,0.0,0.003455372031794024,0.005980531790929536,0.008256145765617399,0.009774748692490797,0.010774518958377964,0.011528118931635857,0.012013978112897302,0.01242618581826693,0.012720462023838041
CD8_T_cells_FoxP3+_intragland_area,0.0,0.00019821513230111005,0.007759493021309236,0.012054023306466466,0.014553298225056226,0.015821604547433216,0.0165489749524198,0.017078447791711412,0.01748176788085947,0.017820272640659524
CD8_T_cells_FoxP3+_stromal_area,0.0,0.0017777730543896827,0.003509230860877151,0.00306901715411507,0.003058284006838336,0.0029856778125248854,0.003019458544732514,0.003069149287404407,0.00299401275733988,0.003003618011946878
CD4_T_cells_HLA-DR+_glandfront_area,0.0,0.004719085806728947,0.015614517859766813,0.020474878880920058,0.02265463370560537,0.024053161453317026,0.024878918234282184,0.02542552109962082,0.025898174541421244,0.026354194544593208
CD4_T_cells_HLA-DR+_intragland_area,0.0,0.0,2.8307327170367846e-05,0.00013858265744907833,0.00040090013407459695,0.0006782392820246379,0.0009230178778631483,0.001212171572773194,0.0014662625052091342,0.0016638059426832275
CD4_T_cells_HLA-DR+_stromal_area,0.0,0.11642750736286193,0.11474379878055593,0.1098760196890107,0.10711187210058078,0.10623525135176769,0.10605758642685247,0.10527396149109332,0.10504298994372305,0.10464902169281667
CD8_T_cells_HLA-DR+_glandfront_area,0.0,0.0,0.0010346682659395001,0.0018527867990416186,0.002337959977382517,0.0026035867127904328,0.002914790194776655,0.0031790198284540145,0.003289301909123073,0.0034634156574990414
CD8_T_cells_HLA-DR+_intragland_area,0.0,0.007461553331981946,0.026658668047478653,0.03499722573926454,0.03885744478583192,0.04078721584979583,0.042206990160527376,0.04272245080083522,0.04313391758089363,0.043442523231465184
CD8_T_cells_HLA-DR+_stromal_area,0.0,0.007422334291722391,0.012971709523687624,0.01632626821370098,0.018481562539846563,0.01970737336584648,0.02088803156215889,0.021696509640682815,0.022133815439652108,0.022410180581952304
CD4_T_cells_CD80_CD86+_glandfront_area,0.0,0.0,0.00010816535911021999,0.000932566546382461,0.0016258905801249117,0.002109667755145404,0.0026648156870619933,0.0030008342491920576,0.003326508901224143,0.0035411528834890077
CD4_T_cells_CD80_CD86+_intragland_area,0.0,2.9872209434458967e-05,0.0005377362734862936,0.0006905137993949608,0.000873412507414957,0.0010110628562616515,0.0012141085918132336,0.0014191202513267475,0.0016229562478695533,0.0017497010820326953
CD4_T_cells_CD80_CD86+_stromal_area,0.0,0.0018613428969133654,0.010770433042038554,0.017435817534537316,0.02009911256691524,0.021285185131818107,0.022114904460706325,0.02258379652162708,0.022967043943483777,0.023178058764505953
CD8_T_cells_CD80_CD86+_glandfront_area,0.0,6.353820219804487e-05,0.0002663177230712848,0.0005507089019233722,0.000927602566488854,0.0010360895332194105,0.0011491030419481226,0.0012663077012732599,0.0012876418212613503,0.001362707770225358
CD8_T_cells_CD80_CD86+_intragland_area,0.0,0.0016433764339373466,0.006082596119977613,0.008795471691938677,0.010062898533291205,0.010495168459950714,0.010791159931137207,0.011149314728853905,0.011564765777017705,0.011541303547518549
CD8_T_cells_CD80_CD86+_stromal_area,0.0,0.0659864554628678,0.1145679816716349,0.13347840972007102,0.14130453688050315,0.14551089269881054,0.14773082972212814,0.14927493112508405,0.14973230635150453,0.15031954325002195
CD4_T_cells_CD11b+_glandfront_area,0.0,0.02549612601132532,0.024897984152094575,0.024540840120576893,0.024410904560714076,0.024364806955530106,0.024060106853880808,0.02373353579734119,0.023511404750656918,0.023413834701467472
CD4_T_cells_CD11b+_intragland_area,0.0,1.1899018433600916e-05,0.0016601759934531766,0.0032402865711777763,0.004215024018752091,0.004642670167835044,0.004999517555883742,0.00535815116409504,0.005625714870413195,0.005906318767626241
CD4_T_cells_CD11b+_stromal_area,0.0,0.054742781174719965,0.043400348196313936,0.038202758224040685,0.035169557479485664,0.03328057644265396,0.03159108572002321,0.030721476936706963,0.02991779199949608,0.02924831168350479
CD8_T_cells_CD11b+_glandfront_area,0.0,0.03359066097844925,0.05675823195419366,0.054605480291287145,0.05161741130910102,0.05035327675544943,0.049516793225357854,0.04873634550471116,0.04820205375602645,0.04795883770263836
CD8_T_cells_CD11b+_intragland_area,0.0,0.0,0.009648893263198668,0.016944868338686813,0.020205808946637153,0.0220656870754418,0.0233145313796631,0.02420944817627966,0.024909209466005833,0.02553256824403868
CD8_T_cells_CD11b+_stromal_area,0.0,0.0,0.0006746104489158834,0.0009339555000029904,0.0014567761778246984,0.002219534019845399,0.002690668809374207,0.002992896906125194,0.0032155831475826806,0.0033505662239731726
Stroma_mesenchymal_glandfront_area,0.0,0.0,1.3624747190147081e-05,0.0008123561650681308,0.0014116223539390293,0.001838491039607744,0.0022055586934449987,0.002538658790520051,0.0027450917619362683,0.0029981670907058807
Stroma_mesenchymal_stromal_area,0.0,0.0,0.0,0.0001945990162497778,0.000620423593259095,0.0009382636309445443,0.0013210548427206286,0.001524961673743598,0.001615735420927653,0.0014989210823239548
Stroma_vascular_endothelium_glandfront_area,0.0,0.007694682969485104,0.015092430277919358,0.020870545324481626,0.023184528362335186,0.02468300441323731,0.025781211112418198,0.026255520742422458,0.02673855492577741,0.027335904777345415
Stroma_vascular_endothelium_stromal_area,0.0,0.050406683569922284,0.06744234866794574,0.06965557322467009,0.07072512120747983,0.0712065149936993,0.07137173670549168,0.07118137235933564,0.07123134423067866,0.07157570247845785
Stroma_fibroblast_glandfront_area,0.0,0.05519111448130878,0.07014592660061021,0.07165669178203818,0.0725991192788491,0.07288989968501601,0.07288386783576921,0.07307833125932663,0.07303488603692602,0.07286514349612759
Stroma_fibroblast_stromal_area,0.0,0.16815047398189176,0.14886950323858156,0.15044651540304957,0.15395824782290146,0.15605325823710864,0.1573477378147136,0.1580495364565005,0.1586650850723479,0.1594081810326525
NK_cells_CD56brCD16-_glandfront_area,0.0,0.0,0.0005644193267632888,0.001706072125098565,0.0026966419078515214,0.0033270614231206133,0.003824018271157489,0.004228322460030951,0.0046756020412751075,0.004987413512324978
NK_cells_CD56brCD16-_stromal_area,0.0,0.05654702005003787,0.06943867052651458,0.07288975180232285,0.07507413915009337,0.07558489103769843,0.0756689870110507,0.0762372337512885,0.07657049437517062,0.07686827491319886
NK_cells_CD56dimCD16+_glandfront_area,0.0,0.0,0.0062348302898776,0.01236013060495748,0.016146614589347425,0.018441439551147236,0.019994477881516735,0.021260204981115808,0.02202810144101451,0.022791168256834464
NK_cells_CD56dimCD16+_intragland_area,0.0,0.0,0.005172574039362177,0.008431960294614677,0.010099647252147355,0.011260820315603175,0.011812226563704193,0.011676987760671774,0.011886688569827077,0.01357167984457115
NK_cells_CD56dimCD16+_stromal_area,0.0,0.003851985720244385,0.014584264283813828,0.01882319562561275,0.020242993742442095,0.02124742568211589,0.022128337665048462,0.022707189275575686,0.02306746587658445,0.023259856563562324
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_area,0.0,0.07309826213579831,0.06802597343975744,0.06237073528018916,0.05983905473777241,0.05869352104143453,0.05878841659974989,0.0588324011763757,0.05872605190591109,0.05869221059435326
NK_cells_CD56brCD16-TIM3hi_glandfront_area,0.0,0.0,0.0001650523973737354,0.00020145093826587902,0.00040965449750480446,0.0008196624508258314,0.0011198953012365354,0.0013166862596548214,0.0014933775889596835,0.0016400495467789266
NK_cells_CD56brCD16-TIM3hi_stromal_area,0.0,0.04512719748173386,0.053838359481023654,0.05596370788144647,0.057493640626485806,0.05875545794919181,0.059318395330744615,0.05961507118449176,0.05978757383173042,0.05976064362650707
NK_cells_CD56dimCD16+CD9hi_glandfront_area,0.0,0.0,0.003041306892038306,0.006105395458754745,0.007812899038357203,0.008565183704313705,0.009269742886542712,0.009677828115309064,0.009971720777514795,0.010197199636868194
NK_cells_CD56dimCD16+CD9hi_intragland_area,0.0,0.0023080262757490364,0.01413097730685412,0.02037041271416753,0.0238404907761611,0.026279798836478026,0.0281437872731945,0.029290282207095578,0.029991681671926274,0.030951099130665596
NK_cells_CD56dimCD16+CD9hi_stromal_area,0.0,0.02418648752207501,0.01438096519826295,0.010337453527457397,0.008537837233372824,0.007389834488210293,0.006876291830850244,0.006718196436423267,0.006564547373725902,0.006535948129902054
NK_cells_CD56brCD16-CD9hi_glandfront_area,0.0,0.004763363141686169,0.01144654095772036,0.014545236637224424,0.0164060074857808,0.017752852395218083,0.018584684850199484,0.019218008373953963,0.019852465587342515,0.0205215974953206
