,Max Proba
Gland_glandular_epithelium_intragland_cellfrequency,0.7722084776161429
Gland_glandular_epithelium_glandfront_cellfrequency,0.5272141799432343
CD4_T_cells_CD11b+_stromal_cellfrequency,0.2887732654596079
aSMA-br_vascular_endothelium_stromal_cellfrequency,0.1871506444472968
Dendritic_Cells_CD86CD33dp_glandfront_cellfrequency,0.18593330872369557
CD8_T_cells_HLA-DR+_glandfront_cellfrequency,0.12840752192484772
CD8_T_cells_FoxP3+_stromal_cellfrequency,0.12467035727541709
aSMA-br_glandular_epithelium_glandfront_cellfrequency,0.11004129175191225
Macrophages_M2-like_stromal_cellfrequency,0.10834108146202377
Dendritic_Cells_CD86CD33dp_stromal_cellfrequency,0.1029100524700355
Gland_fibroblast_stromal_cellfrequency,0.09563381174508118
Gland_mesenchymal_intragland_cellfrequency,0.09418427656137288
NK_cells_CD56brCD16-_glandfront_cellfrequency,0.0889190042849449
NK_cells_CD56brCD16-_stromal_cellfrequency,0.08494006121261337
CD8_T_cells_CD80_CD86+_glandfront_cellfrequency,0.07455733377285322
B_cells_stromal_cellfrequency,0.0745054514770169
NK_cells_CD56dimCD16+_glandfront_cellfrequency,0.07391305045407023
Neutrophils_intragland_cellfrequency,0.07209360359931404
CD8_T_cells_CD80_CD86+_stromal_cellfrequency,0.07149367461659191
Macrophages_MDSC_glandfront_cellfrequency,0.06911436156501659
NKT_intragland_cellfrequency,0.06710238836017549
Gland_glandular_epithelium_stromal_cellfrequency,0.06554750970699905
CD4_T_cells_HLA-DR+_stromal_cellfrequency,0.06318781147448692
Stroma_fibroblast_glandfront_cellfrequency,0.05948266956190369
Neutrophils_stromal_cellfrequency,0.05875474702620121
Gland_vascular_endothelium_glandfront_cellfrequency,0.058030239521227316
NA_stromal_cellfrequency,0.05754804846030204
Macrophages_M1_M2_stromal_cellfrequency,0.05674053937146597
aSMA-br_fibroblast_stromal_cellfrequency,0.0556783813762048
NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency,0.05558866317167401
Macrophages_M1-like_glandfront_cellfrequency,0.055565494672356414
NK_cells_CD56dimCD16+_stromal_cellfrequency,0.05445344637813873
