,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
CD4_T_cells_FoxP3+_glandfront_area,0.0059415815632791,0.005306682693621613,0.0046982374567336276,0.004008840564574832,0.006096409808313218,0.006344520607016676,0.005693087536611636,0.005061571017452339,0.004556095723627121,0.006479043718616408,0.006344520607016676,0.005693087536611636,0.005061571017452339,0.004556095723627121,0.006479043718616408
CD4_T_cells_FoxP3+_stromal_area,0.01481861150935052,0.014281676664804456,0.014070778587582938,0.01459793218184918,0.015852269385475796,0.01650792724601329,0.015317540143516602,0.014805138770075905,0.015045703072006457,0.016566488864754342,0.01650792724601329,0.015317540143516602,0.014805138770075905,0.015045703072006457,0.016566488864754342
CD8_T_cells_FoxP3+_glandfront_area,0.04137762616830125,0.038764093360819554,0.03639018334574593,0.03386058615380971,0.023411659315385188,0.04169048325327543,0.03954806036061434,0.03654860489096915,0.035149792344800264,0.024130979173099053,0.04169048325327543,0.03954806036061434,0.03654860489096915,0.035149792344800264,0.024130979173099053
CD8_T_cells_FoxP3+_intragland_area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8_T_cells_FoxP3+_stromal_area,0.023504364098584366,0.024758164757454747,0.02589310904708411,0.027212805081127164,0.023783940745556797,0.025405224914015263,0.026084712031528845,0.026911815633906162,0.027889369575061412,0.024209172451098323,0.025405224914015263,0.026084712031528845,0.026911815633906162,0.027889369575061412,0.024209172451098323
CD4_T_cells_HLA-DR+_glandfront_area,0.01595959702104067,0.01504489704388146,0.014681049956339244,0.013538000107070033,0.010661565939116371,0.016812798554550375,0.01578349427368484,0.015520895565836992,0.013846568143794135,0.011607760864774597,0.016812798554550375,0.01578349427368484,0.015520895565836992,0.013846568143794135,0.011607760864774597
CD4_T_cells_HLA-DR+_intragland_area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_HLA-DR+_stromal_area,0.07450450972710503,0.07658437171641057,0.07764460395850092,0.0763238456771447,0.06829809423926542,0.07516117983296601,0.07630597257955211,0.07787648564769138,0.07589793634179844,0.06880120155185208,0.07516117983296601,0.07630597257955211,0.07787648564769138,0.07589793634179844,0.06880120155185208
CD8_T_cells_HLA-DR+_glandfront_area,0.01096830401522941,0.011984581122309955,0.012142380278240647,0.012040894227510314,0.0067686936182956075,0.011922749130205596,0.013011851661166854,0.013258561678332741,0.012992056973829076,0.007478073893879829,0.011922749130205596,0.013011851661166854,0.013258561678332741,0.012992056973829076,0.007478073893879829
CD8_T_cells_HLA-DR+_intragland_area,0.0,1.0403671709992363e-05,2.5379509243811086e-05,0.0,4.1886831718273035e-05,1.7357774408103114e-05,1.737565509029721e-05,2.572015217184948e-05,1.7934431405342396e-05,3.9542230164333714e-05,1.7357774408103114e-05,1.737565509029721e-05,2.572015217184948e-05,1.7934431405342396e-05,3.9542230164333714e-05
CD8_T_cells_HLA-DR+_stromal_area,0.03017543613854427,0.030372379297368843,0.030669377484757177,0.03086502103071275,0.02691129904080878,0.0318255596826388,0.031827267575450395,0.031189472124543923,0.031320749460595175,0.028031774354134516,0.0318255596826388,0.031827267575450395,0.031189472124543923,0.031320749460595175,0.028031774354134516
CD4_T_cells_CD80_CD86+_glandfront_area,0.030699164193265245,0.031317305898800094,0.0309366872994324,0.028422865086761243,0.020409625619880387,0.03140277421260032,0.032065670458561374,0.03138169969650014,0.029061083922579018,0.020662707761976516,0.03140277421260032,0.032065670458561374,0.03138169969650014,0.029061083922579018,0.020662707761976516
CD4_T_cells_CD80_CD86+_intragland_area,0.00019300466304183916,0.0001536506123591234,0.00017783612664648083,0.00024712584643483466,0.00030258794545283635,0.0003542158290869988,0.00034493588622287405,0.00034356659138837914,0.0003737356556711314,0.0004388827837948667,0.0003542158290869988,0.00034493588622287405,0.00034356659138837914,0.0003737356556711314,0.0004388827837948667
CD4_T_cells_CD80_CD86+_stromal_area,0.06246019674858391,0.05848312864083021,0.0558079559187142,0.050490251042989424,0.039235244565602685,0.062291021425716527,0.05943370662557866,0.0563192973934838,0.05110429745984982,0.04015810119686452,0.062291021425716527,0.05943370662557866,0.0563192973934838,0.05110429745984982,0.04015810119686452
