,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
CD4_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.0037707512068610423,0.0030873234245125704,0.002793142289868039,0.0030017883865505342,0.0029761759578815434,0.003919932816635711,0.0032819872174792947,0.003099639243742946,0.0031309515792712172,0.0032211891056986228,0.003919932816635711,0.0032819872174792947,0.003099639243742946,0.0031309515792712172,0.0032211891056986228
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0020393930176434466,0.0020499144711215184,0.0019257347521948478,0.0023358669092420938,0.0018928527517546726,0.002775988727152767,0.002601851580206358,0.0024387214762437493,0.002842563856714101,0.0023811794141592904,0.002775988727152767,0.002601851580206358,0.0024387214762437493,0.002842563856714101,0.0023811794141592904
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.025031989700151497,0.020799053553006642,0.018644776884128824,0.015264541451054145,0.0137062213864803,0.02576037443998772,0.021388692310266882,0.01913893922999259,0.015777152590193588,0.014305323173250957,0.02576037443998772,0.021388692310266882,0.01913893922999259,0.015777152590193588,0.014305323173250957
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.00714506912209771,0.0070350770521380316,0.0068910234311958495,0.0066334518056508675,0.006796429620988776,0.007662420177635371,0.007681466905554467,0.007398529429199901,0.006986644305555195,0.007050497864526327,0.007662420177635371,0.007681466905554467,0.007398529429199901,0.006986644305555195,0.007050497864526327
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.00895936441457366,0.009039433615511915,0.009318726857289562,0.008328911817643826,0.006919515476356681,0.009616432989407729,0.009594273703821257,0.009729579769788787,0.00891439976825376,0.0071038224871801964,0.009616432989407729,0.009594273703821257,0.009729579769788787,0.00891439976825376,0.0071038224871801964
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.004384506890544024,0.004338657724015146,0.004511068816834204,0.004390144601187351,0.0031759435626550164,0.0049941547572672695,0.004968718067792408,0.00511629107218602,0.00505461892317942,0.003457547388869064,0.0049941547572672695,0.004968718067792408,0.00511629107218602,0.00505461892317942,0.003457547388869064
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.009510924620829222,0.009195806334439977,0.008914986862352066,0.008622683403293812,0.008177237727751797,0.010481510256425066,0.010127734127644237,0.009923530855623376,0.008985259958282048,0.008306530044665342,0.010481510256425066,0.010127734127644237,0.009923530855623376,0.008985259958282048,0.008306530044665342
CD4_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.004545830052406072,0.004650885812582957,0.004803425405041239,0.00479982838927732,0.004524714070478159,0.005313380647891568,0.005299983322359136,0.005242727146661495,0.005148695410378302,0.005172484555837142,0.005313380647891568,0.005299983322359136,0.005242727146661495,0.005148695410378302,0.005172484555837142
CD4_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.01290814681085952,0.012465810249749331,0.011842085873719233,0.012082301844891903,0.013389475573470668,0.01393841532861043,0.01325832220499311,0.01295788803212086,0.01314114810392703,0.014340394261374975,0.01393841532861043,0.01325832220499311,0.01295788803212086,0.01314114810392703,0.014340394261374975
CD4_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.004999919520946204,0.004925793791684017,0.004995471617621164,0.005382607512073007,0.0046029734177139014,0.005887253730580835,0.005319539369851945,0.005141121166458031,0.005585894964482799,0.004786910749145349,0.005887253730580835,0.005319539369851945,0.005141121166458031,0.005585894964482799,0.004786910749145349
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.0117198902885417,0.01180733246232991,0.011731454296845514,0.011836058457872532,0.010024252137524498,0.012287410010723539,0.01249576574431643,0.012281851308735681,0.012118144590803842,0.010506550645612362,0.012287410010723539,0.01249576574431643,0.012281851308735681,0.012118144590803842,0.010506550645612362
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.00742635853151588,0.007546561186564613,0.007774104639190308,0.007769634716202707,0.006382572846840123,0.00808262958879773,0.008342241480720602,0.008381962275893837,0.008109783449193502,0.006581476063532037,0.00808262958879773,0.008342241480720602,0.008381962275893837,0.008109783449193502,0.006581476063532037
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Macrophages.M2.like,0.012161368495845676,0.012678203819501393,0.012976226596981062,0.013409074143772362,0.011524995138854542,0.013881614479385776,0.014167125369866872,0.014249426244168879,0.014658591100178359,0.012240732928465534,0.013881614479385776,0.014167125369866872,0.014249426244168879,0.014658591100178359,0.012240732928465534
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.025842901193151416,0.02579979313446668,0.025899814725354825,0.025593936206288963,0.02280379371700864,0.026881077562134106,0.026250104764772974,0.026660027447037975,0.026260778058649948,0.023510789362072095,0.026881077562134106,0.026250104764772974,0.026660027447037975,0.026260778058649948,0.023510789362072095
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.027156097600084948,0.027845242190982,0.028078999285596314,0.02781520185940899,0.022670442786331492,0.027533272936355213,0.028047405942055143,0.02875618101983143,0.028354789198713138,0.023033405029426593,0.027533272936355213,0.028047405942055143,0.02875618101983143,0.028354789198713138,0.023033405029426593
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.00760150233266714,0.0079041521026641,0.007883659489086535,0.007831225914203497,0.005304765281673067,0.007424275847185633,0.008073769534900296,0.00788729874448534,0.008076754656488765,0.005743478627312186,0.007424275847185633,0.008073769534900296,0.00788729874448534,0.008076754656488765,0.005743478627312186
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.0030299080253093557,0.0032616256262881847,0.0034346011859528445,0.0033971213167753047,0.0033006701418663844,0.0038789997221100113,0.003705402361146682,0.0036820415397590713,0.0038058061726339155,0.0038419370477679347,0.0038789997221100113,0.003705402361146682,0.0036820415397590713,0.0038058061726339155,0.0038419370477679347
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.02663039269046701,0.02680678325671683,0.026238249688817855,0.026701257131170178,0.024828952465936503,0.027059354854689376,0.027268979032853503,0.02698041967594335,0.02687708715206535,0.02506660718054445,0.027059354854689376,0.027268979032853503,0.02698041967594335,0.02687708715206535,0.02506660718054445
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.007619636931734741,0.008113004058646496,0.007759184528213838,0.007505624780717824,0.005388457524418863,0.00851680966460917,0.008659872124948466,0.008493718504994245,0.007756707710575654,0.005783349350619464,0.00851680966460917,0.008659872124948466,0.008493718504994245,0.007756707710575654,0.005783349350619464
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.0061541540739680324,0.006290027453803726,0.0067075621776350215,0.006040906311998017,0.00567468996198488,0.007259740281248594,0.007016609948551125,0.007212426508276551,0.006443183673986178,0.005996232560971062,0.007259740281248594,0.007016609948551125,0.007212426508276551,0.006443183673986178,0.005996232560971062
