,Threshold,min FDP+
Fold n°1,0.47000000000000003,0.5
Fold n°2,0.53,1.0
Fold n°3,0.59,1.0
Fold n°4,0.63,1.0
Fold n°5,0.66,1.0
Fold n°6,0.31,0.9166666666666666
Fold n°7,0.5,0.3333333333333333
Fold n°8,0.01,1.0
Fold n°9,0.45,0.6
Fold n°10,0.49,0.5
Fold n°11,0.4,0.6666666666666666
Fold n°12,0.59,0.3333333333333333
Fold n°13,0.64,1.0
Fold n°14,0.62,1.0
Fold n°15,0.61,1.0
Fold n°16,0.35000000000000003,1.0
Fold n°17,0.47000000000000003,1.0
Fold n°18,0.52,0.5
Fold n°19,0.55,0.6666666666666666
Fold n°20,0.8200000000000001,1.0
Fold n°21,0.55,1.0
Fold n°22,0.52,0.5
Fold n°23,0.01,1.0
Fold n°24,0.45,0.75
Fold n°25,0.38,1.0
Fold n°26,0.66,1.0
Fold n°27,0.03,0.992
Fold n°28,0.61,0.5
Fold n°29,0.46,1.0
Fold n°30,0.74,1.0
Fold n°31,0.61,1.0
Fold n°32,0.5700000000000001,1.0
Fold n°33,0.01,1.0
Fold n°34,0.55,1.0
Fold n°35,0.51,1.0
Fold n°36,0.63,1.0
Fold n°37,0.33,1.0
Fold n°38,0.55,0.5
Fold n°39,0.7100000000000001,1.0
Fold n°40,0.5800000000000001,1.0
Fold n°41,0.5800000000000001,1.0
Fold n°42,0.5,0.2
Fold n°43,0.66,1.0
Fold n°44,0.49,0.5
Fold n°45,0.48000000000000004,0.5
Fold n°46,0.29000000000000004,1.0
Fold n°47,0.5,1.0
Fold n°48,0.56,0.5
Fold n°49,0.47000000000000003,0.25
Fold n°50,0.55,0.5
Fold n°51,0.6900000000000001,1.0
Fold n°52,0.6,1.0
Fold n°53,0.23,1.0
Fold n°54,0.4,0.7777777777777778
Fold n°55,0.68,1.0
Fold n°56,0.35000000000000003,0.45454545454545453
Fold n°57,0.25,0.8260869565217391
Fold n°58,0.49,0.5
Fold n°59,0.45,1.0
Fold n°60,0.77,1.0
Fold n°61,0.5,0.25
Fold n°62,0.5800000000000001,1.0
Fold n°63,0.39,0.4444444444444444
Fold n°64,0.6,1.0
Fold n°65,0.8,1.0
Fold n°66,0.5700000000000001,0.5
Fold n°67,0.47000000000000003,1.0
Fold n°68,0.66,1.0
Fold n°69,0.02,1.0
Fold n°70,0.48000000000000004,1.0
Fold n°71,0.5,0.5
Fold n°72,0.46,0.75
Fold n°73,0.43,0.5
Fold n°74,0.53,1.0
Fold n°75,0.59,1.0
Fold n°76,0.48000000000000004,0.5
Fold n°77,0.27,0.8421052631578947
Fold n°78,0.3,0.9166666666666666
Fold n°79,0.4,1.0
Fold n°80,0.5,1.0
Fold n°81,0.5800000000000001,1.0
Fold n°82,0.31,0.7
Fold n°83,0.65,1.0
Fold n°84,0.45,0.75
Fold n°85,0.6900000000000001,1.0
Fold n°86,0.59,1.0
Fold n°87,0.45,0.8
Fold n°88,0.74,1.0
Fold n°89,0.63,1.0
Fold n°90,0.6,0.5
Fold n°91,0.74,1.0
Fold n°92,0.02,1.0
Fold n°93,0.53,1.0
Fold n°94,0.01,1.0
Fold n°95,0.36000000000000004,0.75
Fold n°96,0.47000000000000003,1.0
Fold n°97,0.6,1.0
Fold n°98,0.6,1.0
Fold n°99,0.43,0.6
Fold n°100,0.36000000000000004,0.7
