,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
B_cells_glandfront_cellfrequency,0.008961099199950695,0.009093018248677254,0.010352207347750664,0.006789709907025099,0.003572392975911498,0.008601204492151737,0.008937817998230457,0.00954957865178585,0.007044163998216391,0.006544523406773806,0.008601204492151737,0.008937817998230457,0.00954957865178585,0.007044163998216391,0.006544523406773806
B_cells_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_cells_stromal_cellfrequency,0.12418220192193985,0.09756111353635788,0.08309850096702576,0.0648905485868454,0.03862157464027405,0.11703379452228546,0.09099358320236206,0.0838511735200882,0.06189251318573952,0.03501766920089722,0.11817780137062073,0.09099358320236206,0.0838511735200882,0.06189251318573952,0.03501766920089722
CD4_T_cells_FoxP3+_glandfront_cellfrequency,0.00011494129284983501,0.00012443502782844007,0.00015122808690648526,0.0005465408903546631,0.00035915858461521566,9.614581358619034e-05,0.00043506582733243704,0.0002507653262000531,0.0006483955658040941,0.0005018668016418815,9.614581358619034e-05,0.00043506582733243704,0.0002507653262000531,0.0006483955658040941,0.0005018668016418815
CD4_T_cells_FoxP3+_stromal_cellfrequency,0.022802045568823814,0.022935187444090843,0.0171445794403553,0.018232159316539764,0.015984266996383667,0.023139333352446556,0.021129457280039787,0.01907719112932682,0.020276688039302826,0.01838798075914383,0.023139333352446556,0.021129457280039787,0.01907719112932682,0.020276688039302826,0.01838798075914383
CD8_T_cells_FoxP3+_glandfront_cellfrequency,0.028039248660206795,0.020306825637817383,0.020765013992786407,0.02003198117017746,0.01226793322712183,0.025476796552538872,0.020978257060050964,0.022309187799692154,0.019596824422478676,0.012951120734214783,0.02585604414343834,0.020978257060050964,0.022309187799692154,0.01963990554213524,0.012951120734214783
CD8_T_cells_FoxP3+_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8_T_cells_FoxP3+_stromal_cellfrequency,0.11752485483884811,0.10575084388256073,0.10622371733188629,0.10681100189685822,0.09669601172208786,0.11773540079593658,0.10167966783046722,0.10502523928880692,0.10535558313131332,0.09565217792987823,0.11804261058568954,0.10167966783046722,0.10502523928880692,0.10535558313131332,0.09565217792987823
CD4_T_cells_HLA-DR+_glandfront_cellfrequency,0.027602817863225937,0.027113085612654686,0.024016082286834717,0.02159622311592102,0.00786662008613348,0.027505286037921906,0.026352079585194588,0.02715505287051201,0.02145160362124443,0.008536468259990215,0.027325130999088287,0.026352079585194588,0.02715505287051201,0.02145160362124443,0.008536468259990215
CD4_T_cells_HLA-DR+_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_HLA-DR+_stromal_cellfrequency,0.06200990453362465,0.05614873394370079,0.0543811209499836,0.05385361239314079,0.02967720851302147,0.05802048370242119,0.04634036496281624,0.051496487110853195,0.05034014955163002,0.03361136093735695,0.05802048370242119,0.04634036496281624,0.051496487110853195,0.05034014955163002,0.03361136093735695
CD8_T_cells_HLA-DR+_glandfront_cellfrequency,0.18131913244724274,0.14815308153629303,0.13442479074001312,0.11171131581068039,0.050123609602451324,0.17649276554584503,0.14503301680088043,0.12442140281200409,0.09975827485322952,0.043734293431043625,0.17596356570720673,0.14503301680088043,0.12442140281200409,0.09935425221920013,0.043734293431043625
