,Max Proba
Gland_glandular_epithelium_intragland_cellfrequency,0.7019044159452379
aSMA-br_fibroblast_stromal_cellfrequency,0.33695742890044506
Gland_glandular_epithelium_glandfront_cellfrequency,0.25779324984861285
NKT_stromal_cellfrequency,0.18578962298350485
Dendritic_Cells_CD86CD33dp_stromal_cellfrequency,0.16700888493474722
CD8_T_cells_HLA-DR+_glandfront_cellfrequency,0.13608296610425344
Gland_fibroblast_intragland_cellfrequency,0.13082774924999632
Gland_glandular_epithelium_stromal_cellfrequency,0.12827312702452576
Gland_mesenchymal_stromal_cellfrequency,0.12300535424132443
CD4_T_cells_FoxP3+_stromal_cellfrequency,0.12295112056393301
Macrophages_MDSC_glandfront_cellfrequency,0.11838740201417226
Macrophages_M2-like_intragland_cellfrequency,0.11738774005731781
Gland_mesenchymal_intragland_cellfrequency,0.11638328170652623
Macrophages_MDSC_stromal_cellfrequency,0.10994046650462104
NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency,0.10882539661812263
CD8_T_cells_FoxP3+_glandfront_cellfrequency,0.09802380412757523
CD8_T_cells_CD11b+_intragland_cellfrequency,0.0971367923365577
NK_cells_CD56brCD16-_intragland_cellfrequency,0.09094379003174483
Neutrophils_intragland_cellfrequency,0.08741066570522592
NA_intragland_cellfrequency,0.07211756908607711
Macrophages_M1_M2_intragland_cellfrequency,0.07045759208176028
Dendritic_Cells_CD209CD86dp_stromal_cellfrequency,0.06617530973820406
Macrophages_M2-like_glandfront_cellfrequency,0.06379015055547789
aSMA-br_fibroblast_intragland_cellfrequency,0.06214139453568268
Macrophages_M2-like_stromal_cellfrequency,0.05948813208082795
NA_stromal_cellfrequency,0.058838141790244436
Gland_fibroblast_stromal_cellfrequency,0.05664753786515874
Gland_vascular_endothelium_intragland_cellfrequency,0.05563236863572472
Neutrophils_glandfront_cellfrequency,0.05537484057432796
NK_cells_CD56dimCD16+CD9hi_intragland_cellfrequency,0.054245951413436015
Stroma_fibroblast_stromal_cellfrequency,0.05209023085573358
Stroma_mesenchymal_intragland_cellfrequency,0.05112555452901844
CD8_T_cells_CD11b+_stromal_cellfrequency,0.048064063670470815
NK_cells_CD56dimCD16+_glandfront_cellfrequency,0.047775278792257306
Gland_epithelial_stem_intragland_cellfrequency,0.04756448252300011
aSMA-br_glandular_epithelium_intragland_cellfrequency,0.04656083425443586
aSMA-br_glandular_epithelium_stromal_cellfrequency,0.045988910668952075
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_cellfrequency,0.043776758496401794
Stroma_fibroblast_intragland_cellfrequency,0.04312270690573426
CD4_T_cells_FoxP3+_glandfront_cellfrequency,0.042461013497708235
NA_glandfront_cellfrequency,0.04136502360498875
