,Max Proba
Macrophages_M1_M2_stromal_GranzymeB,0.27372385211032163
Macrophages_MDSC_glandfront_pP38,0.26324721401412643
Gland_mesenchymal_intragland_ERa,0.22855661399827604
Gland_glandular_epithelium_glandfront_Ki67,0.20281942993512497
CD8_T_cells_FoxP3+_glandfront_pP38,0.17842234825829895
Gland_fibroblast_intragland_HLA-DR,0.177115347925764
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_HLA-DR,0.1610059826649566
Gland_fibroblast_stromal_PR,0.14481087036788554
aSMA-br_mesenchymal_stromal_GranzymeB,0.1405157003915391
NK_cells_CD56brCD16-TIM3hi_glandfront_pP38,0.11200143995576872
Stroma_vascular_endothelium_glandfront_Ki67,0.10669567316065935
Dendritic_Cells_CD86CD33dp_glandfront_pP38,0.10252125139264906
NK_cells_CD56dimCD16+_intragland_PR,0.10139782896714863
CD8_T_cells_HLA-DR+_stromal_pP38,0.09420616189798062
NA_glandfront_HLA-DR,0.09151566603705964
NK_cells_CD56brCD16-TIM3hi_glandfront_Ki67,0.08877405997579518
NKT_glandfront_Ki67,0.08848534950941248
Gland_fibroblast_intragland_PR,0.08758562239179078
CD8_T_cells_HLA-DR+_glandfront_TIM3,0.08734186288730775
CD8_T_cells_CD80_CD86+_intragland_Ki67,0.08598585838975346
Dendritic_Cells_CD33+_stromal_pP38,0.0843117601469477
NK_cells_CD56brCD16-_stromal_GranzymeB,0.08110452750221968
NK_cells_CD56dimCD16+_intragland_VEGF,0.07721070634831756
Stroma_fibroblast_stromal_GranzymeB,0.07427195260332398
Dendritic_Cells_CD209CD86dp_glandfront_VEGF,0.07307924915691646
Gland_fibroblast_stromal_GranzymeB,0.07120653863638438
NK_cells_CD56brCD16-_stromal_PR,0.07111824589917085
CD4_T_cells_CD11b+_glandfront_PR,0.06996595390489284
Macrophages_M1_M2_glandfront_GranzymeB,0.06865217509551637
NK_cells_CD56brCD16-CD9hi_glandfront_pP38,0.0683187042186137
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_TIM3,0.0681574316873969
Macrophages_MDSC_glandfront_GranzymeB,0.06797939922227444
Dendritic_Cells_CD86+_stromal_Ki67,0.06607903925083403
NA_glandfront_Ki67,0.06453514362221764
NK_cells_CD56dimCD16+CD9hi_intragland_VEGF,0.06431100088375272
NK_cells_CD56brCD16-CD9hi_glandfront_TIM3,0.06356690455131841
Stroma_mesenchymal_glandfront_GranzymeB,0.06272730509977169
CD4_T_cells_CD11b+_stromal_GranzymeB,0.0618999492269052
CD8_T_cells_CD80_CD86+_glandfront_Ki67,0.05769681812571437
NK_cells_CD56dimCD16+_intragland_GranzymeB,0.056633557100617335
aSMA-br_fibroblast_glandfront_HLA-DR,0.056095613962821846
NK_cells_CD56dimCD16+_glandfront_ERa,0.05525311571889285
Gland_vascular_endothelium_glandfront_VEGF,0.054227338523000754
NK_cells_CD56dimCD16+_intragland_pP38,0.05387264883910169
CD8_T_cells_HLA-DR+_intragland_HLA-DR,0.05341503291253552
Dendritic_Cells_CD209CD33dp_stromal_PR,0.05318227311684956
Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB,0.05208879185326868
CD8_T_cells_HLA-DR+_intragland_PR,0.05093134271357489
Dendritic_Cells_CD33+_stromal_PR,0.0499268720222128
CD8_T_cells_CD11b+_glandfront_pP38,0.04851017922688224
Dendritic_Cells_CD86CD33dp_glandfront_ERa,0.04803704930031603
Macrophages_M1_M2_stromal_HLA-DR,0.04742981374954732
NK_cells_CD56dimCD16+_glandfront_PR,0.047317129478110335
NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB,0.047207565079754175
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_PR,0.046450770490758964
NK_cells_CD56dimCD16+_intragland_ERa,0.046204859337926556
CD4_T_cells_HLA-DR+_glandfront_VEGF,0.046012464959438934
Gland_fibroblast_glandfront_ERa,0.045773087989279204
CD4_T_cells_HLA-DR+_glandfront_Ki67,0.04563254401064961
NK_cells_CD56dimCD16+_glandfront_pP38,0.045586244482476966
Gland_mesenchymal_stromal_Ki67,0.045081086407399315
aSMA-br_vascular_endothelium_stromal_GranzymeB,0.04470513705098987
Dendritic_Cells_CD86+_glandfront_GranzymeB,0.04369486925868389
Dendritic_Cells_CD86+_glandfront_VEGF,0.04335970032339323
CD8_T_cells_CD80_CD86+_stromal_GranzymeB,0.04322443314144676
NA_glandfront_TIM3,0.043214708487623474
Dendritic_Cells_CD209CD86dp_stromal_Ki67,0.04283988142942015
Neutrophils_glandfront_ERa,0.04217986141598299
Dendritic_Cells_CD86CD33dp_stromal_GranzymeB,0.0419799815528406
Dendritic_Cells_CD86+_glandfront_Ki67,0.041935135975065534
aSMA-br_mesenchymal_glandfront_Ki67,0.04101787924121119
Macrophages_M1_M2_glandfront_TIM3,0.040834474139955355
CD8_T_cells_CD80_CD86+_intragland_GranzymeB,0.04058924851235304
Gland_fibroblast_intragland_VEGF,0.039476834092321805
Neutrophils_glandfront_pP38,0.03899460232200635
CD4_T_cells_CD11b+_intragland_PR,0.03731351905866052
Macrophages_M1_M2_stromal_VEGF,0.03658030945624192
CD8_T_cells_CD80_CD86+_stromal_ERa,0.0362261396684868
NK_cells_CD56brCD16-TIM3hi_stromal_TIM3,0.03544143738669251
aSMA-br_mesenchymal_stromal_PR,0.035340912906802066
Dendritic_Cells_CD86CD33dp_glandfront_PR,0.03487293049582289
NK_cells_CD56dimCD16+CD9hi_intragland_HLA-DR,0.03436229040274462
CD4_T_cells_HLA-DR+_stromal_PR,0.034222624619284873
NK_cells_CD56brCD16-_stromal_HLA-DR,0.03415012312087481
Gland_glandular_epithelium_glandfront_GranzymeB,0.03398570193547306
CD8_T_cells_CD11b+_stromal_TIM3,0.0336402363350677
Macrophages_M1-like_stromal_GranzymeB,0.03329839652149984
Gland_fibroblast_stromal_pP38,0.032833175273709554
Macrophages_M1_M2_stromal_ERa,0.03280908808390853
Dendritic_Cells_CD86CD33dp_glandfront_VEGF,0.03251729596116508
CD8_T_cells_HLA-DR+_glandfront_ERa,0.031991435030772536
CD4_T_cells_CD11b+_glandfront_Ki67,0.03186614302381816
Dendritic_Cells_CD33+_stromal_HLA-DR,0.0317341199956696
Dendritic_Cells_CD209CD33dp_glandfront_ERa,0.031561974249465954
Gland_vascular_endothelium_glandfront_HLA-DR,0.030979979684808822
NK_cells_CD56dimCD16+CD9hi_stromal_NKG2C,0.030879102537581336
CD8_T_cells_HLA-DR+_stromal_VEGF,0.030584286439343498
Gland_fibroblast_stromal_Ki67,0.030453481771075392
Macrophages_M1_M2_stromal_PR,0.029442612571412518
NK_cells_CD56brCD16-_glandfront_pP38,0.029395133946811414
CD4_T_cells_CD80_CD86+_stromal_Ki67,0.029274741812197004
NK_cells_CD56brCD16-_glandfront_Ki67,0.029274197328001864
Dendritic_Cells_CD33+_stromal_ERa,0.029272368419995226
Gland_glandular_epithelium_intragland_PR,0.028573100518617188
CD8_T_cells_CD80_CD86+_intragland_ERa,0.028534249868806497
