,{'C': np.float64(0.01)},{'C': np.float64(0.027825594022071243)},{'C': np.float64(0.0774263682681127)},{'C': np.float64(0.21544346900318834)},{'C': np.float64(0.5994842503189409)},{'C': np.float64(1.6681005372000592)},{'C': np.float64(4.6415888336127775)},{'C': np.float64(12.915496650148826)},{'C': np.float64(35.93813663804626)},{'C': np.float64(100.0)}
CD4_T_cells_FoxP3+_glandfront_ERa,0.0,0.0,0.0,0.01776662514948855,0.01969075227301229,0.015858587698297986,0.014569932446107336,0.013605334005369864,0.014968510203952103,0.018256764631080072
CD4_T_cells_FoxP3+_glandfront_PR,0.0,0.0,0.0,0.0016145026107160915,0.0022946604235005567,0.002329520409129704,0.0013923909054031325,0.0006507230058556872,0.0020325259724734467,0.0026551444971450893
CD4_T_cells_FoxP3+_glandfront_pP38,0.0,0.0,0.0,0.003712053584019232,0.01205300706265846,0.011587779185416027,0.012219172773129543,0.014604930384733147,0.015228066356193644,0.022837952020843502
CD4_T_cells_FoxP3+_glandfront_VEGF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1229236292045066e-05,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_GranzymeB,0.0,0.0,0.0,0.0023610602939771524,0.009061755411984186,0.014534190157004212,0.01570472757575993,0.01736754350493999,0.019396760383008017,0.023869057920828194
CD4_T_cells_FoxP3+_glandfront_Ki67,0.0,0.0,0.0,0.0004848020759981779,0.0022540839390653425,0.002817441347297509,0.003912420849507893,0.005501665826401858,0.008884301738337713,0.012572936922633848
CD4_T_cells_FoxP3+_glandfront_TIM3,0.0,0.0,0.0,0.00023928288961917743,0.001773000152167362,0.0015349581693678293,0.0016517478789762072,0.001993314028157009,0.0023654749792474407,0.0030557244333163937
CD4_T_cells_FoxP3+_glandfront_HLA-DR,0.0,0.0,0.0,0.0,0.0009570309658716865,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_stromal_ERa,0.0,0.0,0.0,0.0,0.0017032642635203073,0.0013507608971999776,0.0015402390229379162,0.0012500496544337548,0.0015119636971399496,0.0019440442977809113
CD4_T_cells_FoxP3+_stromal_PR,0.0,0.0,0.0,0.008146763008006977,0.014181913878002805,0.017331649012818442,0.01736255958497477,0.01857021903315017,0.020509514666107263,0.02377472355655464
