,Feature Name
Feature n°1,CD8_T_cells_FoxP3+_glandfront_pP38
Feature n°2,CD4_T_cells_HLA-DR+_glandfront_VEGF
Feature n°3,CD4_T_cells_HLA-DR+_glandfront_Ki67
Feature n°4,CD8_T_cells_HLA-DR+_glandfront_TIM3
Feature n°5,CD8_T_cells_HLA-DR+_intragland_PR
Feature n°6,CD8_T_cells_HLA-DR+_intragland_HLA-DR
Feature n°7,CD8_T_cells_HLA-DR+_stromal_pP38
Feature n°8,CD8_T_cells_CD80_CD86+_glandfront_Ki67
Feature n°9,CD8_T_cells_CD80_CD86+_intragland_GranzymeB
Feature n°10,CD8_T_cells_CD80_CD86+_intragland_Ki67
Feature n°11,CD8_T_cells_CD80_CD86+_stromal_GranzymeB
Feature n°12,CD4_T_cells_CD11b+_glandfront_PR
Feature n°13,CD4_T_cells_CD11b+_stromal_GranzymeB
Feature n°14,CD8_T_cells_CD11b+_glandfront_pP38
Feature n°15,Stroma_mesenchymal_glandfront_GranzymeB
Feature n°16,Stroma_vascular_endothelium_glandfront_Ki67
Feature n°17,Stroma_fibroblast_stromal_GranzymeB
Feature n°18,NK_cells_CD56brCD16-_stromal_PR
Feature n°19,NK_cells_CD56brCD16-_stromal_GranzymeB
Feature n°20,NK_cells_CD56dimCD16+_glandfront_ERa
Feature n°21,NK_cells_CD56dimCD16+_glandfront_PR
Feature n°22,NK_cells_CD56dimCD16+_glandfront_pP38
Feature n°23,NK_cells_CD56dimCD16+_intragland_ERa
Feature n°24,NK_cells_CD56dimCD16+_intragland_PR
Feature n°25,NK_cells_CD56dimCD16+_intragland_pP38
Feature n°26,NK_cells_CD56dimCD16+_intragland_VEGF
Feature n°27,NK_cells_CD56dimCD16+_intragland_GranzymeB
Feature n°28,NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_PR
Feature n°29,NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_TIM3
Feature n°30,NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_HLA-DR
Feature n°31,NK_cells_CD56brCD16-TIM3hi_glandfront_pP38
Feature n°32,NK_cells_CD56brCD16-TIM3hi_glandfront_Ki67
Feature n°33,NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB
Feature n°34,NK_cells_CD56dimCD16+CD9hi_intragland_VEGF
Feature n°35,NK_cells_CD56brCD16-CD9hi_glandfront_pP38
Feature n°36,NK_cells_CD56brCD16-CD9hi_glandfront_TIM3
Feature n°37,Macrophages_M1_M2_glandfront_GranzymeB
Feature n°38,Macrophages_M1_M2_glandfront_TIM3
Feature n°39,Macrophages_M1_M2_stromal_GranzymeB
Feature n°40,Macrophages_M1_M2_stromal_HLA-DR
Feature n°41,Macrophages_MDSC_glandfront_pP38
Feature n°42,Macrophages_MDSC_glandfront_GranzymeB
Feature n°43,Dendritic_Cells_CD86+_glandfront_VEGF
Feature n°44,Dendritic_Cells_CD86+_glandfront_GranzymeB
Feature n°45,Dendritic_Cells_CD86+_glandfront_Ki67
Feature n°46,Dendritic_Cells_CD86+_stromal_Ki67
Feature n°47,Dendritic_Cells_CD33+_stromal_PR
Feature n°48,Dendritic_Cells_CD33+_stromal_pP38
Feature n°49,Dendritic_Cells_CD209CD86dp_glandfront_VEGF
Feature n°50,Dendritic_Cells_CD209CD86dp_stromal_Ki67
Feature n°51,Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB
Feature n°52,Dendritic_Cells_CD209CD33dp_stromal_PR
Feature n°53,Dendritic_Cells_CD86CD33dp_glandfront_ERa
Feature n°54,Dendritic_Cells_CD86CD33dp_glandfront_pP38
Feature n°55,Dendritic_Cells_CD86CD33dp_stromal_GranzymeB
Feature n°56,Neutrophils_glandfront_ERa
Feature n°57,NKT_glandfront_Ki67
Feature n°58,aSMA-br_fibroblast_glandfront_HLA-DR
Feature n°59,aSMA-br_mesenchymal_glandfront_Ki67
Feature n°60,aSMA-br_mesenchymal_stromal_GranzymeB
Feature n°61,aSMA-br_vascular_endothelium_stromal_GranzymeB
Feature n°62,Gland_glandular_epithelium_glandfront_Ki67
Feature n°63,Gland_mesenchymal_intragland_ERa
Feature n°64,Gland_mesenchymal_stromal_Ki67
Feature n°65,Gland_fibroblast_glandfront_ERa
Feature n°66,Gland_fibroblast_intragland_PR
Feature n°67,Gland_fibroblast_intragland_HLA-DR
Feature n°68,Gland_fibroblast_stromal_PR
Feature n°69,Gland_fibroblast_stromal_GranzymeB
Feature n°70,Gland_vascular_endothelium_glandfront_VEGF
Feature n°71,NA_glandfront_Ki67
Feature n°72,NA_glandfront_TIM3
Feature n°73,NA_glandfront_HLA-DR
