,{'C': np.float64(0.01)},{'C': np.float64(0.12)},{'C': np.float64(0.23)},{'C': np.float64(0.34)},{'C': np.float64(0.45)},{'C': np.float64(0.56)},{'C': np.float64(0.67)},{'C': np.float64(0.78)},{'C': np.float64(0.89)},{'C': np.float64(1.0)}
CD4_T_cells_FoxP3+_glandfront_ERa,0.0,0.010989212698953494,0.03281155819308487,0.03645068690713563,0.033618193098132486,0.029623693308496877,0.026944662332074546,0.025606720474767173,0.024867281859986132,0.024953502533971012
CD4_T_cells_FoxP3+_glandfront_PR,0.0,0.0019049023285180973,0.005505113187083491,0.005590259433497419,0.005175090047659666,0.004670942229118541,0.004812386335464054,0.005580315646831108,0.00557215768514653,0.00560524514414165
CD4_T_cells_FoxP3+_glandfront_pP38,0.0,0.0011477615298552987,0.009304601943248052,0.012445429493956247,0.014361040753469934,0.015544667178236275,0.01614942177223809,0.015866446951691267,0.016305262100062005,0.016143594422072464
CD4_T_cells_FoxP3+_glandfront_VEGF,0.0,0.0,2.4654729996216993e-05,0.0003965825987358444,0.0004693657765955849,0.0004961881177893058,0.0003972415333923189,0.00033002597167648305,0.00038442048716800625,0.0003487163598327314
CD4_T_cells_FoxP3+_glandfront_GranzymeB,0.0,0.0005482731484907085,0.008284479670280665,0.013197412793994875,0.014872612604964211,0.016218105272564905,0.017733023678701255,0.018303869313800902,0.018863917917696902,0.01915321445435421
CD4_T_cells_FoxP3+_glandfront_Ki67,0.0,0.0,0.0021324577321102404,0.003940417633603854,0.004474464043370385,0.00454045804552793,0.0048975454363644946,0.004948431055663789,0.005293808728345392,0.005481584212707347
CD4_T_cells_FoxP3+_glandfront_TIM3,0.0,0.00026074425415303427,0.0023895231315561585,0.004185008647021081,0.004055072810610245,0.004197264180949248,0.004455223369287555,0.0045526613223298975,0.004414420611327241,0.004408062236886713
CD4_T_cells_FoxP3+_glandfront_HLA-DR,0.0,0.0,0.0,0.0,0.0003346939317459289,0.00048218499159386553,0.00019975867135266334,0.0003100398173691386,0.0001586033178897649,2.920919147724799e-05
CD4_T_cells_FoxP3+_stromal_ERa,0.0,0.0005477472828834895,0.0020274754108586413,0.0013321872756461657,0.0016984721054409293,0.0017513686405805568,0.0019348042818770122,0.0019626034618627653,0.0023691651776901043,0.0020975152751029347
CD4_T_cells_FoxP3+_stromal_PR,0.0,0.008205534235518864,0.018645303603644716,0.02265720257905844,0.023417222836059452,0.023955209352007678,0.02464671423014958,0.02528946341131311,0.025224244930399018,0.02548896440283098
CD4_T_cells_FoxP3+_stromal_pP38,0.0,1.8349315755638677e-05,0.0005766066437490484,0.0017274875818365438,0.0021169886392956175,0.0023262747812415885,0.002744373779379838,0.0025884411963121383,0.0027399265371890113,0.0032141107525377674
CD4_T_cells_FoxP3+_stromal_VEGF,0.0,0.0,0.0,0.0,2.21750070181671e-05,1.8997612210863027e-05,0.00024195452094571637,0.0002050397719452539,0.00032909462962592,0.0004345472967824708
