,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.009566940556670562,0.012095568888482134,0.01202065315706989,0.013932306386266207,0.002922416230093255,0.011768813975156198,0.009930150960432359,0.015393655181648255,0.014321324790957832,0.002439830384584683,0.011768813975156198,0.009930150960432359,0.015393655181648255,0.014321324790957832,0.002439830384584683
artificial.2,0.016448183785279326,0.0188324022857592,0.014334677074794515,0.014695466643330027,0.006599558813760581,0.016168952874467443,0.017227878581446004,0.017672914378980168,0.020793755593979536,0.0067361865641043794,0.016168952874467443,0.017227878581446004,0.017672914378980168,0.020793755593979536,0.0067361865641043794
artificial.3,0.014686520745487342,0.013710574573521274,0.01702574099092971,0.012793662855523795,0.0035208165876241355,0.01227930348114531,0.018560219241477986,0.015739942919968584,0.009969685148651082,0.0047661886933762845,0.01227930348114531,0.018560219241477986,0.015739942919968584,0.009969685148651082,0.0047661886933762845
artificial.4,0.08784514309124525,0.11624127113887872,0.10117654413094732,0.07350673964273574,0.030097430975405227,0.08418195294664084,0.11336726889405849,0.09118122526804481,0.08099336021442333,0.03544888169240064,0.08418195294664084,0.11336726889405849,0.09118122526804481,0.08099336021442333,0.03544888169240064
artificial.5,0.008733336475712188,0.01294562981847326,0.014557929045927157,0.01246018616079727,0.004311603732349414,0.010758566216389666,0.012422439974076601,0.013773262412004529,0.013189976206829275,0.004587659238776695,0.010758566216389666,0.012422439974076601,0.013773262412004529,0.013189976206829275,0.004587659238776695
artificial.6,0.027958392123354242,0.03657721684354937,0.028201525304152427,0.022736653395182885,0.014824655270767805,0.025713590326511503,0.026883316891869156,0.024378074869736557,0.02603822872022476,0.010613891100113147,0.025713590326511503,0.026883316891869156,0.024378074869736557,0.02603822872022476,0.010613891100113147
artificial.7,0.05583362422562352,0.06287061151659282,0.05926303074711363,0.05308341019850614,0.0374931782610365,0.0535058680015351,0.06091648372347972,0.056649728167507844,0.05110526202474583,0.03923393500457094,0.0535058680015351,0.06091648372347972,0.056649728167507844,0.05110526202474583,0.03923393500457094
artificial.8,0.031247074462086986,0.048427203547842496,0.03480532938069651,0.033995725867437786,0.01453653834616094,0.029361312486683562,0.044818358578761555,0.04445991147202728,0.03349890256319135,0.01560639151248451,0.029361312486683562,0.044818358578761555,0.04445991147202728,0.03349890256319135,0.01560639151248451
artificial.9,0.03347784308330796,0.0417999488473547,0.03260363134599318,0.025173873323094266,0.011011883023600082,0.03372530366253624,0.047057837406671216,0.03500182581526476,0.022875518582219027,0.009967218462942433,0.03372530366253624,0.047057837406671216,0.03500182581526476,0.022875518582219027,0.009967218462942433
artificial.10,0.006728448569584989,0.005758144411157201,0.008204868441377557,0.008972974627442077,0.005431347958873955,0.005978462523980356,0.006074511009682709,0.00995324627814362,0.008042101144648083,0.006447891645183243,0.005978462523980356,0.006074511009682709,0.00995324627814362,0.008042101144648083,0.006447891645183243
artificial.11,0.01393814315996656,0.010289189796976853,0.016857650852591066,0.01183655283840743,0.015141817374485403,0.013159704364875895,0.013344816718848695,0.017409885969355943,0.014761206796834632,0.014969803010985102,0.013159704364875895,0.013344816718848695,0.017409885969355943,0.014761206796834632,0.014969803010985102
artificial.12,0.006335025874341396,0.004148599888906935,0.004781450768792987,0.004480833744468275,0.003172331209596488,0.005668121387659786,0.0048280116302842355,0.0059232275503293755,0.0038153213371435162,0.004329281102826736,0.005668121387659786,0.0048280116302842355,0.0059232275503293755,0.0038153213371435162,0.004329281102826736
artificial.13,0.006169456556015726,0.005771823400985505,0.006298366837041035,0.0033496084009017398,0.0016528735660479152,0.004622336501623138,0.005914570567518698,0.006851908951457264,0.003928056114241373,0.00302199645516539,0.004622336501623138,0.005914570567518698,0.006851908951457264,0.003928056114241373,0.00302199645516539
artificial.14,0.038833872130393826,0.04470498098497669,0.041060016362579235,0.033800420807416715,0.010134775059831456,0.040839048634529744,0.04377816258172849,0.04434884285855356,0.03025732965236385,0.007165298928533456,0.040839048634529744,0.04377816258172849,0.04434884285855356,0.03025732965236385,0.007165298928533456
artificial.15,0.025823563457443025,0.03297311903952826,0.03074394037373828,0.027012494589459927,0.021939947562567088,0.028426722077433547,0.02821489565849732,0.029858881286976374,0.02988100761492373,0.021335803153535355,0.028426722077433547,0.02821489565849732,0.029858881286976374,0.02988100761492373,0.021335803153535355
artificial.16,0.007610135450710953,0.010788208932966876,0.011171135608585674,0.008201317186166278,0.004884831486911129,0.009842710214485965,0.010369843799363317,0.011838954686591947,0.010002528112959668,0.002862522589374497,0.009842710214485965,0.010369843799363317,0.011838954686591947,0.010002528112959668,0.002862522589374497
artificial.17,0.0032805539828587226,0.0026099642344241413,0.002551757669854583,0.0031754927372761345,0.003930409439742894,0.004211219346087737,0.0020832333129299657,0.0030983649264300756,0.00310902319041427,0.004271982548548239,0.004211219346087737,0.0020832333129299657,0.0030983649264300756,0.00310902319041427,0.004271982548548239
