,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
CD4_T_cells_FoxP3+_glandfront_ERa,0.00044540993534109463,0.0006965907115349062,0.0007576537039680881,0.0006001427417753208,0.002146031321545613,0.0015622173914597694,0.0014386002394491666,0.0017514053292021709,0.0020636357253954996,0.00287260516938454,0.0015622173914597694,0.0014386002394491666,0.0017514053292021709,0.0020636357253954996,0.00287260516938454
CD4_T_cells_FoxP3+_glandfront_PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0003592587236911251,0.0,0.0,0.00032227617092838687,0.0,0.0003592587236911251,0.0,0.0,0.00032227617092838687
CD4_T_cells_FoxP3+_glandfront_pP38,0.0,0.0,0.0,0.0,0.0,0.000406126236159576,0.0,0.0,0.0,0.0,0.000406126236159576,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_VEGF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_GranzymeB,0.0,0.0,0.0,0.0,0.0,0.00047584964150426836,0.0,0.0,0.0,0.0,0.00047584964150426836,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_Ki67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_TIM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_HLA-DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038120669888432,0.0,0.0,0.0,0.0,0.00038120669888432,0.0,0.0
CD4_T_cells_FoxP3+_stromal_ERa,0.00425729176302862,0.003668189999207111,0.00449759305842431,0.003868789667674802,0.003929513377116709,0.010057431611610728,0.0038487877978193377,0.005103680344020383,0.004011493684551983,0.003580801871665485,0.010057431611610728,0.0038487877978193377,0.005103680344020383,0.004011493684551983,0.003580801871665485
CD4_T_cells_FoxP3+_stromal_PR,0.0016038352669401706,0.0009004386494035126,0.0006428380744995807,0.0016309822438211614,0.000706483309271972,0.0007046721898874253,0.00042285498636278785,0.0010023418483056195,0.0004498806845657271,0.0018367945508038432,0.0007046721898874253,0.00042285498636278785,0.0010023418483056195,0.0004498806845657271,0.0018367945508038432
