,Threshold,min FDP+
Fold n°1,0.04,0.6164383561643836
Fold n°2,0.09999999999999999,0.3333333333333333
Fold n°3,0.06999999999999999,0.5
Fold n°4,0.17,0.42857142857142855
Fold n°5,0.060000000000000005,0.6136363636363636
Fold n°6,0.06999999999999999,0.75
Fold n°7,0.01,0.8846153846153846
Fold n°8,0.19,0.6
Fold n°9,0.05,0.4915254237288136
Fold n°10,0.01,0.8155339805825242
Fold n°11,0.18000000000000002,0.5
Fold n°12,0.13,0.7272727272727273
Fold n°13,0.01,0.9436619718309859
Fold n°14,0.08,0.64
Fold n°15,0.02,0.7793103448275862
Fold n°16,0.23,0.3333333333333333
Fold n°17,0.03,0.7586206896551724
Fold n°18,0.02,0.864406779661017
Fold n°19,0.01,0.8366336633663366
Fold n°20,0.14,0.625
Fold n°21,0.04,0.8135593220338984
Fold n°22,0.01,0.8351063829787234
Fold n°23,0.05,0.66
Fold n°24,0.22,0.6666666666666666
Fold n°25,0.05,0.717391304347826
Fold n°26,0.16,0.2222222222222222
Fold n°27,0.04,0.7704918032786885
Fold n°28,0.04,0.6197183098591549
Fold n°29,0.06999999999999999,0.5714285714285714
Fold n°30,0.15000000000000002,0.3333333333333333
Fold n°31,0.21000000000000002,0.5
Fold n°32,0.11,0.6
Fold n°33,0.02,0.8290598290598291
Fold n°34,0.19,0.2
Fold n°35,0.15000000000000002,0.7142857142857143
Fold n°36,0.03,0.8202247191011236
Fold n°37,0.060000000000000005,0.9142857142857143
Fold n°38,0.11,0.7647058823529411
Fold n°39,0.05,0.609375
Fold n°40,0.060000000000000005,0.775
Fold n°41,0.16,0.375
Fold n°42,0.04,0.9032258064516129
Fold n°43,0.13,0.36363636363636365
Fold n°44,0.23,0.5
Fold n°45,0.14,0.2727272727272727
Fold n°46,0.17,0.6666666666666666
Fold n°47,0.2,0.2
Fold n°48,0.06999999999999999,0.5263157894736842
Fold n°49,0.09999999999999999,0.47619047619047616
Fold n°50,0.03,0.8
Fold n°51,0.24000000000000002,0.5
Fold n°52,0.09999999999999999,0.8333333333333334
Fold n°53,0.02,0.7535211267605634
Fold n°54,0.06999999999999999,0.6
Fold n°55,0.05,0.6792452830188679
Fold n°56,0.02,0.9380530973451328
Fold n°57,0.09999999999999999,0.5652173913043478
Fold n°58,0.13,0.2857142857142857
Fold n°59,0.03,0.7127659574468085
Fold n°60,0.06999999999999999,0.6451612903225806
Fold n°61,0.18000000000000002,0.75
Fold n°62,0.15000000000000002,0.5
Fold n°63,0.02,0.704225352112676
Fold n°64,0.02,0.6845637583892618
Fold n°65,0.06999999999999999,0.45
Fold n°66,0.04,0.7464788732394366
Fold n°67,0.04,0.6301369863013698
Fold n°68,0.05,0.59375
Fold n°69,0.02,0.7407407407407407
Fold n°70,0.13,0.7
Fold n°71,0.09999999999999999,0.45454545454545453
Fold n°72,0.19,0.2
Fold n°73,0.21000000000000002,0.3333333333333333
Fold n°74,0.13,0.36363636363636365
Fold n°75,0.01,0.9061032863849765
Fold n°76,0.09,0.45454545454545453
Fold n°77,0.21000000000000002,0.5
Fold n°78,0.05,0.7115384615384616
Fold n°79,0.22,0.5
Fold n°80,0.22,0.5
Fold n°81,0.08,0.5945945945945946
Fold n°82,0.060000000000000005,0.47368421052631576
Fold n°83,0.060000000000000005,0.5
Fold n°84,0.12,0.42857142857142855
Fold n°85,0.04,0.6885245901639344
Fold n°86,0.24000000000000002,0.5
Fold n°87,0.17,0.42857142857142855
Fold n°88,0.03,0.6881720430107527
Fold n°89,0.08,0.75
Fold n°90,0.08,0.5757575757575758
Fold n°91,0.09999999999999999,0.2
Fold n°92,0.03,0.6373626373626373
Fold n°93,0.2,0.5
Fold n°94,0.14,0.7142857142857143
Fold n°95,0.18000000000000002,0.3333333333333333
Fold n°96,0.05,0.5223880597014925
Fold n°97,0.09,0.3333333333333333
Fold n°98,0.23,0.5
Fold n°99,0.04,0.6666666666666666
Fold n°100,0.05,0.639344262295082
