,Max Proba
Macrophages_M1_M2_stromal_GranzymeB,0.3053343324255048
Gland_glandular_epithelium_glandfront_Ki67,0.2747394071031643
NKT_glandfront_Ki67,0.2300439156266995
Stroma_vascular_endothelium_glandfront_Ki67,0.15008993834979834
NA_glandfront_Ki67,0.14219035974540192
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_HLA-DR,0.10277207451958141
Dendritic_Cells_CD86CD33dp_stromal_GranzymeB,0.09924248810674217
aSMA-br_mesenchymal_stromal_GranzymeB,0.08811598530894615
Gland_vascular_endothelium_glandfront_VEGF,0.08624525412406198
aSMA-br_vascular_endothelium_stromal_GranzymeB,0.07409125688754477
Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB,0.06646420053639682
Gland_mesenchymal_stromal_Ki67,0.06487162231815295
Gland_mesenchymal_intragland_ERa,0.06475762105606965
Gland_fibroblast_intragland_PR,0.06270172913205546
Gland_fibroblast_stromal_GranzymeB,0.061220882817920375
CD8_T_cells_CD11b+_stromal_TIM3,0.05387404676254769
Gland_glandular_epithelium_glandfront_GranzymeB,0.05178063478093624
NK_cells_CD56brCD16-_stromal_PR,0.05113786651483915
Stroma_fibroblast_glandfront_Ki67,0.05074901184122219
Macrophages_M1-like_stromal_GranzymeB,0.05038097582629387
Dendritic_Cells_CD33+_glandfront_Ki67,0.04723952858505086
NK_cells_CD56brCD16-TIM3hi_glandfront_pP38,0.0456233511019969
Dendritic_Cells_CD86CD33dp_glandfront_VEGF,0.0435001246042195
NK_cells_CD56brCD16-_stromal_HLA-DR,0.04262206433630782
Dendritic_Cells_CD209CD33dp_stromal_GranzymeB,0.041586702030179876
CD8_T_cells_FoxP3+_glandfront_pP38,0.04000912198121673
Gland_glandular_epithelium_intragland_Ki67,0.03963384922238745
NK_cells_CD56brCD16-_stromal_GranzymeB,0.03952628938619096
Gland_vascular_endothelium_glandfront_HLA-DR,0.03910287850712756
NK_cells_CD56dimCD16+CD9hi_stromal_NKG2C,0.03793461167235197
Dendritic_Cells_CD86CD33dp_glandfront_PR,0.03606485793944049
aSMA-br_mesenchymal_stromal_Ki67,0.035148810897036316
Macrophages_M1_M2_glandfront_GranzymeB,0.030739913110000266
Macrophages_M1_M2_stromal_ERa,0.03001057538562441
Dendritic_Cells_CD209CD86dp_glandfront_VEGF,0.028688527550537444
Macrophages_M1_M2_stromal_HLA-DR,0.02841543509176241
NK_cells_CD56brCD16-_glandfront_pP38,0.02829977459148159
Dendritic_Cells_CD33+_glandfront_HLA-DR,0.02822875156439654
Stroma_fibroblast_stromal_GranzymeB,0.026817296341974318
Gland_fibroblast_intragland_HLA-DR,0.02551462553595446
Gland_fibroblast_intragland_VEGF,0.025352574053454646
Gland_fibroblast_intragland_GranzymeB,0.024248931174989823
CD4_T_cells_HLA-DR+_stromal_TIM3,0.02396933629254973
Dendritic_Cells_CD86CD33dp_glandfront_ERa,0.023805328390744115
CD8_T_cells_CD11b+_stromal_pP38,0.0236222730106155
Neutrophils_stromal_GranzymeB,0.023024299976656126
Dendritic_Cells_CD86CD33dp_glandfront_pP38,0.022641014669915204
CD4_T_cells_HLA-DR+_stromal_PR,0.022360371699820934
Gland_fibroblast_intragland_pP38,0.02220952773374724
NKT_glandfront_GranzymeB,0.02215867536875747
NK_cells_CD56dimCD16+CD9hi_intragland_ERa,0.022094399968234913
CD8_T_cells_HLA-DR+_glandfront_pP38,0.02168905543499682
Stroma_vascular_endothelium_stromal_Ki67,0.020873742517845562
aSMA-br_vascular_endothelium_glandfront_Ki67,0.0200727174562341
Stroma_vascular_endothelium_glandfront_GranzymeB,0.019452384829913023
CD4_T_cells_HLA-DR+_stromal_Ki67,0.01913529588432396
CD4_T_cells_FoxP3+_glandfront_ERa,0.01874285418231448
Macrophages_MDSC_glandfront_pP38,0.0184550559749034
NK_cells_CD56dimCD16+CD9hi_intragland_VEGF,0.018131556294292177
Neutrophils_glandfront_ERa,0.018114255239803412
Dendritic_Cells_CD33+_stromal_Ki67,0.017418039206236732
NA_glandfront_HLA-DR,0.017219689007897505
Gland_fibroblast_glandfront_Ki67,0.016005746681892218
CD4_T_cells_HLA-DR+_glandfront_VEGF,0.015975735564077942
CD8_T_cells_CD80_CD86+_intragland_ERa,0.015844772458257925
Gland_vascular_endothelium_stromal_pP38,0.015517233642136004
Gland_mesenchymal_intragland_Ki67,0.014498036974903549
NK_cells_CD56dimCD16+CD9hi_intragland_GranzymeB,0.014444937262887918
NK_cells_CD56brCD16-CD9hi_glandfront_HLA-DR,0.014198299065363127
CD4_T_cells_FoxP3+_glandfront_pP38,0.014124606423767939
Dendritic_Cells_CD33+_stromal_GranzymeB,0.013436468456632085
CD8_T_cells_CD80_CD86+_glandfront_VEGF,0.012841466831463142
Neutrophils_glandfront_GranzymeB,0.012813596724195863
Dendritic_Cells_CD86+_stromal_Ki67,0.012805637642761445
CD4_T_cells_CD11b+_stromal_PR,0.012803448061972839
Dendritic_Cells_CD86+_glandfront_VEGF,0.012617716817168815
CD4_T_cells_CD11b+_stromal_HLA-DR,0.012600217412516868
CD4_T_cells_CD11b+_glandfront_PR,0.012241079172665804
Dendritic_Cells_CD86+_intragland_PR,0.012200522074212372
CD4_T_cells_CD80_CD86+_stromal_Ki67,0.012081002522454205
Dendritic_Cells_CD86+_intragland_ERa,0.012044067578275397
CD8_T_cells_CD11b+_intragland_ERa,0.011959208851473129
NK_cells_CD56dimCD16+CD9hi_glandfront_Ki67,0.011851566894814196
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_TIM3,0.011842566226934147
CD4_T_cells_FoxP3+_stromal_PR,0.01180182066778988
Dendritic_Cells_CD86+_glandfront_ERa,0.011646036746361036
Macrophages_M1-like_stromal_Ki67,0.011239914753960165
NK_cells_CD56dimCD16+CD9hi_intragland_pP38,0.011238313696700265
Dendritic_Cells_CD33+_intragland_HLA-DR,0.011201024537382963
Stroma_mesenchymal_glandfront_Ki67,0.011039921752535927
CD4_T_cells_HLA-DR+_stromal_GranzymeB,0.011027228650331181
CD4_T_cells_HLA-DR+_stromal_ERa,0.011020696522198701
NK_cells_CD56dimCD16+_glandfront_PR,0.010945157043480041
Macrophages_M1_M2_stromal_Ki67,0.010854821194706047
NK_cells_CD56dimCD16+_glandfront_pP38,0.010517278361802638
CD4_T_cells_CD11b+_glandfront_Ki67,0.010479116908501116
NK_cells_CD56dimCD16+_intragland_PR,0.010282227847558273
Gland_glandular_epithelium_intragland_GranzymeB,0.010275088692623823
Stroma_mesenchymal_glandfront_GranzymeB,0.010176026925924056
CD8_T_cells_HLA-DR+_stromal_Ki67,0.010169363433456514
Gland_glandular_epithelium_intragland_PR,0.010102494919538354
NK_cells_CD56brCD16-CD9hi_glandfront_TIM3,0.010022662844140275
NK_cells_CD56brCD16-CD9hi_glandfront_GranzymeB,0.009912419551092426
aSMA-br_vascular_endothelium_glandfront_GranzymeB,0.009825985093976397
CD8_T_cells_HLA-DR+_glandfront_ERa,0.009419882353660973
Gland_fibroblast_stromal_PR,0.009293972492699646
CD4_T_cells_CD80_CD86+_stromal_HLA-DR,0.0092620181866997
Gland_vascular_endothelium_glandfront_pP38,0.00921925957474266
Dendritic_Cells_CD33+_glandfront_ERa,0.009091506497669547
Stroma_vascular_endothelium_stromal_GranzymeB,0.008977669162739897
Gland_glandular_epithelium_glandfront_PR,0.008829212217841848
aSMA-br_mesenchymal_glandfront_GranzymeB,0.008715321901046657
CD4_T_cells_CD11b+_stromal_GranzymeB,0.008578858357309
CD4_T_cells_CD80_CD86+_glandfront_Ki67,0.00856366412491721
NK_cells_CD56brCD16-_stromal_ERa,0.008560732407059339
Neutrophils_glandfront_PR,0.0081891365731217
CD4_T_cells_CD11b+_stromal_Ki67,0.007954624726146114
CD8_T_cells_CD80_CD86+_intragland_Ki67,0.0078031662745602585
CD8_T_cells_CD11b+_glandfront_HLA-DR,0.0077816001129312525
NA_glandfront_TIM3,0.0077722349950643645
CD4_T_cells_CD80_CD86+_intragland_Ki67,0.0076149635037119105
CD8_T_cells_CD11b+_stromal_PR,0.007591554071489742
Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB,0.007548873146015276
Gland_mesenchymal_stromal_GranzymeB,0.007294147213513909
CD8_T_cells_CD11b+_stromal_Ki67,0.007185872893302022
CD8_T_cells_HLA-DR+_glandfront_TIM3,0.007165541592422674
Dendritic_Cells_CD33+_stromal_pP38,0.006964053116507049
NK_cells_CD56dimCD16+_glandfront_ERa,0.006618661207971063
Stroma_fibroblast_glandfront_GranzymeB,0.006387446437569124
Macrophages_M1-like_glandfront_TIM3,0.006375211305418063
Macrophages_M1_M2_stromal_TIM3,0.006243496527129853
CD8_T_cells_CD80_CD86+_stromal_HLA-DR,0.006145692004746477
Dendritic_Cells_CD86CD33dp_glandfront_HLA-DR,0.0060675564887294605
aSMA-br_fibroblast_glandfront_Ki67,0.005953093292411768
