,Max Proba
Macrophages_M1_M2_stromal_GranzymeB,0.2699739933013916
Dendritic_Cells_CD33+_stromal_GranzymeB,0.21499353647232056
NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB,0.2065078169107437
NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB,0.16656731069087982
Stroma_fibroblast_stromal_GranzymeB,0.15896040201187134
Dendritic_Cells_CD86CD33dp_stromal_GranzymeB,0.13101668655872345
CD8_T_cells_CD80_CD86+_stromal_GranzymeB,0.11947429180145264
aSMA-br_vascular_endothelium_stromal_GranzymeB,0.11310058832168579
Stroma_fibroblast_glandfront_GranzymeB,0.10913652181625366
Macrophages_M1-like_stromal_GranzymeB,0.10572821646928787
Stroma_fibroblast_glandfront_Ki67,0.0928620994091034
Gland_vascular_endothelium_glandfront_VEGF,0.08885296434164047
Stroma_vascular_endothelium_stromal_GranzymeB,0.0843578428030014
aSMA-br_vascular_endothelium_stromal_Ki67,0.08236527442932129
Gland_glandular_epithelium_intragland_Ki67,0.07777756452560425
NA_glandfront_Ki67,0.07214537262916565
CD4_T_cells_CD11b+_stromal_GranzymeB,0.06903064996004105
NKT_glandfront_Ki67,0.06573119759559631
aSMA-br_vascular_endothelium_glandfront_Ki67,0.06449637562036514
Gland_glandular_epithelium_glandfront_Ki67,0.061324626207351685
CD4_T_cells_HLA-DR+_stromal_Ki67,0.05968807637691498
Dendritic_Cells_CD86CD33dp_glandfront_VEGF,0.05962999165058136
Gland_fibroblast_glandfront_GranzymeB,0.05665460228919983
Gland_fibroblast_stromal_GranzymeB,0.053637921810150146
NK_cells_CD56brCD16-TIM3hi_stromal_GranzymeB,0.05182071775197983
aSMA-br_mesenchymal_stromal_GranzymeB,0.05180329456925392
Gland_fibroblast_glandfront_Ki67,0.04876379668712616
Stroma_vascular_endothelium_glandfront_GranzymeB,0.04773741587996483
aSMA-br_vascular_endothelium_glandfront_GranzymeB,0.047193028032779694
NK_cells_CD56brCD16-_stromal_GranzymeB,0.045169759541749954
CD8_T_cells_CD80_CD86+_glandfront_VEGF,0.045089468359947205
Gland_fibroblast_intragland_HLA-DR,0.04329582676291466
NK_cells_CD56brCD16-_stromal_HLA-DR,0.040388595312833786
CD4_T_cells_CD11b+_stromal_Ki67,0.038344040513038635
Gland_mesenchymal_stromal_GranzymeB,0.0377601683139801
Stroma_mesenchymal_glandfront_GranzymeB,0.03694157674908638
aSMA-br_fibroblast_glandfront_Ki67,0.036459602415561676
aSMA-br_fibroblast_stromal_GranzymeB,0.035056788474321365
Neutrophils_stromal_VEGF,0.034868333488702774
CD8_T_cells_HLA-DR+_stromal_GranzymeB,0.034134335815906525
Dendritic_Cells_CD209CD33dp_stromal_GranzymeB,0.03364458680152893
CD4_T_cells_CD80_CD86+_stromal_GranzymeB,0.02980530820786953
CD8_T_cells_CD11b+_stromal_TIM3,0.02970212697982788
Stroma_mesenchymal_stromal_GranzymeB,0.0278947614133358
Stroma_vascular_endothelium_glandfront_Ki67,0.027271050959825516
Gland_glandular_epithelium_glandfront_GranzymeB,0.026530006900429726
Macrophages_M2-like_stromal_GranzymeB,0.02612147107720375
Dendritic_Cells_CD86CD33dp_glandfront_Ki67,0.0248011015355587
Stroma_fibroblast_stromal_ERa,0.02213827334344387
CD4_T_cells_CD80_CD86+_glandfront_VEGF,0.021695183590054512
NK_cells_CD56brCD16-_glandfront_pP38,0.021639036014676094
NK_cells_CD56brCD16-CD9hi_stromal_GranzymeB,0.02005719020962715
CD8_T_cells_HLA-DR+_glandfront_pP38,0.01971052959561348
NK_cells_CD56brCD16-TIM3hi_glandfront_pP38,0.018735762685537338
CD8_T_cells_FoxP3+_glandfront_pP38,0.018461627885699272
NK_cells_CD56dimCD16+CD9hi_stromal_NKG2C,0.018441257998347282
Stroma_vascular_endothelium_stromal_VEGF,0.018240084871649742
Dendritic_Cells_CD209CD86dp_stromal_GranzymeB,0.017925335094332695
NK_cells_CD56brCD16-CD9hi_glandfront_GranzymeB,0.01743169315159321
NKT_glandfront_GranzymeB,0.017407644540071487
Stroma_mesenchymal_stromal_VEGF,0.017115766182541847
CD4_T_cells_HLA-DR+_glandfront_VEGF,0.01658761315047741
Gland_fibroblast_intragland_VEGF,0.016260607168078423
Dendritic_Cells_CD209CD33dp_glandfront_HLA-DR,0.01613813079893589
Macrophages_M1_M2_stromal_Ki67,0.01610495150089264
CD4_T_cells_HLA-DR+_stromal_TIM3,0.015774017199873924
Gland_fibroblast_intragland_PR,0.015662256628274918
Macrophages_MDSC_glandfront_GranzymeB,0.014898899011313915
