,Max Proba
Macrophages_M1_M2_stromal_area,0.43260749614615873
CD4_T_cells_FoxP3+_glandfront_celldistance,0.3477991944675858
NK_cells_CD56brCD16-CD9hi_stromal_area,0.2675423111483511
NKT_glandfront_area,0.2093586936897791
Macrophages_M1-like_stromal_area,0.17964597015666128
Macrophages_MDSC_glandfront_eccentricity,0.1783700959777478
CD4_T_cells_CD80_CD86+_glandfront_celldistance,0.16958153218919728
Stroma_fibroblast_stromal_area,0.16815047398189176
Gland_vascular_endothelium_glandfront_area,0.16456805350902237
Dendritic_Cells_CD86CD33dp_glandfront_eccentricity,0.155641324074632
CD8_T_cells_CD80_CD86+_stromal_area,0.15031954325002195
CD4_T_cells_CD80_CD86+_glandfront_eccentricity,0.14526116782091916
Gland_mesenchymal_intragland_eccentricity,0.14256354150202016
NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity,0.13438130189577396
aSMA-br_mesenchymal_stromal_area,0.12411984329314035
Dendritic_Cells_CD86CD33dp_glandfront_area,0.12009898101585366
Gland_fibroblast_intragland_eccentricity,0.11731711173291269
CD4_T_cells_HLA-DR+_stromal_area,0.11642750736286193
CD4_T_cells_CD11b+_stromal_eccentricity,0.10070350490828152
NK_cells_CD56dimCD16+CD9hi_intragland_eccentricity,0.09641229036681091
CD4_T_cells_FoxP3+_stromal_eccentricity,0.09549041478263448
CD8_T_cells_HLA-DR+_glandfront_eccentricity,0.09030103121043298
Neutrophils_glandfront_area,0.08726509276319827
Stroma_fibroblast_glandfront_eccentricity,0.08401715109874872
CD4_T_cells_HLA-DR+_stromal_eccentricity,0.07876346711913515
NK_cells_CD56brCD16-_stromal_area,0.07686827491319886
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_area,0.07309826213579831
Stroma_fibroblast_glandfront_area,0.07307833125932663
Gland_fibroblast_glandfront_celldistance,0.07225454818646951
Gland_mesenchymal_glandfront_celldistance,0.071670251521424
Stroma_vascular_endothelium_stromal_area,0.07157570247845785
Stroma_vascular_endothelium_stromal_eccentricity,0.07066696344332786
NK_cells_CD56dimCD16+_glandfront_eccentricity,0.06937616296042579
NK_cells_CD56brCD16-TIM3hi_stromal_area,0.05978757383173042
CD8_T_cells_CD11b+_glandfront_area,0.05675823195419366
Macrophages_M1-like_glandfront_area,0.05615929436933094
CD4_T_cells_CD11b+_stromal_area,0.054742781174719965
CD8_T_cells_CD80_CD86+_glandfront_eccentricity,0.05170424688061361
Gland_fibroblast_glandfront_area,0.04658575612869457
Macrophages_M1_M2_glandfront_area,0.0448709744485283
CD8_T_cells_HLA-DR+_intragland_area,0.043442523231465184
Dendritic_Cells_CD86+_intragland_area,0.04275720500720919
NK_cells_CD56brCD16-TIM3hi_glandfront_celldistance,0.0427292456613895
CD8_T_cells_HLA-DR+_stromal_eccentricity,0.04062886206879367
Neutrophils_glandfront_celldistance,0.039849161674120566
Macrophages_MDSC_stromal_area,0.03725695426247046
NK_cells_CD56brCD16-_stromal_eccentricity,0.033791589697325555
Gland_vascular_endothelium_stromal_eccentricity,0.033719629093321254
Gland_glandular_epithelium_glandfront_area,0.033582095068150214
Macrophages_M2-like_glandfront_celldistance,0.03148353369657186
NK_cells_CD56dimCD16+CD9hi_intragland_area,0.030951099130665596
Dendritic_Cells_CD86+_glandfront_eccentricity,0.028571774331760863
Dendritic_Cells_CD86+_stromal_area,0.02854397415123501
Macrophages_MDSC_glandfront_celldistance,0.027798406750933712
Dendritic_Cells_CD209CD86dp_stromal_eccentricity,0.02774499061466045
CD4_T_cells_HLA-DR+_glandfront_eccentricity,0.02746497804957073
Stroma_vascular_endothelium_glandfront_area,0.027335904777345415
CD8_T_cells_CD80_CD86+_intragland_eccentricity,0.026642999726966776
NK_cells_CD56brCD16-TIM3hi_stromal_eccentricity,0.026599476092533898
CD4_T_cells_HLA-DR+_glandfront_area,0.026354194544593208
CD8_T_cells_FoxP3+_glandfront_celldistance,0.026161722869980822
CD8_T_cells_CD11b+_intragland_area,0.02553256824403868
CD4_T_cells_CD11b+_glandfront_area,0.02549612601132532
NK_cells_CD56dimCD16+CD9hi_stromal_area,0.02418648752207501
CD8_T_cells_CD11b+_glandfront_eccentricity,0.023640675519557845
NK_cells_CD56dimCD16+_stromal_area,0.023259856563562324
Gland_vascular_endothelium_glandfront_eccentricity,0.023207466067620145
CD4_T_cells_CD80_CD86+_stromal_area,0.023178058764505953
Neutrophils_stromal_area,0.02309824189547769
NK_cells_CD56dimCD16+_glandfront_celldistance,0.022863876713849138
NK_cells_CD56dimCD16+_glandfront_area,0.022791168256834464
CD8_T_cells_HLA-DR+_stromal_area,0.022410180581952304
aSMA-br_fibroblast_stromal_eccentricity,0.022144456550746865
CD4_T_cells_FoxP3+_glandfront_eccentricity,0.021779591584813355
Macrophages_M1_M2_glandfront_celldistance,0.021341579373840385
NK_cells_CD56brCD16-_glandfront_celldistance,0.02086727866250454
NA_glandfront_area,0.020740808551290003
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_eccentricity,0.02053206017708707
NK_cells_CD56brCD16-CD9hi_glandfront_area,0.0205215974953206
Macrophages_M2-like_glandfront_area,0.020398057033956973
Dendritic_Cells_CD33+_glandfront_celldistance,0.020168848660074786
Macrophages_MDSC_glandfront_area,0.019346581284545583
aSMA-br_vascular_endothelium_glandfront_area,0.018693277959617723
Stroma_fibroblast_stromal_eccentricity,0.0180577994844963
CD8_T_cells_FoxP3+_intragland_area,0.017820272640659524
NK_cells_CD56dimCD16+CD9hi_glandfront_celldistance,0.017725910534684405
Stroma_vascular_endothelium_glandfront_eccentricity,0.016815947363021687
NK_cells_CD56brCD16-CD9hi_glandfront_celldistance,0.016533323245066095
Gland_vascular_endothelium_glandfront_celldistance,0.016061071867359358
CD4_T_cells_FoxP3+_stromal_area,0.015530048697984198
aSMA-br_fibroblast_glandfront_celldistance,0.01429579696216619
Dendritic_Cells_CD86+_glandfront_celldistance,0.014104737134882223
NA_stromal_area,0.013846529751248096
NK_cells_CD56dimCD16+_intragland_area,0.01357167984457115
aSMA-br_vascular_endothelium_stromal_eccentricity,0.012778445642382598
CD8_T_cells_FoxP3+_glandfront_area,0.012720462023838041
Neutrophils_stromal_eccentricity,0.012332834224493133
Dendritic_Cells_CD33+_intragland_area,0.012325385548064671
Gland_fibroblast_stromal_eccentricity,0.012279889284752488
Dendritic_Cells_CD86CD33dp_glandfront_celldistance,0.011852209594325954
aSMA-br_mesenchymal_glandfront_celldistance,0.011787436716864948
CD8_T_cells_CD80_CD86+_intragland_area,0.011564765777017705
Dendritic_Cells_CD209CD33dp_glandfront_eccentricity,0.0108231378015343
NA_glandfront_celldistance,0.010318487917598896
NA_glandfront_eccentricity,0.010283183480819809
NK_cells_CD56dimCD16+CD9hi_glandfront_area,0.010197199636868194
Dendritic_Cells_CD209CD86dp_glandfront_eccentricity,0.009843796943167775
Gland_mesenchymal_stromal_area,0.009740875880726137
Dendritic_Cells_CD209CD86dp_glandfront_celldistance,0.009573934039039096
Dendritic_Cells_CD209CD33dp_glandfront_area,0.00910829465441583
Dendritic_Cells_CD33+_stromal_area,0.008786666499031063
Stroma_vascular_endothelium_glandfront_celldistance,0.00822930995952802
Macrophages_M1_M2_stromal_eccentricity,0.00809046729898889
CD8_T_cells_CD80_CD86+_stromal_eccentricity,0.007944592434178787
Dendritic_Cells_CD86CD33dp_stromal_area,0.007751007051527699
Dendritic_Cells_CD33+_glandfront_eccentricity,0.0075896499330609865
CD4_T_cells_HLA-DR+_glandfront_celldistance,0.007151183554473671
Dendritic_Cells_CD33+_intragland_eccentricity,0.007002955660521353
NK_cells_CD56dimCD16+_intragland_eccentricity,0.0067032242483272345
aSMA-br_fibroblast_glandfront_eccentricity,0.006457832031414891
CD4_T_cells_CD80_CD86+_stromal_eccentricity,0.006306438271602239
CD4_T_cells_CD11b+_glandfront_celldistance,0.0062344490830597045
Dendritic_Cells_CD33+_stromal_eccentricity,0.006047910131803092
CD4_T_cells_CD11b+_intragland_area,0.005906318767626241
Neutrophils_glandfront_eccentricity,0.0058980479841996
CD8_T_cells_CD11b+_stromal_eccentricity,0.0055508263491103405
CD8_T_cells_HLA-DR+_glandfront_celldistance,0.005467059204323996
Stroma_fibroblast_glandfront_celldistance,0.005255185780250247
Dendritic_Cells_CD209CD33dp_glandfront_celldistance,0.005185637555353883
CD4_T_cells_CD11b+_glandfront_eccentricity,0.005122069541242309
CD8_T_cells_CD80_CD86+_glandfront_celldistance,0.0049928064804942215
NK_cells_CD56brCD16-_glandfront_area,0.004987413512324978
Dendritic_Cells_CD209CD86dp_stromal_area,0.0049307336162919225
Dendritic_Cells_CD33+_glandfront_area,0.004857589777647333
Dendritic_Cells_CD86+_stromal_eccentricity,0.0047985331873299205
Macrophages_M1-like_glandfront_celldistance,0.004449856953840423
NK_cells_CD56brCD16-_glandfront_eccentricity,0.0044486408267343
Dendritic_Cells_CD209CD33dp_stromal_area,0.00441903091773527
Gland_glandular_epithelium_intragland_area,0.004379286797322234
CD4_T_cells_CD80_CD86+_intragland_eccentricity,0.004363237399357496
Dendritic_Cells_CD86+_glandfront_area,0.0038131005952228817
CD8_T_cells_FoxP3+_glandfront_eccentricity,0.0037114526883314783
aSMA-br_vascular_endothelium_glandfront_celldistance,0.003709166957994128
Gland_vascular_endothelium_stromal_area,0.0036642552214050917
CD4_T_cells_CD80_CD86+_glandfront_area,0.0035411528834890077
CD8_T_cells_FoxP3+_stromal_eccentricity,0.0035121809261057573
CD8_T_cells_FoxP3+_stromal_area,0.003509230860877151
Gland_glandular_epithelium_glandfront_celldistance,0.003489896921369744
CD8_T_cells_HLA-DR+_glandfront_area,0.0034634156574990414
Dendritic_Cells_CD209CD33dp_stromal_eccentricity,0.0034588799652160553
