,Max Proba
Stroma_vascular_endothelium_stromal_area,0.3089137077331543
Stroma_fibroblast_glandfront_area,0.24006715416908264
aSMA-br_fibroblast_stromal_area,0.21841850876808167
Macrophages_M1_M2_stromal_area,0.21840102970600128
NKT_glandfront_area,0.20585139095783234
Stroma_fibroblast_stromal_area,0.20480427145957947
Gland_glandular_epithelium_glandfront_area,0.18353775143623352
aSMA-br_vascular_endothelium_glandfront_area,0.17423805594444275
NK_cells_CD56brCD16-CD9hi_stromal_area,0.17388957738876343
Gland_fibroblast_glandfront_celldistance,0.17330431938171387
aSMA-br_vascular_endothelium_stromal_area,0.1726711094379425
Macrophages_M2-like_glandfront_celldistance,0.17019279301166534
Gland_mesenchymal_intragland_eccentricity,0.1651090532541275
CD4_T_cells_CD11b+_stromal_eccentricity,0.15867547690868378
Neutrophils_stromal_area,0.1430446207523346
CD8_T_cells_CD80_CD86+_stromal_eccentricity,0.1143883690237999
Dendritic_Cells_CD86CD33dp_glandfront_area,0.10783707350492477
Macrophages_M2-like_stromal_area,0.08739852905273438
Macrophages_M1-like_glandfront_area,0.08552028983831406
aSMA-br_mesenchymal_stromal_area,0.08382469415664673
Stroma_mesenchymal_stromal_area,0.08220775425434113
Macrophages_MDSC_stromal_area,0.07786957919597626
Stroma_vascular_endothelium_glandfront_area,0.07671800255775452
CD4_T_cells_HLA-DR+_stromal_area,0.07212412357330322
Macrophages_M1_M2_glandfront_area,0.06918592751026154
Gland_fibroblast_glandfront_area,0.06565893441438675
CD8_T_cells_HLA-DR+_glandfront_eccentricity,0.06153493747115135
Stroma_vascular_endothelium_stromal_eccentricity,0.06042954698204994
CD8_T_cells_CD80_CD86+_stromal_area,0.06039052456617355
Dendritic_Cells_CD86CD33dp_glandfront_eccentricity,0.05850546807050705
Gland_glandular_epithelium_glandfront_eccentricity,0.057309217751026154
Gland_fibroblast_intragland_eccentricity,0.05659586191177368
CD4_T_cells_CD80_CD86+_glandfront_eccentricity,0.051605187356472015
CD4_T_cells_CD11b+_stromal_area,0.051131471991539
NK_cells_CD56dimCD16+CD9hi_glandfront_celldistance,0.05008621886372566
CD4_T_cells_FoxP3+_stromal_eccentricity,0.04944309964776039
CD4_T_cells_CD80_CD86+_stromal_area,0.04804864153265953
Macrophages_M1-like_stromal_area,0.04778490215539932
Gland_vascular_endothelium_glandfront_area,0.0476505346596241
Gland_vascular_endothelium_stromal_eccentricity,0.04666953161358833
Macrophages_MDSC_glandfront_eccentricity,0.04663335904479027
CD4_T_cells_CD80_CD86+_glandfront_celldistance,0.046327218413352966
CD4_T_cells_HLA-DR+_stromal_eccentricity,0.04488929361104965
NK_cells_CD56dimCD16+_glandfront_eccentricity,0.04484076797962189
Neutrophils_glandfront_area,0.04459388554096222
Stroma_mesenchymal_glandfront_celldistance,0.043367594480514526
Gland_mesenchymal_glandfront_eccentricity,0.04301982745528221
Gland_mesenchymal_glandfront_area,0.04163791611790657
Macrophages_M2-like_glandfront_area,0.04124147817492485
NK_cells_CD56brCD16-CD9hi_stromal_eccentricity,0.041097551584243774
CD8_T_cells_FoxP3+_glandfront_area,0.04023006930947304
