,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
CD4_T_cells_FoxP3+_glandfront_area,0.0024365391582250595,0.0015620074700564146,0.001533840666525066,0.0019372209208086133,0.002682735677808523,0.0048381551168859005,0.0022048598621040583,0.0029350414406508207,0.0026746259536594152,0.004534092266112566,0.0048381551168859005,0.0022048598621040583,0.0029350414406508207,0.0026746259536594152,0.004534092266112566
CD4_T_cells_FoxP3+_stromal_area,0.005792330484837294,0.005455812439322472,0.0055645233951509,0.005992454010993242,0.0038744439370930195,0.007988964207470417,0.007241633255034685,0.008700110949575901,0.010195506736636162,0.005742884241044521,0.007988964207470417,0.007241633255034685,0.008700110949575901,0.010195506736636162,0.005742884241044521
CD8_T_cells_FoxP3+_glandfront_area,0.03900059685111046,0.039326261729002,0.035685788840055466,0.02242049016058445,0.011486348696053028,0.04023006930947304,0.03696049377322197,0.02920425310730934,0.026797877624630928,0.015174911357462406,0.04023006930947304,0.03696049377322197,0.02920425310730934,0.026797877624630928,0.015174911357462406
CD8_T_cells_FoxP3+_intragland_area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8_T_cells_FoxP3+_stromal_area,0.013482598587870598,0.013528453186154366,0.01574726775288582,0.014058941975235939,0.007203996181488037,0.017271315678954124,0.015155875124037266,0.016316430643200874,0.018230153247714043,0.0074345413595438,0.017271315678954124,0.015155875124037266,0.016316430643200874,0.018230153247714043,0.0074345413595438
CD4_T_cells_HLA-DR+_glandfront_area,0.009350058622658253,0.008816680870950222,0.010725379921495914,0.0074547408148646355,0.0032231195364147425,0.011464367620646954,0.010752017609775066,0.010423029772937298,0.009119218215346336,0.004066236782819033,0.011464367620646954,0.010752017609775066,0.010423029772937298,0.009119218215346336,0.004066236782819033
CD4_T_cells_HLA-DR+_intragland_area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_HLA-DR+_stromal_area,0.07007528841495514,0.061712123453617096,0.05574614927172661,0.046565353870391846,0.035396356135606766,0.07212412357330322,0.05774910748004913,0.05575034022331238,0.046976346522569656,0.035205915570259094,0.07212412357330322,0.05774910748004913,0.05575034022331238,0.046976346522569656,0.035205915570259094
CD8_T_cells_HLA-DR+_glandfront_area,0.014209380373358727,0.010405045934021473,0.008806243538856506,0.0050420514307916164,0.0016713436925783753,0.014070606790482998,0.010862709954380989,0.010225599631667137,0.004778174217790365,0.0025233901105821133,0.014070606790482998,0.010862709954380989,0.010225599631667137,0.004778174217790365,0.0025233901105821133
CD8_T_cells_HLA-DR+_intragland_area,0.0,0.0,0.0,0.0,0.0,0.0005799713544547558,6.379692786140367e-05,0.00022961142531130463,0.0,0.0,0.0005799713544547558,6.379692786140367e-05,0.00022961142531130463,0.0,0.0
