,Max Proba
Stroma_vascular_endothelium_stromal_area,0.33243221679620716
Stroma_fibroblast_glandfront_area,0.2553057901720123
Macrophages_M1_M2_stromal_area,0.2325338892763357
NKT_glandfront_area,0.22863594078067656
aSMA-br_fibroblast_stromal_area,0.20941367192311108
Stroma_fibroblast_stromal_area,0.20677507196943481
Gland_fibroblast_glandfront_celldistance,0.1971773235043959
NK_cells_CD56brCD16-CD9hi_stromal_area,0.19208465636012714
aSMA-br_vascular_endothelium_glandfront_area,0.18827227605215224
Gland_glandular_epithelium_glandfront_area,0.1767963961940029
aSMA-br_vascular_endothelium_stromal_area,0.17220823458730714
CD4_T_cells_CD11b+_stromal_eccentricity,0.17062030316050797
Macrophages_M2-like_glandfront_celldistance,0.16997054738815617
Gland_mesenchymal_intragland_eccentricity,0.16189834510223902
Neutrophils_stromal_area,0.14551318596773927
CD8_T_cells_CD80_CD86+_stromal_eccentricity,0.12197245159689811
Dendritic_Cells_CD86CD33dp_glandfront_area,0.10400238990867068
Macrophages_M1-like_glandfront_area,0.09371846211138664
Macrophages_M2-like_stromal_area,0.09251575260644415
CD4_T_cells_FoxP3+_stromal_eccentricity,0.08744207781747508
Stroma_vascular_endothelium_stromal_eccentricity,0.08460960692732836
Stroma_mesenchymal_stromal_area,0.08451080740351706
aSMA-br_mesenchymal_stromal_area,0.08390607725554121
Macrophages_M1_M2_glandfront_area,0.08139267268873991
Stroma_vascular_endothelium_glandfront_area,0.07977438830472049
Macrophages_MDSC_stromal_area,0.07956233965215116
CD8_T_cells_CD80_CD86+_stromal_area,0.07239918851405687
Gland_glandular_epithelium_glandfront_eccentricity,0.07130742653282739
Gland_fibroblast_glandfront_area,0.06686074276004841
CD4_T_cells_HLA-DR+_stromal_area,0.06536679637932323
Macrophages_M1-like_stromal_area,0.05815266365616564
CD4_T_cells_CD80_CD86+_stromal_area,0.056319028710905446
Dendritic_Cells_CD86CD33dp_glandfront_eccentricity,0.053608122349909325
Gland_fibroblast_intragland_eccentricity,0.053455580083981595
Macrophages_MDSC_glandfront_eccentricity,0.0527854274256784
Gland_vascular_endothelium_glandfront_area,0.05243532365105842
Neutrophils_glandfront_area,0.05192883187995816
Dendritic_Cells_CD209CD86dp_glandfront_eccentricity,0.050818088317845816
NK_cells_CD56dimCD16+CD9hi_glandfront_celldistance,0.050246738535819416
CD4_T_cells_CD80_CD86+_glandfront_eccentricity,0.0500822555409111
CD4_T_cells_CD11b+_stromal_area,0.04975095189899054
CD4_T_cells_CD80_CD86+_glandfront_celldistance,0.04937682942393698
Stroma_mesenchymal_glandfront_celldistance,0.04740708279449551
Gland_vascular_endothelium_stromal_eccentricity,0.046947717945110094
