,Max Proba
Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.2862305901557287
CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.19128726800180598
Gland_fibroblast_intragland_aggregatedNeighbors.Gland.mesenchymal,0.1754050951245992
CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.16287806671338806
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.15394514403778095
Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.15060795439105573
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.15038660641388657
Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.14990473654408842
Macrophages_M1_M2_stromal_aggregatedNeighbors.Macrophages.MDSC,0.1493388105691696
NKT_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.1431356983285449
Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.14216022698952757
Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast,0.13738241122240613
NA_glandfront_aggregatedNeighbors.Gland.fibroblast,0.13318058900315258
Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium,0.13314088260593654
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium,0.13241288401875526
Dendritic_Cells_CD86+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.12518091588822544
Dendritic_Cells_CD86CD33dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.11194594138044045
NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.10310851680903754
CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.10101663202741552
Macrophages_MDSC_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.09328335518509549
aSMA-br_fibroblast_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.09035067297847924
Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.08547310178872727
NK_cells_CD56dimCD16+CD9hi_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.08288886015596922
Gland_fibroblast_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.08248994339266219
NK_cells_CD56brCD16-TIM3hi_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium,0.08187539000060298
Stroma_mesenchymal_stromal_aggregatedNeighbors.Stroma.fibroblast,0.07075517372264906
CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.06811179077460754
Dendritic_Cells_CD209CD86dp_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.06620146712350775
NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.0640835839462873
aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.06374879333375102
CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.06236943638951601
aSMA-br_mesenchymal_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.062096870972437025
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.060536447148986296
Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.060518640044181164
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.05671759030140518
Neutrophils_stromal_aggregatedNeighbors.Neutrophils,0.05633641125645399
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.05430216209207495
Macrophages_M2-like_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.05331005782808916
Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.05267370916338482
Macrophages_M1_M2_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.05220804154923856
aSMA-br_mesenchymal_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.05110711491012681
Gland_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.05073330222147329
NA_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.04991473755017064
Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.04873935213181472
Gland_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.046605495169810766
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.04590682666396388
NK_cells_CD56brCD16-TIM3hi_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.04574269224624823
NA_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.0447783326382363
NA_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.04322874698925242
NK_cells_CD56brCD16-TIM3hi_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.04224725593933876
NK_cells_CD56dimCD16+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.04109247890552312
Gland_vascular_endothelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.0408795528653122
Dendritic_Cells_CD33+_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.03978623328441333
Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.039421762927434795
NA_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.03941026086147876
Gland_mesenchymal_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.03924020984701371
CD4_T_cells_CD11b+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.038950113550212856
CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.03877322634122673
NK_cells_CD56brCD16-_glandfront_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi,0.037804953412178884
Neutrophils_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.03752334430269228
Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.03606617531716941
Macrophages_MDSC_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.03416797476644607
Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.033054708749154095
Macrophages_M1_M2_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.032492414059546774
Neutrophils_glandfront_aggregatedNeighbors.Neutrophils,0.03224532515399814
Dendritic_Cells_CD86+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.03198569767575397
CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.03127861294731115
CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.031017285900661877
NK_cells_CD56dimCD16+CD9hi_intragland_aggregatedNeighbors.Gland.mesenchymal,0.030801634674680476
Neutrophils_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.030133810838393962
Macrophages_MDSC_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.030097510782479645
Gland_fibroblast_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.029836237215479986
Dendritic_Cells_CD33+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.028529593512803528
Stroma_mesenchymal_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.028210780051456667
Neutrophils_glandfront_aggregatedNeighbors.Gland.fibroblast,0.02767425939037589
Dendritic_Cells_CD209CD33dp_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.027598151964155264
NK_cells_CD56brCD16-TIM3hi_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.026992547924821815
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.025926901658543177
NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi,0.025799708464005096
Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.fibroblast,0.0257522892926534
Neutrophils_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.025572542123894818
NK_cells_CD56brCD16-_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.02538580464488584
Macrophages_M1_M2_stromal_aggregatedNeighbors.Macrophages.M2.like,0.024947456161650516
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi,0.024930204095331095
CD4_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.0248193602139698
NK_cells_CD56brCD16-_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.024753375281831996
NKT_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.024717990390800443
NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.023432342234502086
Neutrophils_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.02278314602843032
Gland_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.022442309821611012
CD8_T_cells_CD11b+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.02231923964358064
Gland_fibroblast_stromal_aggregatedNeighbors.Stroma.fibroblast,0.021885608314178007
Dendritic_Cells_CD209CD33dp_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.021868846769179724
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.021288682684877974
Gland_fibroblast_stromal_aggregatedNeighbors.Gland.fibroblast,0.021277020293453932
aSMA-br_mesenchymal_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.020913846675358838
NK_cells_CD56brCD16-CD9hi_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi,0.02089152659529883
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.0205859714657036
CD8_T_cells_CD80_CD86+_intragland_aggregatedNeighbors.Gland.mesenchymal,0.02018491827988163
CD4_T_cells_CD80_CD86+_intragland_aggregatedNeighbors.Gland.mesenchymal,0.019859610128250667
Stroma_mesenchymal_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.019817971362248162
Dendritic_Cells_CD86+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.019723485936654097
Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.019152006046104043
Dendritic_Cells_CD209CD33dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.018926343735814925
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.018925774876367665
Gland_fibroblast_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.018905802484533194
Macrophages_MDSC_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.01874085193660214
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.018382411696616228
Neutrophils_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.017990996167201605
CD4_T_cells_CD11b+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.017989468760405438
aSMA-br_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.017486766787307862
Gland_mesenchymal_intragland_aggregatedNeighbors.Gland.mesenchymal,0.017315912878768762
CD4_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.017142043050477496
