,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.01491452008485794,0.011508430354297161,0.011392847634851933,0.008791795931756496,0.002361733466386795,0.015569884330034256,0.011295424774289131,0.009535648860037327,0.007962300442159176,0.002436606213450432,0.01625494845211506,0.011295424774289131,0.009535648860037327,0.007962300442159176,0.002436606213450432
artificial.2,0.08239870518445969,0.06956247240304947,0.053208623081445694,0.038010966032743454,0.01168232224881649,0.07786361128091812,0.060372017323970795,0.054874420166015625,0.03525099530816078,0.012305042706429958,0.07746918499469757,0.060372017323970795,0.054874420166015625,0.03525099530816078,0.012305042706429958
artificial.3,0.04908584803342819,0.040100108832120895,0.033227548003196716,0.02669943869113922,0.014031733386218548,0.04925797879695892,0.04238206520676613,0.03630158305168152,0.02699322998523712,0.017453599721193314,0.04935157671570778,0.04238206520676613,0.03630158305168152,0.02699322998523712,0.017453599721193314
artificial.4,0.0471169576048851,0.03240654245018959,0.02519419603049755,0.016332972794771194,0.0035800589248538017,0.04287770763039589,0.031019696965813637,0.020998727530241013,0.014731585048139095,0.0029902609530836344,0.042732760310173035,0.031019696965813637,0.020998727530241013,0.014731585048139095,0.0029902609530836344
artificial.5,0.016529733315110207,0.01281228568404913,0.009603943675756454,0.005494542885571718,0.002239619381725788,0.016832144930958748,0.012063669972121716,0.009698281064629555,0.0062285833992064,0.0018389843171462417,0.017204297706484795,0.012063669972121716,0.009698281064629555,0.0062285833992064,0.0018389843171462417
artificial.6,0.03460920229554176,0.027789760380983353,0.024464359506964684,0.011947465129196644,0.004988252650946379,0.02902611717581749,0.025226570665836334,0.020580872893333435,0.014384394511580467,0.005913840606808662,0.029260898008942604,0.025226570665836334,0.020580872893333435,0.014384394511580467,0.005913840606808662
artificial.7,0.004639923572540283,0.002620104467496276,0.002505228156223893,0.0021545712370425463,0.0017109763575717807,0.005398219916969538,0.005054057110100985,0.003077782690525055,0.004570057615637779,0.003022383665665984,0.005398219916969538,0.005054057110100985,0.003077782690525055,0.004570057615637779,0.003022383665665984
artificial.8,0.01731622777879238,0.015039514750242233,0.010685703717172146,0.005320949945598841,0.0017401088261976838,0.013439539819955826,0.013786855153739452,0.011858001351356506,0.007858972996473312,0.0025086114183068275,0.013439539819955826,0.013786855153739452,0.011858001351356506,0.007858972996473312,0.0025086114183068275
artificial.9,0.04367514327168465,0.02594136819243431,0.021631723269820213,0.012768920511007309,0.0040457663126289845,0.03755293786525726,0.024065881967544556,0.019956959411501884,0.011644383892416954,0.0045887199230492115,0.03755293786525726,0.024065881967544556,0.019956959411501884,0.011644383892416954,0.0045887199230492115
artificial.10,0.0437040701508522,0.04173625260591507,0.02890511229634285,0.024666786193847656,0.012634498998522758,0.046327732503414154,0.037990592420101166,0.02946493774652481,0.02500387281179428,0.01325280126184225,0.046327732503414154,0.037990592420101166,0.02946493774652481,0.02500387281179428,0.01325280126184225
