,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
CD4_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.0019694743677973747,0.0013463686918839812,0.0013282906729727983,0.0014490828616544604,0.0026136161759495735,0.0018044888274744153,0.0015609301626682281,0.001871371059678495,0.001953791594132781,0.0032050705049186945,0.0018044888274744153,0.0015609301626682281,0.001871371059678495,0.001953791594132781,0.0032050705049186945
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0019842199981212616,0.0020017235074192286,0.0016500367783010006,0.001708553172647953,0.0009880514116957784,0.00346028502099216,0.003009449690580368,0.002488513942807913,0.0019968897104263306,0.00119881855789572,0.00346028502099216,0.003009449690580368,0.002488513942807913,0.0019968897104263306,0.00119881855789572
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.008409818634390831,0.008870355784893036,0.00759517028927803,0.005523189902305603,0.0031162030063569546,0.008879621513187885,0.005831558257341385,0.005036626476794481,0.0064685652032494545,0.003929367754608393,0.0093725910410285,0.005831558257341385,0.005036626476794481,0.0064685652032494545,0.003929367754608393
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.004405734594911337,0.004522974602878094,0.004074243362993002,0.0036267226096242666,0.0019491317216306925,0.0061315614730119705,0.007129998877644539,0.005209982395172119,0.004365134052932262,0.0020196400582790375,0.006238493137061596,0.007129998877644539,0.005209982395172119,0.004365134052932262,0.0020196400582790375
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.016576524823904037,0.011655949987471104,0.009077493101358414,0.0055378335528075695,0.0002649847010616213,0.0158757995814085,0.01066085509955883,0.00883042998611927,0.004214224871248007,0.0013344715116545558,0.0158757995814085,0.01066085509955883,0.00883042998611927,0.004214224871248007,0.0013344715116545558
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.003224625252187252,0.0034677402582019567,0.00350204692222178,0.0037217920180410147,0.0005293066496960819,0.003066451521590352,0.003440161468461156,0.004352741874754429,0.0037519028410315514,0.001260234508663416,0.003066451521590352,0.003440161468461156,0.004352741874754429,0.0037519028410315514,0.001260234508663416
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.005644150543957949,0.005244175437837839,0.007090296130627394,0.004163259174674749,0.0029386947862803936,0.010956425219774246,0.00882959458976984,0.008166858926415443,0.006316137034446001,0.004521238151937723,0.010956425219774246,0.00882959458976984,0.008166858926415443,0.006316137034446001,0.004521238151937723
CD4_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0026995870284736156,0.0023504954297095537,0.0029487614519894123,0.0030012589413672686,0.0017618359997868538,0.004367569461464882,0.003328567137941718,0.003648885525763035,0.0027982022147625685,0.0023115717340260744,0.004367569461464882,0.003328567137941718,0.003648885525763035,0.0027982022147625685,0.0023115717340260744
CD4_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.008081875741481781,0.007236407604068518,0.008325336501002312,0.00813583005219698,0.004628688562661409,0.008979695849120617,0.009671062231063843,0.008100773207843304,0.009112277068197727,0.004860740154981613,0.008979695849120617,0.009671062231063843,0.008100773207843304,0.009112277068197727,0.004860740154981613
CD4_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.003503323532640934,0.00410443264991045,0.003629422513768077,0.004286241717636585,0.0019288940820842981,0.00417740223929286,0.004429034423083067,0.00484122708439827,0.004380133468657732,0.003071668790653348,0.00417740223929286,0.004429034423083067,0.00484122708439827,0.004380133468657732,0.003071668790653348
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.014405864290893078,0.0125705786049366,0.011000399477779865,0.00960585568100214,0.007079374510794878,0.01699293591082096,0.013714594766497612,0.01214141957461834,0.010919063352048397,0.012744305655360222,0.01699293591082096,0.013714594766497612,0.01214141957461834,0.010919063352048397,0.012744305655360222
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.0048666479997336864,0.004978341981768608,0.0056554717011749744,0.0028194922488182783,0.0019382925238460302,0.006091626826673746,0.004778570495545864,0.004608958028256893,0.0030207044910639524,0.003806878812611103,0.006091626826673746,0.004778570495545864,0.004608958028256893,0.0030207044910639524,0.003806878812611103
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Macrophages.M2.like,0.011286953464150429,0.011584792286157608,0.007748126517981291,0.0075583383440971375,0.005574723239988089,0.011104323901236057,0.009702238254249096,0.008496377617120743,0.0069890315644443035,0.0063872141763567924,0.011104323901236057,0.009702238254249096,0.008496377617120743,0.0069890315644443035,0.0063872141763567924
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.023446016013622284,0.02014658972620964,0.017173999920487404,0.014858562499284744,0.012224792502820492,0.022896893322467804,0.020446354523301125,0.01587301306426525,0.01706913858652115,0.01345043070614338,0.022896893322467804,0.020446354523301125,0.01587301306426525,0.01706913858652115,0.01345043070614338
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.016214465722441673,0.01685069501399994,0.016380779445171356,0.013281917199492455,0.005456618964672089,0.01398709136992693,0.01529817283153534,0.014740098267793655,0.011604839004576206,0.006665828172117472,0.01398709136992693,0.01529817283153534,0.014740098267793655,0.011604839004576206,0.006665828172117472
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.011543923988938332,0.010927097871899605,0.00954314973205328,0.007917395792901516,0.0029866269323974848,0.008069929666817188,0.010330477729439735,0.008658199571073055,0.005715085659176111,0.002365268999710679,0.008599566295742989,0.010330477729439735,0.008658199571073055,0.005715085659176111,0.002365268999710679
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.0014426870038732886,0.0013511781580746174,0.0006246246630325913,0.0010034064762294292,0.00040721421828493476,0.001124903210438788,0.0005195778794586658,0.001135359052568674,0.0018340430688112974,0.0008102519204840064,0.001124903210438788,0.0005195778794586658,0.001135359052568674,0.0018340430688112974,0.0008102519204840064
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.024849766865372658,0.02844572626054287,0.024190399795770645,0.018128762021660805,0.013240093365311623,0.022023091092705727,0.027420787140727043,0.022235147655010223,0.02046271041035652,0.011788986623287201,0.022023091092705727,0.027420787140727043,0.022235147655010223,0.02046271041035652,0.011788986623287201
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.006247613113373518,0.006625381764024496,0.00473510567098856,0.0035975254140794277,0.0006312531768344343,0.00474392669275403,0.00433187885209918,0.005073638632893562,0.0042914943769574165,0.0015882510924711823,0.00474392669275403,0.00433187885209918,0.005073638632893562,0.0042914943769574165,0.0015882510924711823
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.0049152132123708725,0.0035852831788361073,0.003569536842405796,0.004586177412420511,0.0011687767691910267,0.005953984800726175,0.003864408005028963,0.0027324447873979807,0.0018236673204228282,0.0012046543415635824,0.005953984800726175,0.003864408005028963,0.0027324447873979807,0.0018236673204228282,0.0012046543415635824
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.007144099101424217,0.008376984857022762,0.006140059791505337,0.00465877540409565,0.0015441770665347576,0.008669464848935604,0.0053080543875694275,0.0077367969788610935,0.006547192577272654,0.0018985195783898234,0.008669464848935604,0.0053080543875694275,0.0077367969788610935,0.006547192577272654,0.0018985195783898234
CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0034423309843987226,0.0031471210531890392,0.0035095696803182364,0.0013018946629017591,0.00014783887309022248,0.0026455933693796396,0.003462146269157529,0.002819010755047202,0.0012668860144913197,0.00076939637074247,0.0026455933693796396,0.003462146269157529,0.002819010755047202,0.0012668860144913197,0.00076939637074247
CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.016472265124320984,0.01632450334727764,0.015123478136956692,0.011822609230875969,0.006714631803333759,0.01634770631790161,0.01353327464312315,0.01494412962347269,0.012970779091119766,0.008166994899511337,0.01634770631790161,0.01353327464312315,0.01494412962347269,0.012970779091119766,0.008166994899511337
CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.004333448596298695,0.002657592063769698,0.003761773928999901,0.0029513374902307987,0.0009598727338016033,0.004582247696816921,0.004264345392584801,0.004657320212572813,0.003688475349918008,0.0017848813440650702,0.004923831205815077,0.004264345392584801,0.004657320212572813,0.003688475349918008,0.0017848813440650702
CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.0015203692018985748,0.0022269960027188063,0.002401127479970455,0.002803769428282976,0.0009565654909238219,0.00279224687255919,0.003002462675794959,0.0027083444874733686,0.0033835608046501875,0.0014605885371565819,0.00279224687255919,0.003002462675794959,0.0027083444874733686,0.0033835608046501875,0.0014605885371565819
CD4_T_cells_CD80_CD86+_intragland_aggregatedNeighbors.Gland.mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.004062710329890251,0.0031755142845213413,0.0034355930984020233,0.0030120122246444225,0.002364455023780465,0.0031235807109624147,0.003357700305059552,0.003918706439435482,0.002747609280049801,0.003012494882568717,0.0031235807109624147,0.003357700305059552,0.003918706439435482,0.002747609280049801,0.003012494882568717
CD4_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.0033592372201383114,0.002170120133087039,0.0009449342614971101,0.00043241766979917884,0.0,0.00325563782826066,0.002734147710725665,0.0018909064820036292,0.0011040656827390194,0.0008093880605883896,0.00325563782826066,0.002734147710725665,0.0018909064820036292,0.0011040656827390194,0.0008093880605883896
CD4_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.003087881952524185,0.0047117313370108604,0.002916376106441021,0.0028931943234056234,0.0006332769407890737,0.0053716907277703285,0.007155189290642738,0.004265905823558569,0.004188972525298595,0.0023858584463596344,0.0053716907277703285,0.007155189290642738,0.004265905823558569,0.004188972525298595,0.0023858584463596344
