,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
CD4_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.003816441913150244,0.001971873843091536,0.001976051914658362,0.003086584302641409,0.006824971592894138,0.004601948516552071,0.002394367269663437,0.0033816112505426817,0.004179634632242912,0.00844706290705018,0.004601948516552071,0.002394367269663437,0.0033816112505426817,0.004179634632242912,0.00844706290705018
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.003395089574401546,0.002695314019186368,0.0024927086426176654,0.0036265712654435403,0.0023490883700302066,0.006805423090710876,0.0038606959923084597,0.0037533541305195895,0.004445649020099427,0.0025109282897110598,0.006805423090710876,0.0038606959923084597,0.0037533541305195895,0.004445649020099427,0.0025109282897110598
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.012120682594782366,0.010463986493488325,0.011618697092306446,0.012388775640251513,0.009718231122149338,0.015050799194764682,0.007174292472351995,0.00911766670512099,0.014045727015074581,0.009595097245257644,0.015479882421382265,0.007174292472351995,0.00911766670512099,0.014045727015074581,0.009595097245257644
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.006240844437150065,0.005062919080868173,0.006068848574650834,0.007144157590875986,0.003914579020321556,0.008737949418678058,0.007947926629684562,0.0073309985785344565,0.007667480188939188,0.004079340184479255,0.008764723393460343,0.007947926629684562,0.0073309985785344565,0.007667480188939188,0.004079340184479255
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.012584202678022398,0.012295729515369273,0.010410066753023983,0.0074900012626813684,0.0009352422221130438,0.014359515800780275,0.013687682786525629,0.011018050184915038,0.0066678471652001385,0.00253872558676031,0.014359515800780275,0.013687682786525629,0.011018050184915038,0.0066678471652001385,0.00253872558676031
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.004245167441867646,0.0031646274986708548,0.004695713083498995,0.005837258256671839,0.0008270316015960514,0.003569470724238221,0.003154217389337848,0.00531225522438183,0.006534614449242262,0.002534845251538709,0.003569470724238221,0.003154217389337848,0.00531225522438183,0.006534614449242262,0.002534845251538709
CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.008050058514377062,0.004856867746878383,0.009696535009594462,0.007511391084610412,0.008401411727099625,0.016561528668670767,0.009902560476335623,0.011736588204243859,0.011903518916138766,0.011995920734948545,0.016561528668670767,0.009902560476335623,0.011736588204243859,0.011903518916138766,0.011995920734948545
CD4_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0032558080986985725,0.0021985131914277548,0.0042722027414250465,0.005773096868266327,0.004616999067904058,0.006287852228835353,0.003620495705405351,0.0048710837750883754,0.00501306545250166,0.005491940956088848,0.006287852228835353,0.003620495705405351,0.0048710837750883754,0.00501306545250166,0.005491940956088848
CD4_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.011419253833556464,0.008187646519375842,0.011796661486564561,0.014318950220369291,0.009907446331303273,0.012336262120057055,0.010648538762922419,0.011519406715273064,0.014899455797624672,0.00989474538120133,0.012336262120057055,0.010648538762922419,0.011519406715273064,0.014899455797624672,0.00989474538120133
CD4_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.004544074331760248,0.004215088249743187,0.005255817241217574,0.007364780078577277,0.0038499050062395434,0.0058511912283356485,0.0048675509778129365,0.007097074153465771,0.00729729473598871,0.006301609810767615,0.0058511912283356485,0.0048675509778129365,0.007097074153465771,0.00729729473598871,0.006301609810767615
