,Max Proba
Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.22448070311980142
CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.1976075521292308
Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.19473549683101712
Gland_fibroblast_intragland_aggregatedNeighbors.Gland.mesenchymal,0.1773866768712417
CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.14469309922596812
NKT_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.14198908771465596
Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.1404360930069348
Dendritic_Cells_CD86CD33dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.13720805054933294
Macrophages_M1_M2_stromal_aggregatedNeighbors.Macrophages.MDSC,0.13324240914991284
NKT_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.12475549151693056
aSMA-br_mesenchymal_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.12017838543269879
Macrophages_MDSC_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.11807846165071537
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.11119128265651475
Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast,0.11114585983073313
Stroma_mesenchymal_stromal_aggregatedNeighbors.Stroma.fibroblast,0.1079886877360722
CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.10583994985407295
NK_cells_CD56dimCD16+CD9hi_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.09116934941011445
Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.08892604537947885
CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.08554384775471048
aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.0835159329171286
Gland_fibroblast_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.08306080655053612
Dendritic_Cells_CD86+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.08247615915042453
Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.07821680610422975
Neutrophils_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.07657694672937573
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.07148829692409675
Gland_vascular_endothelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.07047236749676672
Gland_mesenchymal_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.06293493346930998
Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium,0.06083991440205718
Neutrophils_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.05823046034903824
Gland_mesenchymal_intragland_aggregatedNeighbors.Gland.mesenchymal,0.05796507347813537
Neutrophils_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.055899221204348926
NA_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.05268060182810574
Dendritic_Cells_CD209CD33dp_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.05225201377443566
NA_glandfront_aggregatedNeighbors.Gland.fibroblast,0.05172022607499022
NA_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.050791080314105945
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium,0.04979716379453413
NK_cells_CD56dimCD16+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.049731855412080764
Dendritic_Cells_CD33+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.048545179114403716
