,Max Proba
Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium,0.6511834322525603
Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.3767308732590837
aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.1905567764257196
CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.12324232024468831
Macrophages_M1_M2_stromal_aggregatedNeighbors.Macrophages.M2.like,0.11717356263075686
Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.1080081208954051
NKT_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.09960593528453514
aSMA-br_fibroblast_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.08650287204769051
Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.0840322583508064
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium,0.08264344064142606
NKT_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.08182073089169378
Gland_fibroblast_intragland_aggregatedNeighbors.Gland.mesenchymal,0.0783363792771239
Dendritic_Cells_CD86CD33dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.07734468991091066
Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium,0.07387861345191876
Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast,0.06768365354197631
Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.fibroblast,0.05554215606767374
NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi,0.053160581846024846
Macrophages_M1_M2_stromal_aggregatedNeighbors.Macrophages.MDSC,0.05228408964293127
NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.05206907490119519
Stroma_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.05119683054607142
Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.04846271658307751
CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.04621865839231501
CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast,0.04361901106230816
Neutrophils_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.042109289083532196
aSMA-br_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.04196391765365113
Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.03943435979497919
Gland_fibroblast_stromal_aggregatedNeighbors.Stroma.fibroblast,0.03937539607091314
CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.0384930277067253
CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.03462144692366336
CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.03445186476821264
CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal,0.033989254518871165
Stroma_mesenchymal_stromal_aggregatedNeighbors.Stroma.fibroblast,0.033414565124894775
Neutrophils_glandfront_aggregatedNeighbors.Gland.fibroblast,0.030371664975574104
CD8_T_cells_HLA-DR+_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.02742656929782744
Macrophages_MDSC_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.02669234759776672
Gland_fibroblast_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.024340463072715146
Macrophages_M1_M2_glandfront_aggregatedNeighbors.aSMA.br.fibroblast,0.02401946664674674
Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.fibroblast,0.02399003101269081
NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.023690599016173316
aSMA-br_fibroblast_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.023516479228457537
Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.0232646219189474
Dendritic_Cells_CD33+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.02320081434290632
NK_cells_CD56brCD16-_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.02300457850761026
NK_cells_CD56brCD16-TIM3hi_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi,0.02294114064235745
Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium,0.021970327727218606
NK_cells_CD56brCD16-TIM3hi_glandfront_aggregatedNeighbors.Stroma.vascular.endothelium,0.021676199800501044
Dendritic_Cells_CD209CD33dp_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.021344100483768506
CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast,0.021076892582174666
Gland_mesenchymal_glandfront_aggregatedNeighbors.Stroma.mesenchymal,0.020556797291599305
Neutrophils_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.019848459194884784
Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.019822827640549042
Dendritic_Cells_CD209CD33dp_glandfront_aggregatedNeighbors.Gland.mesenchymal,0.01953809878035863
Gland_mesenchymal_intragland_aggregatedNeighbors.Gland.mesenchymal,0.019082527893266917
Stroma_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.fibroblast,0.019068652392264532
CD4_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium,0.0189039627520301
