,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.03890141099691391,0.035323768854141235,0.03740046173334122,0.035388652235269547,0.03091380000114441,0.03895494341850281,0.03525198996067047,0.037012044340372086,0.03463296592235565,0.029924392700195312,0.03895494341850281,0.03525198996067047,0.037012044340372086,0.03463296592235565,0.029924392700195312
artificial.2,0.03005719743669033,0.029495421797037125,0.0241438839584589,0.016435803845524788,0.0030154981650412083,0.031536903232336044,0.029437802731990814,0.024307601153850555,0.016667915508151054,0.0030154981650412083,0.031536903232336044,0.029437802731990814,0.024307601153850555,0.016667915508151054,0.0030154981650412083
artificial.3,0.014187556691467762,0.011403861455619335,0.011134344153106213,0.0050658429972827435,0.005915143992751837,0.014658238738775253,0.011187741532921791,0.011118868365883827,0.00503433495759964,0.005915143992751837,0.014658238738775253,0.011187741532921791,0.011118868365883827,0.00503433495759964,0.005915143992751837
artificial.4,0.04178334027528763,0.03548140078783035,0.0299235787242651,0.023469051346182823,0.01249544508755207,0.043584633618593216,0.035340748727321625,0.030028000473976135,0.023687219247221947,0.011858579702675343,0.043584633618593216,0.035340748727321625,0.030028000473976135,0.023687219247221947,0.011858579702675343
artificial.5,0.09480058401823044,0.0880732387304306,0.08346566557884216,0.07029444724321365,0.0648355633020401,0.09093577414751053,0.0893021821975708,0.0826929360628128,0.07002662122249603,0.0644284337759018,0.09093577414751053,0.0893021821975708,0.0826929360628128,0.07002662122249603,0.0644284337759018
artificial.6,0.028548622503876686,0.024484725669026375,0.01880870759487152,0.01354572456330061,0.004248834680765867,0.032038357108831406,0.024452639743685722,0.01859799586236477,0.01354572456330061,0.004248834680765867,0.032038357108831406,0.024452639743685722,0.01859799586236477,0.01354572456330061,0.004248834680765867
artificial.7,0.014891507104039192,0.015537475235760212,0.015487495809793472,0.013747240416705608,0.009127018973231316,0.01495620422065258,0.01576652191579342,0.01568940468132496,0.013782630674540997,0.009127018973231316,0.01495620422065258,0.01576652191579342,0.01568940468132496,0.013782630674540997,0.009127018973231316
artificial.8,0.007583553437143564,0.00727477204054594,0.006525152362883091,0.005005485378205776,0.0,0.007523839827626944,0.00688056368380785,0.006575578358024359,0.005005485378205776,0.0,0.007523839827626944,0.00688056368380785,0.006575578358024359,0.005005485378205776,0.0
artificial.9,0.03311632573604584,0.033146485686302185,0.02769158035516739,0.01804582215845585,0.008698813617229462,0.03253110498189926,0.0335705429315567,0.027322160080075264,0.01910630613565445,0.00864442903548479,0.03253110498189926,0.0335705429315567,0.027322160080075264,0.01910630613565445,0.00864442903548479
artificial.10,0.03226425498723984,0.026614299044013023,0.02671564556658268,0.026972055435180664,0.027520909905433655,0.03122444823384285,0.026461737230420113,0.026545343920588493,0.026972055435180664,0.027520909905433655,0.03122444823384285,0.026461737230420113,0.026545343920588493,0.026972055435180664,0.027520909905433655
