,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.04281072966700199,0.03836979743811846,0.04422218463750772,0.04617873054068672,0.03340263293797826,0.04355620577624379,0.0389965728019956,0.04487945565987497,0.04686104497646363,0.033237304431237166,0.04355620577624379,0.0389965728019956,0.04487945565987497,0.04686104497646363,0.033237304431237166
artificial.2,0.02096084865028179,0.03538729997098949,0.02553736188272838,0.021913189641742464,0.003281164678040079,0.022333027288994278,0.035239875426673735,0.025536148135880243,0.022204097750962062,0.003281164678040079,0.022333027288994278,0.035239875426673735,0.025536148135880243,0.022204097750962062,0.003281164678040079
artificial.3,0.01402553612995392,0.013348119567848904,0.012600126127724234,0.008560505995640351,0.005792677748851716,0.013976779254256883,0.012847353046442998,0.013021163058405123,0.008638407909465073,0.005792677748851716,0.013976779254256883,0.012847353046442998,0.013021163058405123,0.008638407909465073,0.005792677748851716
artificial.4,0.0340134389730569,0.03989467567004458,0.03524712936504572,0.029129491543761696,0.009081428135430029,0.036120816319603934,0.04003640477969482,0.03529667507307634,0.029552159033816857,0.008013001932191842,0.036120816319603934,0.04003640477969482,0.03529667507307634,0.029552159033816857,0.008013001932191842
artificial.5,0.09097411815977434,0.09809443361694181,0.09460401347429084,0.08184793371796323,0.0700380072215863,0.08682189726592011,0.09868499002350578,0.09446869099325664,0.08144268475156605,0.0697386821040559,0.08682189726592011,0.09868499002350578,0.09446869099325664,0.08144268475156605,0.0697386821040559
artificial.6,0.020621363042542088,0.030016992095883106,0.021044739401390063,0.01573035819191262,0.003318754582033119,0.022936397378912173,0.030062208784798105,0.021130165767044424,0.01573035819191262,0.003318754582033119,0.022936397378912173,0.030062208784798105,0.021130165767044424,0.01573035819191262,0.003318754582033119
artificial.7,0.014723632087082508,0.01559365992330435,0.017090510907596397,0.015593090201276846,0.006802877237689412,0.014625904131437691,0.015798869625158623,0.01722355016135898,0.015839697670095056,0.006802877237689412,0.014625904131437691,0.015798869625158623,0.01722355016135898,0.015839697670095056,0.006802877237689412
artificial.8,0.006864878616588961,0.005315002451670395,0.0070987954224542155,0.00621650842010654,0.0,0.006730984755094071,0.005109182164615101,0.007390070798757029,0.00621650842010654,0.0,0.006730984755094071,0.005109182164615101,0.007390070798757029,0.00621650842010654,0.0
artificial.9,0.02541328439149643,0.03535769586501451,0.02984795397793061,0.02201342621947713,0.009770226807213112,0.02504896458730841,0.03573415110660464,0.029505860667089996,0.022963674021074527,0.009906231428718548,0.02504896458730841,0.03573415110660464,0.029505860667089996,0.022963674021074527,0.009906231428718548
artificial.10,0.03786759025583741,0.03758904710492207,0.03397669059449977,0.03573980768298263,0.025125372148852656,0.03647337212661823,0.03747106540156952,0.03378173946352075,0.03573980768298263,0.025125372148852656,0.03647337212661823,0.03747106540156952,0.03378173946352075,0.03573980768298263,0.025125372148852656
artificial.11,0.024569494973835048,0.02121804841090721,0.02372923631201701,0.025941990469332224,0.022252864922988908,0.021452200773051537,0.021352323464142207,0.024028608510307595,0.02577309324398194,0.02266959544083582,0.021452200773051537,0.021352323464142207,0.024028608510307595,0.02577309324398194,0.02266959544083582
artificial.12,0.021354730427945542,0.025563354690811092,0.024348944534339174,0.01681970105429948,0.0044368011007961256,0.021078273850027064,0.025078881900982307,0.024170038680624645,0.016587174872326443,0.0065348256999249,0.021078273850027064,0.025078881900982307,0.024170038680624645,0.016587174872326443,0.0065348256999249
artificial.13,0.019073814226520283,0.02496858513042584,0.022654741900339555,0.017826407461640603,0.005584720373043196,0.019350762943238682,0.02307104299920986,0.022933884011692558,0.017966253642367508,0.005050328001534495,0.019350762943238682,0.02307104299920986,0.022933884011692558,0.017966253642367508,0.005050328001534495
artificial.14,0.046657429875862966,0.06571026218579122,0.04948269843326391,0.04529690012203119,0.01890771751257895,0.048802406188019946,0.06671270134117403,0.05005344511209933,0.04529690012203119,0.02012945871439721,0.048802406188019946,0.06671270134117403,0.05005344511209933,0.04529690012203119,0.02012945871439721
artificial.15,0.00973806514150648,0.013863787929588657,0.009257965424278751,0.0072845923132276,0.0,0.009483995965199308,0.013919348654123993,0.009270562709550118,0.007187690245200923,0.0,0.009483995965199308,0.013919348654123993,0.009270562709550118,0.007187690245200923,0.0
artificial.16,0.018080297487913226,0.02717215854353743,0.023555395140824918,0.016182225079943064,0.0051771142391908755,0.019744402967544802,0.027055736432451676,0.02347162262906024,0.01678076272552246,0.004724852371656672,0.019744402967544802,0.027055736432451676,0.02347162262906024,0.01678076272552246,0.004724852371656672
artificial.17,0.044734075829342926,0.05510853231760593,0.04779621156577327,0.04496159559645533,0.01912581135262311,0.04611936703352308,0.055832058766520004,0.04855129063554782,0.04496159559645533,0.018815950432354758,0.04611936703352308,0.055832058766520004,0.04855129063554782,0.04496159559645533,0.018815950432354758
artificial.18,0.03662734101169679,0.04123368967245438,0.04314186756255753,0.041464286711755234,0.04028142102437278,0.03884708069206499,0.040839418966788645,0.04295278900189826,0.0411440512958811,0.041152516344555586,0.03884708069206499,0.040839418966788645,0.04295278900189826,0.0411440512958811,0.041152516344555586
artificial.19,0.3050199684852441,0.3012454492074524,0.3246742580294745,0.31964971962506017,0.24682082703383232,0.3030031563206592,0.29823698922212327,0.324259333491276,0.32115294251646404,0.2481412078148397,0.3030031563206592,0.29823698922212327,0.324259333491276,0.32115294251646404,0.2481412078148397
artificial.20,0.2847142627085365,0.3268825657751137,0.2932889412609733,0.27366795694020446,0.1857238462490668,0.2802966538666423,0.32729375328542526,0.2929040641867679,0.2720035295725322,0.18615216570110396,0.2802966538666423,0.32729375328542526,0.2929040641867679,0.2720035295725322,0.18615216570110396
artificial.21,0.010165274581422168,0.00930429985709149,0.012149065177665083,0.011572897977257017,0.008251821734488343,0.010841233984057433,0.009335327137207413,0.012146753975648955,0.011572897977257017,0.008251821734488343,0.010841233984057433,0.009335327137207413,0.012146753975648955,0.011572897977257017,0.008251821734488343
artificial.22,0.032689280235887526,0.03820483549017919,0.029790856712422667,0.024929199504139153,0.020059544122477,0.034146702541555496,0.03776599206347452,0.02990318291964037,0.02467779089117354,0.020059544122477,0.034146702541555496,0.03776599206347452,0.02990318291964037,0.02467779089117354,0.020059544122477
artificial.23,0.022759748649597542,0.019477820161608487,0.01797070800988561,0.01588514942125706,0.01778248029944616,0.02042617994292802,0.019581132696849968,0.01784925100277018,0.01588514942125706,0.018524152074093872,0.02042617994292802,0.019581132696849968,0.01784925100277018,0.01588514942125706,0.018524152074093872
artificial.24,0.03490713830452882,0.029879446700670845,0.03734685429339122,0.03369713596567659,0.033055867327386156,0.03362908672887907,0.030333223500771774,0.03838938303197425,0.034263974182331375,0.034326336948950396,0.03362908672887907,0.030333223500771774,0.03838938303197425,0.034263974182331375,0.034326336948950396
artificial.25,0.03420335828440622,0.049518782426811826,0.04794036096946404,0.03487898098284382,0.011226887681621665,0.036495576045044234,0.04950981186640486,0.04810260431769638,0.03560372366468195,0.011226887681621665,0.036495576045044234,0.04950981186640486,0.04810260431769638,0.03560372366468195,0.011226887681621665
artificial.26,0.00947192609249829,0.017945190636518074,0.013925099444984386,0.00929057827689797,0.0005910913325185109,0.013817211534848464,0.017855390003478848,0.014380287280545332,0.008546332877563548,0.0005910913325185109,0.013817211534848464,0.017855390003478848,0.014380287280545332,0.008546332877563548,0.0005910913325185109
artificial.27,0.00861038572463227,0.008072845407057485,0.010282253870362959,0.009825351165532611,0.003534560991747091,0.010110232185612028,0.007863712766939515,0.01079757084043774,0.009789170092446264,0.003539636030025285,0.010110232185612028,0.007863712766939515,0.01079757084043774,0.009789170092446264,0.003539636030025285
artificial.28,0.04870486930448448,0.06020096356881103,0.051647538443169244,0.04523925217326741,0.034071627016987405,0.04645923891095848,0.06020096356881103,0.05250458608229003,0.04513521708424907,0.03524592669543042,0.04645923891095848,0.06020096356881103,0.05250458608229003,0.04513521708424907,0.03524592669543042
artificial.29,0.014337376910413988,0.024615454340783164,0.011556356887516423,0.008596391893029055,0.00038721260241946447,0.014114275827431896,0.025183590277059558,0.014209379072676859,0.00876810949276724,0.00038721260241946447,0.014114275827431896,0.025183590277059558,0.014209379072676859,0.00876810949276724,0.00038721260241946447
artificial.30,0.012349252998393392,0.017263870239523707,0.014434592669693599,0.01304374828487679,0.004669564490359035,0.01389133094686994,0.01712979376786277,0.014558222272839521,0.013449362838040149,0.004676859900581687,0.01389133094686994,0.01712979376786277,0.014558222272839521,0.013449362838040149,0.004676859900581687
artificial.31,0.027325052938581878,0.024402428766509922,0.032345983149015656,0.03768020957845422,0.01885090255340626,0.02762797775705239,0.02426839803560286,0.03186127047073028,0.03747667852471533,0.01885090255340626,0.02762797775705239,0.02426839803560286,0.03186127047073028,0.03747667852471533,0.01885090255340626
artificial.32,0.015538101324201173,0.012278194588609787,0.014093651514211712,0.009444365105364786,0.008541912202723056,0.014790763252825636,0.012165829588364041,0.014379285365484426,0.009704612145777178,0.008541912202723056,0.014790763252825636,0.012165829588364041,0.014379285365484426,0.009704612145777178,0.008541912202723056
artificial.33,0.05967401742320153,0.06452004741498212,0.06181842753277118,0.07011705670613304,0.05258046938992831,0.06254233110094605,0.06354394861580914,0.061729782020035706,0.06960261795571375,0.050708707357930184,0.06254233110094605,0.06354394861580914,0.061729782020035706,0.06960261795571375,0.050708707357930184
artificial.34,0.05567354142132674,0.04204652987054619,0.041459817956772116,0.04767123453151557,0.052558631950264466,0.05487324611742296,0.04249473120164717,0.041865995324455424,0.04752078724488751,0.05419738147109244,0.05487324611742296,0.04249473120164717,0.041865995324455424,0.04752078724488751,0.05419738147109244
artificial.35,0.1420429051182179,0.16050882384605447,0.13965192497132245,0.1329855154920457,0.10484274780803372,0.1359531954147016,0.16033175449020629,0.14058221296889,0.13179443758458517,0.10540769404005536,0.1359531954147016,0.16033175449020629,0.14058221296889,0.13179443758458517,0.10540769404005536
artificial.36,0.009474958485952999,0.014645044691897537,0.01345087124947407,0.012354380610527396,0.0029339580904350153,0.010668260115077462,0.014747988745945378,0.01361304966261877,0.011974988283090283,0.002929667285101945,0.010668260115077462,0.014747988745945378,0.01361304966261877,0.011974988283090283,0.002929667285101945
