,{'C': np.float64(0.01)},{'C': np.float64(0.12)},{'C': np.float64(0.23)},{'C': np.float64(0.34)},{'C': np.float64(0.45)},{'C': np.float64(0.56)},{'C': np.float64(0.67)},{'C': np.float64(0.78)},{'C': np.float64(0.89)},{'C': np.float64(1.0)}
B_cells_glandfront_cellfrequency,0.0,0.0007996272884875105,0.00542908401656464,0.008516490976487476,0.010100725791520715,0.010773085532489622,0.01102299649855594,0.011255449314236068,0.01147974326374548,0.011865525736524926
B_cells_intragland_cellfrequency,0.0,0.0,0.0017896130065578877,0.004636121291544498,0.0060478004246408475,0.006600057046973319,0.006775502437624371,0.006862887233260557,0.006978114592095874,0.007060504865494567
B_cells_stromal_cellfrequency,0.0,0.0,0.0,0.00011936095299824669,0.0002151904884618855,0.0002977198903161153,0.0003694921801282174,0.00045550726553906216,0.0005761775912350212,0.0006649726080293401
CD4_T_cells_FoxP3+_glandfront_cellfrequency,0.0,0.002685195420987959,0.0231373853567758,0.027497359040480944,0.028033282728762488,0.028743646344749203,0.02915473304747737,0.029201808577294368,0.029199751779689826,0.029241904814170085
CD4_T_cells_FoxP3+_stromal_cellfrequency,0.0,0.0,0.0011901814775521014,0.0039798110118349815,0.006966648194204176,0.009041580076893985,0.01035245470528164,0.011383504872533987,0.012253035667660485,0.01299266760781366
CD8_T_cells_FoxP3+_glandfront_cellfrequency,0.0,0.0024987488947022965,0.013386079969068274,0.015035934447785573,0.015298268971770453,0.01562598475142113,0.016293351598084198,0.01672355717429537,0.01696122298994705,0.017198606688700914
CD8_T_cells_FoxP3+_intragland_cellfrequency,0.0,0.0,0.003819636479013607,0.011567748597297249,0.014098611114125598,0.015066899220794462,0.016054920563701995,0.016817660400450157,0.01727579341007346,0.01769530273792483
CD8_T_cells_FoxP3+_stromal_cellfrequency,0.0,0.0,0.0026981921990838426,0.004036648417184539,0.00430646652063005,0.004351677618477942,0.0041410991670117496,0.0038570990342914144,0.003642756492923985,0.0034046867529944824
CD4_T_cells_HLA-DR+_glandfront_cellfrequency,0.0,0.0,0.003329093212301784,0.005965148481181427,0.00889860466905642,0.01042769375019603,0.011248205240307856,0.011981565704827082,0.01272023138015933,0.0132349676443534
CD4_T_cells_HLA-DR+_intragland_cellfrequency,0.0,0.0,0.0,0.00010816437190564235,0.00042180801435758974,0.00023293747526555725,0.000334577134470268,0.0004905261980892772,0.0004956019332168841,0.00042312690900231414
CD4_T_cells_HLA-DR+_stromal_cellfrequency,0.0,0.0,0.014786472004228864,0.025023864980584246,0.03035109660165596,0.03343445248245534,0.03522735918102694,0.03654431871204284,0.037586554374695526,0.03832457834017213
CD8_T_cells_HLA-DR+_glandfront_cellfrequency,0.0,0.036457297679167014,0.11318376381365483,0.1235140319752044,0.12555108987866268,0.12504779249225642,0.12463558119523081,0.12432462279648383,0.12410491776698404,0.1238019161044361
CD8_T_cells_HLA-DR+_intragland_cellfrequency,0.0,0.01687761582169495,0.05773421192441305,0.07640155863251472,0.08418806418223784,0.08796912697168464,0.0897513355866837,0.0907902973136426,0.09162851586794997,0.09235796151837222
CD8_T_cells_HLA-DR+_stromal_cellfrequency,0.0,0.0003004220166127075,0.01555031812573633,0.021211618177082118,0.021547362100921553,0.02173934812446944,0.022148591880569404,0.02241391280772696,0.02252457709907897,0.022549617613627032
CD4_T_cells_CD80_CD86+_glandfront_cellfrequency,0.0,0.002,0.010356146591358143,0.017379370177966962,0.020231094721689137,0.0215048896949623,0.022361473563309787,0.023428548026145517,0.024353428289043005,0.025143406565809653
CD4_T_cells_CD80_CD86+_intragland_cellfrequency,0.0,0.0,0.003428245174435588,0.0038896479087605343,0.004002274641376184,0.004637313638816025,0.005090357574112205,0.005429438484983117,0.00571768673157909,0.005960905261240845
