,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.0047922441735863686,0.004638464190065861,0.00731431320309639,0.007376129273325205,0.011375713162124157,0.005251983180642128,0.00445065600797534,0.006998107302933931,0.007376129273325205,0.012011400423943996,0.005251983180642128,0.00445065600797534,0.006998107302933931,0.007376129273325205,0.012011400423943996
artificial.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.1553315371274948,0.15034569799900055,0.14037184417247772,0.1433231085538864,0.1433454155921936,0.15616202354431152,0.14909784495830536,0.1407335102558136,0.14321917295455933,0.14443622529506683,0.15616202354431152,0.14909784495830536,0.1407335102558136,0.14321917295455933,0.14443622529506683
artificial.4,0.0022567573469132185,0.0019219738896936178,0.0009557733428664505,0.001092536491341889,0.004409052897244692,0.002317835344001651,0.00176586105953902,0.001085474737919867,0.0011403454700484872,0.004409052897244692,0.002317835344001651,0.00176586105953902,0.001085474737919867,0.0011403454700484872,0.004409052897244692
artificial.5,0.009568456560373306,0.00850680097937584,0.0068848324008286,0.012775436975061893,0.02054399438202381,0.010506097227334976,0.008179941214621067,0.007366998121142387,0.012741909362375736,0.022168325260281563,0.010506097227334976,0.008179941214621067,0.007366998121142387,0.012741909362375736,0.022168325260281563
artificial.6,0.008142253383994102,0.00820103194564581,0.004780618008226156,0.0036001564003527164,0.0013296668184921145,0.008399410173296928,0.006622164510190487,0.004382923245429993,0.003653851570561528,0.0013296668184921145,0.008399410173296928,0.006622164510190487,0.004382923245429993,0.003653851570561528,0.0013296668184921145
artificial.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.8,0.033365074545145035,0.022469932213425636,0.022508589550852776,0.014266392216086388,0.005659904330968857,0.03157076984643936,0.021240422502160072,0.02372632920742035,0.013807039707899094,0.005382883362472057,0.03157076984643936,0.021240422502160072,0.02372632920742035,0.013807039707899094,0.005382883362472057
artificial.9,0.037762224674224854,0.03237246721982956,0.02746567130088806,0.01981717348098755,0.008731162175536156,0.03478509932756424,0.03103020414710045,0.027257589623332024,0.01900222897529602,0.008426795713603497,0.03478509932756424,0.03103020414710045,0.027257589623332024,0.01900222897529602,0.008426795713603497
artificial.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
