,Max Proba
aSMA-br_vascular_endothelium_stromal_cellfrequency,0.40515788903377203
CD8_T_cells_HLA-DR+_glandfront_cellfrequency,0.2871096228288348
B_cells_stromal_cellfrequency,0.2506361830214919
Gland_glandular_epithelium_intragland_cellfrequency,0.2184611616030374
CD8_T_cells_CD80_CD86+_glandfront_cellfrequency,0.12239829037133435
NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency,0.10757776901738385
Neutrophils_glandfront_cellfrequency,0.10248266993451474
Dendritic_Cells_CD209CD86dp_glandfront_cellfrequency,0.0986348590725249
NK_cells_CD56dimCD16+_stromal_cellfrequency,0.0983921453185526
aSMA-br_fibroblast_glandfront_cellfrequency,0.09440752392787626
CD8_T_cells_HLA-DR+_stromal_cellfrequency,0.08666797898188075
Macrophages_M2-like_glandfront_cellfrequency,0.07765871327100883
Stroma_vascular_endothelium_glandfront_cellfrequency,0.07543557756495746
Neutrophils_stromal_cellfrequency,0.062407272788835524
NK_cells_CD56brCD16-TIM3hi_glandfront_cellfrequency,0.06163842695000571
CD4_T_cells_CD11b+_stromal_cellfrequency,0.0520558954784691
Macrophages_M1-like_glandfront_cellfrequency,0.04819536903994559
NA_glandfront_cellfrequency,0.04759960785889835
NK_cells_CD56dimCD16+CD9hi_glandfront_cellfrequency,0.045794259443723305
CD4_T_cells_CD11b+_glandfront_cellfrequency,0.0457856731452665
CD8_T_cells_FoxP3+_glandfront_cellfrequency,0.040656557275400726
NK_cells_CD56dimCD16+_glandfront_cellfrequency,0.03754900062960928
Gland_fibroblast_glandfront_cellfrequency,0.037212146332873515
aSMA-br_mesenchymal_glandfront_cellfrequency,0.03444933488173291
Dendritic_Cells_CD209CD33dp_stromal_cellfrequency,0.03368286556686544
Gland_fibroblast_intragland_cellfrequency,0.032038205920761155
CD4_T_cells_CD80_CD86+_glandfront_cellfrequency,0.030012160183074947
Dendritic_Cells_CD86CD33dp_stromal_cellfrequency,0.029379045426577093
Stroma_vascular_endothelium_stromal_cellfrequency,0.029103513687334624
Macrophages_MDSC_glandfront_cellfrequency,0.027550989315548766
NKT_glandfront_cellfrequency,0.027484607739825237
Dendritic_Cells_CD33+_stromal_cellfrequency,0.026779832726725288
B_cells_glandfront_cellfrequency,0.025906240846743648
NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency,0.024852323630857768
Macrophages_MDSC_stromal_cellfrequency,0.024084550636761067
Gland_fibroblast_stromal_cellfrequency,0.023593286465475774
NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency,0.023488852191732353
CD8_T_cells_FoxP3+_stromal_cellfrequency,0.022521617087339425
CD4_T_cells_HLA-DR+_stromal_cellfrequency,0.022334455943941744
NA_stromal_cellfrequency,0.02197932852651384
NK_cells_CD56dimCD16+CD9hi_stromal_cellfrequency,0.021854932354652558
Macrophages_M1-like_stromal_cellfrequency,0.021583083618189548
aSMA-br_vascular_endothelium_glandfront_cellfrequency,0.02020758610576123
Gland_glandular_epithelium_glandfront_cellfrequency,0.019939133282122556
Gland_mesenchymal_intragland_cellfrequency,0.019782893600250935
CD8_T_cells_CD80_CD86+_stromal_cellfrequency,0.017938769078955554
CD4_T_cells_FoxP3+_stromal_cellfrequency,0.017783318324168376
Macrophages_M1_M2_stromal_cellfrequency,0.017749065835421234
Gland_vascular_endothelium_glandfront_cellfrequency,0.01755077248288798
Stroma_fibroblast_glandfront_cellfrequency,0.01727184368436857
NK_cells_CD56brCD16-NKG2AhiTIM3hi_glandfront_cellfrequency,0.016732927935776427
Dendritic_Cells_CD86CD33dp_glandfront_cellfrequency,0.016700680251850793
Gland_vascular_endothelium_stromal_cellfrequency,0.01662748977603139
Stroma_mesenchymal_stromal_cellfrequency,0.015859782075831885
NKT_intragland_cellfrequency,0.014507461200475054
Stroma_mesenchymal_intragland_cellfrequency,0.013531147665914695
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_cellfrequency,0.012663718704418262
NK_cells_CD56brCD16-_glandfront_cellfrequency,0.012076352609663813
NA_intragland_cellfrequency,0.011972784024101162
aSMA-br_mesenchymal_stromal_cellfrequency,0.01195816733664326
Gland_mesenchymal_glandfront_cellfrequency,0.01177122265501536
Macrophages_M2-like_intragland_cellfrequency,0.011744163714437993
Stroma_fibroblast_stromal_cellfrequency,0.011611720684472523
aSMA-br_fibroblast_intragland_cellfrequency,0.011522339104258228
Gland_mesenchymal_stromal_cellfrequency,0.011434395615813015
Dendritic_Cells_CD209CD33dp_glandfront_cellfrequency,0.011356734889122689
Dendritic_Cells_CD209CD86dp_stromal_cellfrequency,0.010431385762333061
NK_cells_CD56brCD16-_stromal_cellfrequency,0.009160005632678037
CD4_T_cells_CD80_CD86+_stromal_cellfrequency,0.009143806607036726
Macrophages_M1_M2_glandfront_cellfrequency,0.009105562089481175
Stroma_mesenchymal_glandfront_cellfrequency,0.00892236256191396
Dendritic_Cells_CD33+_glandfront_cellfrequency,0.008730681650102106
aSMA-br_glandular_epithelium_glandfront_cellfrequency,0.008697913605622273
CD4_T_cells_FoxP3+_glandfront_cellfrequency,0.008450185655462331
Macrophages_M2-like_stromal_cellfrequency,0.008149235178835474
Neutrophils_intragland_cellfrequency,0.008106318888608037
CD4_T_cells_HLA-DR+_glandfront_cellfrequency,0.007889935726493914
Macrophages_M1-like_intragland_cellfrequency,0.007781781003228944
Dendritic_Cells_CD86+_stromal_cellfrequency,0.007316290684069482
aSMA-br_fibroblast_stromal_cellfrequency,0.006048505662258892
Dendritic_Cells_CD86+_glandfront_cellfrequency,0.00551552747155196
CD8_T_cells_CD11b+_stromal_cellfrequency,0.004304590037455383
CD8_T_cells_HLA-DR+_intragland_cellfrequency,0.004028727195844283
CD8_T_cells_CD11b+_glandfront_cellfrequency,0.003953655139872301
NK_cells_CD56brCD16-NKG2Ahi_glandfront_cellfrequency,0.003798587219846703
Stroma_fibroblast_intragland_cellfrequency,0.0030132862152626935
Gland_glandular_epithelium_stromal_cellfrequency,0.002046537150008407
Stroma_epithelial_stem_glandfront_cellfrequency,0.00174201135303128
NK_cells_CD56brCD16-NKG2Ahi_stromal_cellfrequency,0.0016957096132006126
Macrophages_MDSC_intragland_cellfrequency,0.0015272809209942234
aSMA-br_epithelial_stem_glandfront_cellfrequency,0.0013824899942466845
Stroma_epithelial_stem_stromal_cellfrequency,0.001227089857205369
aSMA-br_glandular_epithelium_stromal_cellfrequency,0.0009961039690877416
aSMA-br_glandular_epithelium_intragland_cellfrequency,0.00044366441490511203
Macrophages_M1_M2_intragland_cellfrequency,0.00037673247255208493
Gland_epithelial_stem_glandfront_cellfrequency,0.00022806646605997267
NK_cells_CD56brCD16-CD9hi_intragland_cellfrequency,0.0
NK_cells_CD56dimCD16+CD9hi_intragland_cellfrequency,0.0
NK_cells_CD56brCD16-NKG2Ahi_intragland_cellfrequency,0.0
Stroma_glandular_epithelium_intragland_cellfrequency,0.0
NK_cells_CD56brCD16-_intragland_cellfrequency,0.0
NK_cells_CD56dimCD16+_intragland_cellfrequency,0.0
Stroma_vascular_endothelium_intragland_cellfrequency,0.0
Stroma_glandular_epithelium_glandfront_cellfrequency,0.0
B_cells_intragland_cellfrequency,0.0
CD4_T_cells_CD80_CD86+_intragland_cellfrequency,0.0
CD4_T_cells_CD11b+_intragland_cellfrequency,0.0
CD8_T_cells_CD80_CD86+_intragland_cellfrequency,0.0
CD8_T_cells_CD11b+_intragland_cellfrequency,0.0
Stroma_epithelial_stem_intragland_cellfrequency,0.0
CD8_T_cells_FoxP3+_intragland_cellfrequency,0.0
CD4_T_cells_HLA-DR+_intragland_cellfrequency,0.0
NK_cells_CD56brCD16-NKG2AhiTIM3hi_intragland_cellfrequency,0.0
NK_cells_CD56brCD16-TIM3hi_intragland_cellfrequency,0.0
Dendritic_Cells_CD86+_intragland_cellfrequency,0.0
Dendritic_Cells_CD33+_intragland_cellfrequency,0.0
Dendritic_Cells_CD209CD86dp_intragland_cellfrequency,0.0
Dendritic_Cells_CD209CD33dp_intragland_cellfrequency,0.0
NKT_stromal_cellfrequency,0.0
Dendritic_Cells_CD86CD33dp_intragland_cellfrequency,0.0
aSMA-br_mesenchymal_intragland_cellfrequency,0.0
aSMA-br_vascular_endothelium_intragland_cellfrequency,0.0
Gland_epithelial_stem_stromal_cellfrequency,0.0
Gland_epithelial_stem_intragland_cellfrequency,0.0
Gland_vascular_endothelium_intragland_cellfrequency,0.0
aSMA-br_epithelial_stem_stromal_cellfrequency,0.0
