,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.008057006688438138,0.00494224835229483,0.008780203909035816,0.009101252299320087,0.011247230616894826,0.009230464602156591,0.004888018399508667,0.00867943342014984,0.009101252299320087,0.011781565543962168,0.009230464602156591,0.004888018399508667,0.00867943342014984,0.009101252299320087,0.011781565543962168
artificial.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.171928689171221,0.17110277185778464,0.15266648310129108,0.15517754522066707,0.13853589360028762,0.17168470718248194,0.16991064650538312,0.1531983649380993,0.15478428770522326,0.14106579523001303,0.17168470718248194,0.16991064650538312,0.1531983649380993,0.15478428770522326,0.14106579523001303
artificial.4,0.0050640811925178894,0.002758140430964801,0.0021081421517415125,0.0021775526993344442,0.007181609191675459,0.00543458650289657,0.002625876165703267,0.002344388148767053,0.0023529189565333394,0.007181609191675459,0.00543458650289657,0.002625876165703267,0.002344388148767053,0.0023529189565333394,0.007181609191675459
artificial.5,0.01696954611294267,0.009499290457224198,0.009259531626213246,0.016936858562545634,0.019209856679994863,0.018417558189742844,0.009181850198960175,0.0096006783261378,0.017097841646504904,0.019436769898011602,0.018417558189742844,0.009181850198960175,0.0096006783261378,0.017097841646504904,0.019436769898011602
artificial.6,0.006773752566262293,0.009867496610791006,0.006399887292790422,0.004784835387810831,0.001534497051578601,0.006897652948775814,0.009249526215112073,0.005931651834952096,0.004982859400244179,0.001534497051578601,0.006897652948775814,0.009249526215112073,0.005931651834952096,0.004982859400244179,0.001534497051578601
artificial.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.8,0.02778783964300288,0.027386183355394552,0.026650265315623416,0.021647016759957484,0.005724237606661263,0.02774953751541841,0.026732215630824282,0.026836747357184023,0.020711917419500032,0.00518606118949615,0.02774953751541841,0.026732215630824282,0.026836747357184023,0.020711917419500032,0.00518606118949615
artificial.9,0.031078000300377284,0.03762235653856752,0.032458255948366314,0.026366784823098035,0.007834271951584494,0.0287891979816408,0.03677170464887839,0.032100917428705605,0.02549751433856565,0.0077554476340106725,0.0287891979816408,0.03677170464887839,0.032100917428705605,0.02549751433856565,0.0077554476340106725
artificial.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.041287215627817064,0.053297287829809116,0.04778726701204791,0.04020348363628011,0.010916191094279498,0.04056995895855357,0.052490661779882666,0.04672438435516422,0.04119321026151701,0.011464598018404298,0.04056995895855357,0.052490661779882666,0.04672438435516422,0.04119321026151701,0.011464598018404298
artificial.12,0.010643126211368686,0.015683895662181063,0.013763510319169526,0.01103179409717673,0.002760067888223684,0.01164975622314036,0.016540876213192394,0.013964167521438748,0.010630785391024744,0.002252381088744541,0.01164975622314036,0.016540876213192394,0.013964167521438748,0.010630785391024744,0.002252381088744541
artificial.13,0.0022084794190017553,0.0010689127387629059,0.001618916740012458,0.0022978501913381976,0.0028258196698011328,0.0022858789824315275,0.0010885988861324258,0.001566969294816138,0.0022978501913381976,0.0028258196698011328,0.0022858789824315275,0.0010885988861324258,0.001566969294816138,0.0022978501913381976,0.0028258196698011328
artificial.14,0.023803331475667832,0.031616585666787225,0.026835441303212342,0.01950273955682127,0.005484779013052042,0.023133578905830614,0.03050378118404056,0.02568516126552385,0.01933571782990659,0.0049401602196461345,0.023133578905830614,0.03050378118404056,0.02568516126552385,0.01933571782990659,0.0049401602196461345
artificial.15,0.024227242769963696,0.02694742506494457,0.023489807248379426,0.022160719677961394,0.01161511581602964,0.02385249528309511,0.027484537810645252,0.023795182666033594,0.021823503266543056,0.011317175336457812,0.02385249528309511,0.027484537810645252,0.023795182666033594,0.021823503266543056,0.011317175336457812
artificial.16,0.0006787078794604789,0.0003700607272958439,0.0004979131547136651,0.00040635245737693116,0.0009368269622948942,0.0006787078794604789,0.0003700607272958439,0.0004979131547136651,0.00040635245737693116,0.0015444166868789693,0.0006787078794604789,0.0003700607272958439,0.0004979131547136651,0.00040635245737693116,0.0015444166868789693
artificial.17,0.07128183088757624,0.10966425329185361,0.09462275141612561,0.05446771160584642,0.01088618062774713,0.07383338028773917,0.1088736532899676,0.09389623167674521,0.05677965754366302,0.008723533624462891,0.07383338028773917,0.1088736532899676,0.09389623167674521,0.05677965754366302,0.008723533624462891
artificial.18,0.02287070540668062,0.0209352774193888,0.01990733043489539,0.019352842460888333,0.01474586091491426,0.02244159883030491,0.021191859442874814,0.020591047652783398,0.019221980556740417,0.01474586091491426,0.02244159883030491,0.021191859442874814,0.020591047652783398,0.019221980556740417,0.01474586091491426
artificial.19,0.0013223198333986688,0.0007799528952591963,0.0024038671188918487,0.001490853873856626,0.0005185284697559293,0.0013223198333986688,0.0007799528952591963,0.0024038671188918487,0.0018221548408597135,0.0005185284697559293,0.0013223198333986688,0.0007799528952591963,0.0024038671188918487,0.0018221548408597135,0.0005185284697559293
artificial.20,0.10401312661350195,0.11390995281679084,0.10938070445125733,0.10327121119239308,0.06897200720333661,0.11083273416989131,0.1149599784070777,0.108918065459856,0.10369256707789368,0.06765420709600826,0.11083273416989131,0.1149599784070777,0.108918065459856,0.10369256707789368,0.06765420709600826
artificial.21,0.005810685002453157,0.0076600836346835755,0.005150058996307188,0.002860551669246466,0.0,0.005382002763303339,0.0076600836346835755,0.005283730808422248,0.002860551669246466,0.0,0.005382002763303339,0.0076600836346835755,0.005283730808422248,0.002860551669246466,0.0
artificial.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.23,0.013449672043303544,0.010264381240030497,0.015590595776608117,0.020459176101505504,0.022448227416625496,0.012826143218788163,0.010302466685838505,0.01608775722534484,0.020444111562524257,0.022927578183246335,0.012826143218788163,0.010302466685838505,0.01608775722534484,0.020444111562524257,0.022927578183246335
artificial.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.26,0.009986202439263582,0.005340940888837117,0.00712889606543245,0.00944541480322664,0.00920776759812024,0.008815220737276143,0.005357433945568731,0.0070677970186079206,0.009445103938403645,0.009301228322710995,0.008815220737276143,0.005357433945568731,0.0070677970186079206,0.009445103938403645,0.009301228322710995
artificial.27,0.002383792982422782,0.0016157090390166813,0.0038086624566789026,0.00312668234502901,0.0031136780651612062,0.003448501769263288,0.0017072177764761323,0.0038086624566789026,0.0036516826053822277,0.003513359750035854,0.003448501769263288,0.0017072177764761323,0.0038086624566789026,0.0036516826053822277,0.003513359750035854
artificial.28,0.0012570423775864826,0.0,0.0003931530996019148,0.0,0.000841802276755578,0.0011502537285684755,0.0,0.00036480517207157606,0.0,0.000841802276755578,0.0011502537285684755,0.0,0.00036480517207157606,0.0,0.000841802276755578
artificial.29,0.0024253083248481433,0.001975065153292739,0.0028815237796334923,0.001652839567438813,0.0020728228947278246,0.000907207495924786,0.0015124916843506813,0.0025570766814517693,0.0017794959955534856,0.0017297431251404069,0.000907207495924786,0.0015124916843506813,0.0025570766814517693,0.0017794959955534856,0.0017297431251404069
