,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
B_cells_glandfront_cellfrequency,0.022532887698025715,0.007717395369869689,0.006056729614917746,0.007649791533127219,0.004292802183389218,0.025906240846743648,0.007865154672051847,0.006056729614917746,0.008072802675768126,0.005524383905923687,0.025906240846743648,0.007865154672051847,0.006056729614917746,0.008072802675768126,0.005524383905923687
B_cells_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_cells_stromal_cellfrequency,0.20157066749406463,0.2506361830214919,0.21179131980732985,0.1873461517198244,0.10989732256006732,0.19557163263926297,0.249754673219419,0.211676789308097,0.18726906743747362,0.11152721234969465,0.19557163263926297,0.249754673219419,0.211676789308097,0.18726906743747362,0.11152721234969465
CD4_T_cells_FoxP3+_glandfront_cellfrequency,0.0059769948125912315,0.002001434237125784,0.0016038082019395295,0.003160542159229075,0.004580494704505136,0.008450185655462331,0.0019082140688557007,0.0015106818301589458,0.0031634405199521326,0.004625205417750599,0.008450185655462331,0.0019082140688557007,0.0015106818301589458,0.0031634405199521326,0.004625205417750599
CD4_T_cells_FoxP3+_stromal_cellfrequency,0.017783318324168376,0.006556194844055167,0.008155452730803299,0.008232323712354607,0.012876859725946927,0.0175463274640006,0.006556194844055167,0.008356100826413717,0.008232323712354607,0.012688878335626501,0.0175463274640006,0.006556194844055167,0.008356100826413717,0.008232323712354607,0.012688878335626501
CD8_T_cells_FoxP3+_glandfront_cellfrequency,0.03888214123530051,0.03289711986019364,0.0356219442523747,0.035715368119158694,0.02689529092307283,0.040656557275400726,0.034068859957806404,0.03577478526840887,0.03603632420975452,0.029997938102137044,0.040656557275400726,0.034068859957806404,0.03577478526840887,0.03603632420975452,0.029997938102137044
CD8_T_cells_FoxP3+_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8_T_cells_FoxP3+_stromal_cellfrequency,0.019141276275734167,0.022521617087339425,0.02108532736083485,0.01470374345330794,0.010702208597434835,0.02053107240801797,0.021299605411312497,0.021201903994089555,0.015087853951510077,0.010326827979511602,0.02053107240801797,0.021299605411312497,0.021201903994089555,0.015087853951510077,0.010326827979511602
CD4_T_cells_HLA-DR+_glandfront_cellfrequency,0.004419582434458834,0.00497841574068641,0.007591964980817409,0.004951351554411572,0.0,0.004716404412094257,0.004622429205764169,0.007889935726493914,0.005198035954903007,0.0,0.004716404412094257,0.004622429205764169,0.007889935726493914,0.005198035954903007,0.0
CD4_T_cells_HLA-DR+_intragland_cellfrequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
